,DataExtractDate,ReportPeriod,Arrival_Departure,Domestic_International,CargoType,AirCargoTons
0,04/09/2021 10:34:29 AM,Sep 2020,Arrival,International,Freight,86595
1,04/09/2021 10:34:29 AM,Feb 2021,Arrival,International,Freight,78931
2,04/09/2021 10:34:29 AM,Aug 2020,Arrival,International,Freight,81369
3,04/09/2021 10:34:29 AM,Jan 2021,Arrival,International,Freight,82958
4,04/09/2021 10:34:29 AM,Nov 2020,Arrival,International,Freight,96096
5,05/27/2021 03:16:34 PM,Apr 2021,Arrival,International,Mail,921
6,05/27/2021 03:16:34 PM,Apr 2021,Arrival,Domestic,Mail,3197
7,05/03/2021 03:08:02 PM,Mar 2021,Arrival,International,Freight,100358
8,05/27/2021 03:16:34 PM,Apr 2021,Departure,Domestic,Freight,40285
9,04/10/2021 06:01:03 AM,Mar 2021,Departure,Domestic,Freight,43444
10,06/09/2021 09:21:54 AM,Apr 2021,Arrival,International,Freight,97048
11,05/03/2021 03:08:02 PM,Mar 2021,Departure,International,Freight,66254
12,06/09/2021 09:21:54 AM,Apr 2021,Departure,International,Freight,60458
13,05/03/2021 03:08:02 PM,Mar 2021,Arrival,International,Mail,913
14,05/27/2021 03:16:34 PM,Apr 2021,Arrival,Domestic,Freight,43368
15,05/27/2021 03:16:34 PM,Apr 2021,Departure,International,Mail,412
16,05/27/2021 03:16:34 PM,Apr 2021,Departure,Domestic,Mail,5468
17,05/03/2021 03:08:02 PM,Mar 2021,Departure,International,Mail,403
18,05/03/2021 03:08:02 PM,Mar 2021,Departure,Domestic,Mail,5677
19,04/10/2021 06:01:03 AM,Mar 2021,Arrival,Domestic,Freight,44001
20,05/03/2021 03:08:02 PM,Mar 2021,Arrival,Domestic,Mail,3578
21,06/01/2022 12:00:23 AM,Apr 2022,Departure,Domestic,Freight,36156
22,12/01/2021 12:00:21 AM,Oct 2021,Arrival,Domestic,Mail,5637
23,12/01/2021 12:00:21 AM,Oct 2021,Departure,Domestic,Mail,4929
24,06/29/2021 10:06:21 AM,May 2021,Arrival,Domestic,Mail,3664
25,06/29/2021 10:06:21 AM,May 2021,Departure,Domestic,Freight,40988
26,06/29/2021 10:06:21 AM,May 2021,Arrival,Domestic,Freight,45657
27,11/10/2021 06:01:08 AM,Sep 2021,Departure,International,Freight,56453
28,06/29/2021 10:06:21 AM,May 2021,Departure,Domestic,Mail,5231
29,08/01/2021 12:00:23 AM,May 2021,Departure,International,Mail,445
30,08/01/2021 12:00:23 AM,Jun 2021,Arrival,International,Freight,93511
31,08/01/2021 12:00:23 AM,May 2021,Arrival,International,Freight,99065
32,08/01/2021 12:00:23 AM,May 2021,Departure,International,Freight,64024
33,08/01/2021 12:00:23 AM,Jun 2021,Arrival,Domestic,Freight,45132
34,08/01/2021 12:00:23 AM,Jun 2021,Departure,International,Freight,60486
35,08/01/2021 12:00:23 AM,Jun 2021,Arrival,International,Mail,863
36,08/01/2021 12:00:23 AM,Jun 2021,Departure,International,Mail,397
37,08/01/2021 12:00:23 AM,Jun 2021,Departure,Domestic,Mail,4563
38,08/01/2021 12:00:23 AM,Jun 2021,Departure,Domestic,Freight,39269
39,08/01/2021 12:00:23 AM,Jun 2021,Arrival,Domestic,Mail,2604
40,08/01/2021 12:00:23 AM,May 2021,Arrival,International,Mail,892
41,08/30/2021 11:09:52 AM,Jul 2021,Arrival,International,Mail,811
42,08/30/2021 11:09:52 AM,Jul 2021,Departure,International,Mail,737
43,08/30/2021 11:09:52 AM,Jul 2021,Departure,Domestic,Freight,39746
44,08/30/2021 11:09:52 AM,Jul 2021,Arrival,Domestic,Mail,3359
45,08/30/2021 11:09:52 AM,Jul 2021,Departure,International,Freight,61597
46,08/30/2021 11:09:52 AM,Jul 2021,Arrival,Domestic,Freight,46463
47,08/30/2021 11:09:52 AM,Jul 2021,Departure,Domestic,Mail,6811
48,08/30/2021 11:09:52 AM,Jul 2021,Arrival,International,Freight,92346
49,09/29/2021 09:09:13 AM,Aug 2021,Arrival,Domestic,Mail,2865
