,DataExtractDate,ReportPeriod,FlightType,Arrival_Departure,Domestic_International,FlightOpsCount
0,05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,Charter,Departure,Domestic,23
1,05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,12171
2,05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,Charter,Arrival,International,2
3,05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Scheduled,Departure,International,1928
4,05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,12179
5,04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,Charter,Departure,Domestic,19
6,05/10/2021 06:01:09 AM,04/01/2021 12:00:00 AM,Charter,Arrival,Domestic,17
7,05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,11764
8,05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Scheduled,Arrival,International,1721
9,05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,11771
10,05/03/2021 03:08:02 PM,03/01/2021 12:00:00 AM,Scheduled,Departure,International,1727
11,04/10/2021 06:01:03 AM,03/01/2021 12:00:00 AM,Charter,Arrival,Domestic,18
12,05/27/2021 03:16:34 PM,04/01/2021 12:00:00 AM,Scheduled,Arrival,International,1911
13,06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Scheduled,Arrival,International,2325
14,06/09/2021 12:34:10 PM,05/01/2021 12:00:00 AM,Charter,Arrival,International,2
15,06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Scheduled,Departure,International,2369
16,06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,14434
17,06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Charter,Departure,Domestic,36
18,06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,14479
19,06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Charter,Arrival,Domestic,34
20,08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,16519
21,08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Charter,Departure,International,0
22,08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,16534
23,08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Scheduled,Arrival,International,2646
24,08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Charter,Departure,Domestic,26
25,08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Charter,Arrival,International,2
26,08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Charter,Arrival,Domestic,22
27,08/01/2021 12:00:23 AM,06/01/2021 12:00:00 AM,Scheduled,Departure,International,2573
28,08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Charter,Departure,Domestic,29
29,08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Charter,Arrival,Domestic,28
30,08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,17890
31,08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Scheduled,Departure,International,2977
32,08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,Charter,Departure,International,0
33,08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,17881
34,08/10/2021 06:01:10 AM,07/01/2021 12:00:00 AM,Charter,Arrival,International,2
35,08/30/2021 11:09:52 AM,07/01/2021 12:00:00 AM,Scheduled,Arrival,International,2996
36,09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,17792
37,09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Scheduled,Departure,Domestic,17966
38,09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Charter,Departure,International,3
39,12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,Charter,Departure,International,5
40,06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Scheduled,Arrival,International,3539
41,09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Scheduled,Departure,International,3051
42,09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Charter,Arrival,International,6
43,09/29/2021 09:09:13 AM,08/01/2021 12:00:00 AM,Scheduled,Arrival,International,3131
44,11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Scheduled,Arrival,Domestic,16640
45,11/01/2021 12:00:16 AM,08/01/2021 12:00:00 AM,Charter,Departure,Domestic,32
46,06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Charter,Arrival,Domestic,98
47,11/01/2021 12:00:16 AM,09/01/2021 12:00:00 AM,Scheduled,Departure,International,2763
48,06/01/2022 12:00:23 AM,04/01/2022 12:00:00 AM,Scheduled,Departure,International,3545
49,11/01/2021 12:00:16 AM,08/01/2021 12:00:00 AM,Charter,Arrival,Domestic,28
