,OBJECTID,RD_SURFACE,RD_UPD_DATE,RD_TYPE,Shape_Length,Shape_Area,RD_LOUD_ID
0,1089967,P,2022/02/21 05:00:00+00,1,1317.81842633369,7183.28674655088,0
1,1089968,P,2022/02/21 05:00:00+00,1,2631.60191830949,30806.1781192081,0
2,1089969,P,2022/02/21 05:00:00+00,1,1066.9710235242,7489.66471879998,0
3,1089970,P,2022/02/21 05:00:00+00,1,885.412047417563,9934.6477495469,0
4,1089971,P,2022/02/21 05:00:00+00,1,233.272029380383,1849.01559157977,0
5,1089972,P,2022/02/21 05:00:00+00,1,350.669263908948,3518.43661645656,0
6,1089973,P,2022/02/21 05:00:00+00,1,517.338155386719,5457.12109959243,0
7,1089974,P,2022/02/21 05:00:00+00,1,253.708943906605,4152.07272041241,0
8,1089975,N,2022/02/21 05:00:00+00,1,1424.18604373883,13617.3477083728,0
9,1089976,N,2022/02/21 05:00:00+00,1,8333.03681812817,43159.5076121096,0
10,1089977,N,2022/02/21 05:00:00+00,1,5821.22569652801,47487.9800104062,0
11,1089978,N,2022/02/21 05:00:00+00,1,24551.8187769896,229645.868327892,0
12,1089979,N,2022/02/21 05:00:00+00,1,18479.3419008906,114568.146348883,0
13,1089980,N,2022/02/21 05:00:00+00,1,11907.9296649178,60065.7346463825,0
14,1089981,N,2022/02/21 05:00:00+00,1,18885.3142988043,128854.253021905,0
15,1089982,N,2022/02/21 05:00:00+00,1,12648.4302160735,63338.2772818745,0
16,1089983,N,2022/02/21 05:00:00+00,1,9055.75540002199,51863.8116091427,0
17,1089984,N,2022/02/21 05:00:00+00,1,2292.6049161218,15058.2328557724,0
18,1089985,N,2022/02/21 05:00:00+00,1,7402.63677506827,40650.4243453608,0
19,1089986,N,2022/02/21 05:00:00+00,1,4893.48333054343,38509.2872650331,0
20,1089987,N,2022/02/21 05:00:00+00,1,835.583774615238,5544.96466858785,0
21,1089988,N,2022/02/21 05:00:00+00,1,1351.35553455952,6844.80019672066,0
22,1089989,N,2022/02/21 05:00:00+00,1,389.917442864152,2683.47989759367,0
23,1089990,N,2022/02/21 05:00:00+00,1,518.83701052132,2743.37506625758,0
24,1089991,N,2022/02/21 05:00:00+00,1,1101.05566707042,5643.7065452154,0
25,1089992,P,2022/02/21 05:00:00+00,2,346.997136963903,2978.08003894709,0
26,1089993,N,2022/02/21 05:00:00+00,2,1580.299391836,25540.5437488727,0
27,1089994,P,2022/02/21 05:00:00+00,2,300.141961100698,3638.87120861827,0
28,1089995,N,2022/02/21 05:00:00+00,2,616.525088684221,6346.07628805413,0
29,1089996,P,2022/02/21 05:00:00+00,2,298.058554056408,2878.79724000884,0
30,1089997,P,2022/02/21 05:00:00+00,2,938.139149456634,29096.7520239503,0
31,1089998,P,2022/02/21 05:00:00+00,2,761.760641417428,14977.6956487169,0
32,1089999,P,2022/02/21 05:00:00+00,2,758.50140339257,12491.4432976028,0
33,1090000,P,2022/02/21 05:00:00+00,2,1141.0684148287,19879.5677603731,0
34,1090001,P,2022/02/21 05:00:00+00,2,98.9111515315084,570.620772340803,0
35,1090002,N,2022/02/21 05:00:00+00,2,226.809657963346,2769.93719602662,0
36,1090003,N,2022/02/21 05:00:00+00,2,545.779298149648,7711.31711788852,0
37,1090004,N,2022/02/21 05:00:00+00,2,486.124912831589,10362.7603344427,0
38,1090005,N,2022/02/21 05:00:00+00,2,272.682331484712,3812.51019283634,0
39,1090006,N,2022/02/21 05:00:00+00,2,328.110377757432,4935.01583874656,0
40,1090007,N,2022/02/21 05:00:00+00,2,284.625937622993,3208.4349457216,0
41,1090008,N,2022/02/21 05:00:00+00,2,490.629713155792,5634.41008162707,0
42,1090009,N,2022/02/21 05:00:00+00,2,662.979755897095,20995.3241453366,0
43,1090010,N,2022/02/21 05:00:00+00,2,1022.75778775883,36013.0246349637,0
44,1090011,P,2022/02/21 05:00:00+00,3,282.148941521498,1934.50787367408,0
45,1090012,P,2022/02/21 05:00:00+00,3,396.175280357411,2488.60273212491,0
46,1090013,P,2022/02/21 05:00:00+00,3,1670.36639571457,11231.6454124828,0
47,1090014,P,2022/02/21 05:00:00+00,3,216.861029654132,1243.28604845872,0
48,1090015,P,2022/02/21 05:00:00+00,3,350.054446047305,2248.74375683175,0
49,1090016,P,2022/02/21 05:00:00+00,3,348.544954163929,2282.20980120821,0
