,kennel,animalid,jurisdiction,intype,insubtype,indate,surreason,outtype,outsubtype,outdate,animaltype,sex,bites,petsize,color,breed,sourcezipcode,ObjectId
0,N02,A712947,40214,STRAY,OTC,2022/03/22 00:00:00,STRAY,ADOPTION,WEB METRO,2022/04/06 00:00:00,DOG,S,N,MED,RED / WHITE,ALASKAN HUSKY,40206,1
1,FREEZER,A371175,40213,DISPOSAL,OWNER,2020/03/02 00:00:00,DOA,DISPOSAL,DEAD ARRIV,2020/03/02 00:00:00,DOG,S,N,LARGE,BLACK,LABRADOR RETR,40213,2
2,401,A698899,40242,STRAY,OTC,2021/08/28 00:00:00,STRAY,RTO,IN KENNEL,2021/08/29 00:00:00,DOG,S,N,MED,BLACK,LABRADOR RETR,40242,3
3,N11,A322031,40272,STRAY,OTC,2020/04/01 00:00:00,STRAY,RTO,IN KENNEL,2020/04/15 00:00:00,DOG,N,N,MED,BLACK / WHITE,LABRADOR RETR / MIX,40272,4
4,N42,A697529,40218,STRAY,OTC,2021/08/11 00:00:00,STRAY,ADOPTION,WALK IN,2021/08/23 00:00:00,CAT,S,N,MED,ORANGE / WHITE,DOMESTIC SH,40218,5
5,C204,A697531,40218,STRAY,OTC,2021/08/11 00:00:00,STRAY,DIED,IN KENNEL,2021/08/14 00:00:00,CAT,M,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40218,6
6,C204,A697532,40218,STRAY,OTC,2021/08/11 00:00:00,STRAY,EUTH,INHUMANE,2021/08/15 00:00:00,CAT,U,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40218,7
7,C204,A697534,40218,STRAY,OTC,2021/08/11 00:00:00,STRAY,EUTH,INHUMANE,2021/08/14 00:00:00,CAT,U,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40218,8
8,C204,A697530,40218,STRAY,OTC,2021/08/11 00:00:00,STRAY,EUTH,INHUMANE,2021/08/13 00:00:00,CAT,U,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40218,9
9,FREEZER,A697533,40218,STRAY,OTC,2021/08/11 00:00:00,STRAY,DIED,IN KENNEL,2021/08/17 00:00:00,CAT,U,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40218,10
10,803,A736587,40216,STRAY,OTC,2023/04/25 00:00:00,STRAY,TRANSFER,RESCUE GRP,2023/05/06 00:00:00,DOG,S,N,LARGE,GOLD / WHITE,GOLDEN RETR / MIX,40214,11
11,TNR/SNR,A730496,40216,STRAY,OTC,2023/01/17 00:00:00,STRAY,SNR,,2023/01/19 00:00:00,CAT,S,N,MED,GRAY / WHITE,DOMESTIC SH,40216,12
12,C102,A731499,40216,STRAY,OTC,2023/02/04 00:00:00,STRAY,RTF,,2023/02/15 00:00:00,CAT,S,N,SMALL,GRAY,DOMESTIC SH,40216,13
13,ACO UNIT,A722035,40118,STRAY,FIELD,2023/07/28 00:00:00,STRAY,RTO,IN FIELD,2023/07/28 00:00:00,DOG,N,N,SMALL,BROWN / TAN,BEAGLE,40118,14
14,C410,A741136,40216,STRAY,OTC,2023/07/07 00:00:00,STRAY,RTF,,2023/07/16 00:00:00,CAT,U,N,MED,WHITE / BLACK,DOMESTIC SH,40216,15
15,LOST,A732176,,LOST,WEB,2023/02/14 00:00:00,,,,,CAT,F,,MED,UNKNOWN,DOMESTIC SH,40272,16
16,K208B,A737268,40291,OWNER SUR,OTC,2023/05/08 00:00:00,AGG ANIMAL,RTO,IN KENNEL,2023/05/15 00:00:00,DOG,S,Y,MED,TRICOLOR,AUST CATTLE DOG / MIX,40291,17
17,FOSTER,A703814,40216,STRAY,OTC,2021/10/27 00:00:00,STRAY,FOSTER,TOO YOUNG,2021/10/29 00:00:00,CAT,N,N,KITTN,WHITE / ORANGE,DOMESTIC MH,40216,18
18,FOSTER,A710879,40216,STRAY,OTC,2022/02/23 00:00:00,STRAY,FOSTER,TOO YOUNG,2022/02/23 00:00:00,CAT,S,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40216,19
19,FOSTER,A710792,40216,STRAY,OTC,2022/02/21 00:00:00,STRAY,FOSTER,TOO YOUNG,2022/02/22 00:00:00,CAT,N,N,KITTN,ORG TABBY,DOMESTIC SH,40216,20
20,N39,A704090,40216,STRAY,OTC,2021/11/03 00:00:00,STRAY,ADOPTION,WALK IN,2021/11/28 00:00:00,CAT,S,N,KITTN,TORTIE,DOMESTIC SH,40216,21
21,FOSTER,A710791,40216,STRAY,OTC,2022/02/21 00:00:00,STRAY,FOSTER,TOO YOUNG,2022/02/22 00:00:00,CAT,S,N,KITTN,ORANGE / WHITE,DOMESTIC SH,40216,22
22,FOSTER,A711040,40216,STRAY,OTC,2022/02/28 00:00:00,STRAY,FOSTER,TOO YOUNG,2022/03/01 00:00:00,CAT,S,N,KITTN,ORANGE,DOMESTIC SH,40216,23
23,TNR/SNR,A705571,40216,STRAY,OTC,2021/11/10 00:00:00,STRAY,SNR,,2021/11/12 00:00:00,CAT,N,N,KITTN,ORG TABBY,DOMESTIC SH,40216,24
24,TNR/SNR,A678515,40214,STRAY,OTC,2020/03/18 00:00:00,STRAY,SNR,,2020/03/20 00:00:00,CAT,N,N,SMALL,BLACK / WHITE,DOMESTIC SH,40214,25
25,TNR/SNR,A714061,40258,STRAY,OTC,2022/04/12 00:00:00,STRAY,SNR,,2022/04/14 00:00:00,CAT,N,N,MED,ORG TABBY,DOMESTIC SH,40258,26
26,TNR/SNR,A679020,40215,STRAY,FIELD,2020/04/09 00:00:00,INJURED,RTF,,2020/04/19 00:00:00,CAT,N,N,MED,ORANGE,DOMESTIC SH,40215,27
27,511,A726844,40205,STRAY,FIELD,2022/11/07 00:00:00,STRAY,EUTH,BEHAV OBSV,2023/01/03 00:00:00,DOG,N,N,MED,BL BRINDLE,PIT BULL,40205,28
28,LOST,A689617,,LOST,WEB,2021/02/13 00:00:00,,,,,CAT,F,,MED,UNKNOWN,DOMESTIC SH,40214,29
29,NP,A738156,40214,STRAY,OTC,2023/05/26 00:00:00,STRAY,ADOPTION,WALK IN,2023/06/12 00:00:00,DOG,N,N,MED,RED,BLACK MOUTH CUR / MIX,40214,30
30,N16,A738155,40214,STRAY,OTC,2023/05/26 00:00:00,STRAY,ADOPTION,WALK IN,2023/06/13 00:00:00,DOG,N,N,MED,FAWN,GERM SHEPHERD / MIX,40214,31
31,NECROPSY,A713466,40214,DISPOSAL,FIELD,2023/10/14 00:00:00,STRAY,DISPOSAL,NECROPSY,2023/10/16 00:00:00,CAT,S,N,SMALL,CALICO,DOMESTIC SH,,32
32,NECROPSY,A746831,40214,DISPOSAL,FIELD,2023/10/14 00:00:00,STRAY,DISPOSAL,NECROPSY,2023/10/16 00:00:00,CAT,F,N,LARGE,BLACK / WHITE,DOMESTIC SH,,33
33,N35,A710467,40216,STRAY,OTC,2022/02/19 00:00:00,STRAY,ADOPTION,WALK IN,2022/03/19 00:00:00,DOG,S,N,LARGE,TAN / BLACK,LABRADOR RETR / MIX,40216,34
34,NP,A738492,40216,STRAY,OTC,2023/06/03 00:00:00,STRAY,ADOPTION,WALK IN,2023/06/25 00:00:00,DOG,S,N,MED,WHITE,PIT BULL,40216,35
35,FOSTER,A723853,40214,STRAY,OTC,2022/09/19 00:00:00,STRAY,FOSTER,STRAY,2022/09/19 00:00:00,DOG,N,N,SMALL,TAN,CHIHUAHUA SH,40216,36
36,801,A642681,40216,STRAY,FIELD,2020/11/14 00:00:00,STRAY,RTO,IN KENNEL,2020/11/25 00:00:00,DOG,N,N,LARGE,YELLOW,LABRADOR RETR / MIX,40218,37
37,ID06,A647537,40219,STRAY,FIELD,2020/11/12 00:00:00,STRAY,RTO,IN KENNEL,2020/11/24 00:00:00,DOG,N,N,LARGE,GRAY / WHITE,PIT BULL,40218,38
38,N05,A678153,40216,STRAY,FIELD,2020/03/08 00:00:00,STRAY,ADOPTION,INTERNET,2020/03/27 00:00:00,DOG,N,N,MED,BROWN / WHITE,PIT BULL / MIX,40218,39
39,DW17,A678483,40258,STRAY,FIELD,2020/03/17 00:00:00,STRAY,RTO,IN KENNEL,2020/03/18 00:00:00,DOG,N,N,LARGE,BROWN / WHITE,BOXER / MIX,40218,40
40,309,A513050,40258,STRAY,FIELD,2020/01/12 00:00:00,STRAY,RTO,IN KENNEL,2020/01/13 00:00:00,DOG,S,N,LARGE,TAN / WHITE,MASTIFF / GERM SHEPHERD,40218,41
41,K108,A668558,40216,STRAY,FIELD,2022/12/04 00:00:00,STRAY,RTO,IN FIELD,2022/12/12 00:00:00,DOG,S,N,SMALL,TAN / WHITE,DACHSHUND,40218,42
42,FREEZER,A692011,40258,DISPOSAL,FIELD,2021/05/03 00:00:00,STRAY,DISPOSAL,DEAD ARRIV,2021/05/03 00:00:00,CAT,F,N,SMALL,BLACK,DOMESTIC SH,40218,43
43,FREEZER,A737872,40218,STRAY,FIELD,2023/05/21 00:00:00,STRAY,DIED,AT VET,2023/05/27 00:00:00,DOG,M,N,SMALL,TAN,DACHSHUND,40218,44
44,FREEZER,A732928,40219,DISPOSAL,FIELD,2023/02/27 00:00:00,STRAY,DISPOSAL,DEAD ARRIV,2023/02/27 00:00:00,CAT,M,N,MED,WHITE / BRN TABBY,DOMESTIC SH,40218,45
45,310,A749615,40216,STRAY,FIELD,2023/12/02 00:00:00,STRAY,,,,DOG,M,N,LARGE,BLACK / WHITE,PIT BULL / MIX,40218,46
46,N04,A745710,40211,STRAY,FIELD,2023/09/23 00:00:00,STRAY,ADOPTION,WALK IN,2023/11/18 00:00:00,DOG,N,N,X-LRG,TRICOLOR,AKITA / MIX,40218,47
47,612,A739619,40211,STRAY,FIELD,2023/06/22 00:00:00,STRAY,RTO,IN KENNEL,2023/06/22 00:00:00,DOG,M,N,MED,WHITE,AM PIT BULL TER,40218,48
