,casenumber,casetype,caseanimaltype,casecity,casestate,casezipcode,ownerid,animalid,result1,result2,result3,result4,result5,result6,clerk,officer,calldate,newdate,dispatched,working,completed,animaltype,sex,bites,color,breed,ObjectId
0,A21-091075-1,XTRA SERVE VIOL OTC,DOG,LOUISVILLE,KY,40218,P398566,A210161,1 VIOL,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,HEATHER,OFFICER HARRIS,2021/05/05 21:18:00+00,2021/05/05 21:18:00+00,2021/05/05 17:18:00,2021/05/05 17:18:00,2021/05/05 17:46:00,DOG,N,,MERLE,AUST SHEPHERD / PURE BRED,1
1,A21-088972-2,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40205,P165389,A311117,1 TTR,1 PHONE,1 FU,NO RESULT,NO RESULT,NO RESULT,SABATINI,OFFICER COGBURN,2021/02/25 00:36:00+00,2021/03/03 01:45:00+00,2021/03/03 13:10:00,2021/03/03 13:10:00,2021/03/03 13:16:00,DOG,S,N,RED / BLACK,GERM SHEPHERD / BOXER,2
2,A21-088972-1,ASSIST POLICE,DOG,LOUISVILLE,KY,40205,P165389,A311117,1 TTO,1 TTR,1 FU,NO RESULT,NO RESULT,NO RESULT,SABATINI,OFFICER SABATINI,2021/02/25 00:36:00+00,2021/02/25 00:36:00+00,2021/02/24 19:39:00,2021/02/24 20:01:00,2021/02/24 20:15:00,DOG,S,N,RED / BLACK,GERM SHEPHERD / BOXER,3
3,A21-088972-5,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40205,P165389,A311117,1 RSVLD,1 PHONE,1 COMP,NO RESULT,NO RESULT,NO RESULT,ROBBI,OFFICER RATLIFF,2021/02/25 00:36:00+00,2021/03/20 00:16:00+00,2021/03/20 09:02:00,2021/03/20 11:06:00,2021/03/20 11:32:36.870,DOG,S,N,RED / BLACK,GERM SHEPHERD / BOXER,4
4,A21-088972-4,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40205,P165389,A311117,1 TTR,1 FU,1 COMP,NO RESULT,NO RESULT,NO RESULT,JCLARK,OFFICER RATLIFF,2021/02/25 00:36:00+00,2021/03/15 04:00:00+00,2021/03/15 09:38:00,2021/03/15 11:23:00,2021/03/15 11:41:47.590,DOG,S,N,RED / BLACK,GERM SHEPHERD / BOXER,5
5,A21-088972-3,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40205,P165389,A311117,1 TTR,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,JCOGBURN,OFFICER FORNER,2021/02/25 00:36:00+00,2021/03/03 01:45:00+00,2021/03/04 11:48:00,2021/03/04 15:02:00,2021/03/04 15:21:00,DOG,S,N,RED / BLACK,GERM SHEPHERD / BOXER,6
6,A20-078127-1,XTRA SERVE,DOG,LOUISVILLE,KY,40228,P165579,A311418,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,CEMERSON,OFFICER URGENT PRIORITY,2020/01/19 18:14:00+00,2020/01/19 18:14:00+00,2020/01/19 13:16:00,,2020/01/19 13:18:00,DOG,S,N,BLACK,YORKSHIRE TERR / MIX,7
7,A23-116356-1,XTRA SERVE VIOL OTC,DOG,LOUISVILLE,KY,40218,P428970,A332837,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,SABATINI,OFFICER SABATINI,2023/05/27 19:09:00+00,2023/05/27 19:09:00+00,2023/05/27 15:10:00,2023/05/27 15:25:00,2023/05/27 15:33:00,CAT,S,N,GRAY TABBY,DOMESTIC SH,8
8,A23-116288-1,XTRA SERVE NOTICE,CAT,LOUISVILLE,KY,40299,P178094,A332837,2 TTR,1 COMP,NO RESULT,NO RESULT,NO RESULT,NO RESULT,ESCOBBA,OFFICER SABATINI,2023/05/25 18:41:00+00,2023/05/25 18:41:00+00,2023/05/25 14:43:00,2023/05/25 15:04:00,2023/05/25 15:20:00,CAT,S,N,GRAY TABBY,DOMESTIC SH,9
9,A23-116288-2,XTRA SERVE NOTICE,CAT,LOUISVILLE,KY,40218,,A332837,1 MC,1 TTO,1 NOTIC,1 EDUC,1 COMP,NO RESULT,ESCOBBA,OFFICER CLARK,2023/05/26 17:36:00+00,2023/05/26 17:36:00+00,2023/05/27 08:53:00,2023/05/27 13:10:00,2023/05/27 13:54:00,CAT,S,N,GRAY TABBY,DOMESTIC SH,10
10,A21-096492-1,NUISANCE RESTRAINT,DOG,LOUISVILLE,KY,40229,P036397,A373935,1 CIVIL,1 TTO,1 EDUC,1 NOTIC,1 COMP,NO RESULT,JCOGBURN,OFFICER MCKECHNIE,2021/11/03 19:50:00+00,2021/11/04 18:14:00+00,2021/11/04 14:14:00,2021/11/04 15:07:00,2021/11/04 15:55:00,DOG,S,N,WHITE / BROWN,BEAGLE / MIX,11
11,A21-090107-4,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40223,P199069,A375521,1 TTR,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,ROBBI,OFFICER COGBURN,2021/04/05 17:49:00+00,2021/04/13 12:23:00+00,2021/04/14 17:27:00,2021/04/14 17:53:00,2021/04/14 18:23:55.963,DOG,N,N,WHITE / RED,BASSET HOUND,12
12,A21-090107-5,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40223,P199069,A375521,1 TTO,1 OPEN,NO RESULT,NO RESULT,NO RESULT,NO RESULT,JCOGBURN,OFFICER COGBURN,2021/04/05 17:49:00+00,2021/04/13 12:23:00+00,2021/04/14 18:24:00,2021/04/14 20:01:00,2021/04/14 20:53:00,DOG,N,N,WHITE / RED,BASSET HOUND,13
13,A21-090441-3,INVESTIGAT ABAN,DOG,LOUISVILLE,KY,40211,P198549,A427588,1 UTMC,2 TTR,2 NOTIC,1 FU,NO RESULT,NO RESULT,MFISHER,OFFICER MILLER,2021/04/15 13:59:00+00,2021/04/15 13:59:00+00,2021/04/19 08:01:00,2021/04/19 08:44:00,2021/04/19 10:54:00,DOG,N,N,BLACK / WHITE,CHIHUAHUA SH,14
14,A21-090441-1,INVESTIGAT ABAN,DOG,LOUISVILLE,KY,40211,P198549,A427588,1 TTC,1 UTMC,2 NOTIC,1 FU,NO RESULT,NO RESULT,RGREEN,OFFICER FISHER,2021/04/15 13:59:00+00,2021/04/15 13:59:00+00,2021/04/15 11:04:00,2021/04/15 11:18:00,2021/04/15 11:58:50.527,DOG,N,N,BLACK / WHITE,CHIHUAHUA SH,15
15,A21-090441-2,INVESTIGAT ABAN,DOG,LOUISVILLE,KY,40211,P198549,A427588,1 UTMC,1 NOTIC,1 FU,NO RESULT,NO RESULT,NO RESULT,MFISHER,OFFICER FISHER,2021/04/15 13:59:00+00,2021/04/15 13:59:00+00,2021/04/17 09:07:00,2021/04/17 10:01:00,2021/04/17 10:42:36.840,DOG,N,N,BLACK / WHITE,CHIHUAHUA SH,16
16,A21-090441-4,INVESTIGAT ABAN,DOG,LOUISVILLE,KY,40211,P198549,A427588,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,YMILLER,OFFICER 2ND SHIFT,2021/04/15 13:59:00+00,2021/04/15 13:59:00+00,2021/04/19 15:35:30.940,,2021/04/19 15:42:57.580,DOG,N,N,BLACK / WHITE,CHIHUAHUA SH,17
17,A21-090860-1,INVESTIGAT NEGLI,DOG,LOUISVILLE,KY,40229,P183992,A464358,1 TTO,1 NVS,1 COMP,NO RESULT,NO RESULT,NO RESULT,MICHAELM,OFFICER SABATINI,2021/04/29 14:19:00+00,2021/04/29 14:19:00+00,2021/04/29 10:22:00,2021/04/29 15:02:00,2021/04/29 15:17:00,DOG,N,N,CREAM / WHITE,COCKER SPAN / POODLE STND,18
18,A21-095217-1,INVESTIGAT ABAN,DOG,LOUISVILLE,KY,40229,P183992,A464358,1 TTC,2 NOTIC,1 FU,NO RESULT,NO RESULT,NO RESULT,RPHILLIP,OFFICER FORNER,2021/09/20 18:08:00+00,2021/09/20 18:08:00+00,2021/09/20 14:33:00,2021/09/20 16:48:00,2021/09/20 17:12:00,DOG,N,N,CREAM / WHITE,COCKER SPAN / POODLE STND,19
19,A21-095217-2,INVESTIGAT ABAN,DOG,LOUISVILLE,KY,40229,P183992,A464358,1 TTR,1 NVS,1 COMP,NO RESULT,NO RESULT,NO RESULT,JBRIDGE,OFFICER FISHER,2021/09/20 18:08:00+00,2021/09/20 21:06:00+00,2021/09/22 06:57:00,2021/09/22 11:19:00,2021/09/22 11:43:16.037,DOG,N,N,CREAM / WHITE,COCKER SPAN / POODLE STND,20
20,A20-079704-2,TRANSPORT ANIMAL,DOG,LOUISVILLE,KY,40229,P285924,A558094,2 RTO,1 VIOL,1 COMP,NO RESULT,NO RESULT,NO RESULT,SABATINI,OFFICER SABATINI,2020/03/06 01:08:00+00,2020/03/06 01:08:00+00,2020/03/05 20:54:00,2020/03/05 21:37:00,2020/03/05 22:10:00,DOG,S,N,TRICOLOR,TR WALKER HOUND,21
21,A20-079704-1,STRAY CONF,DOG,LOUISVILLE,KY,40218,P285924,A558094,2 IMPND,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,SABATINI,OFFICER SABATINI,2020/03/06 01:08:00+00,2020/03/06 01:08:00+00,2020/03/05 20:10:00,2020/03/05 20:21:00,2020/03/05 21:13:00,DOG,S,N,TRICOLOR,TR WALKER HOUND,22
22,A20-079190-1,STRAY CONF,DOG,LOUISVILLE,KY,40229,P285924,A558094,2 IMPND,1 FU,NO RESULT,NO RESULT,NO RESULT,NO RESULT,DSTEWART,OFFICER SABATINI,2020/02/20 20:26:00+00,2020/02/20 20:26:00+00,2020/02/20 16:39:00,2020/02/20 16:39:00,2020/02/20 17:16:00,DOG,S,N,TRICOLOR,TR WALKER HOUND,23
23,A20-079190-2,TRANSPORT ANIMAL,DOG,LOUISVILLE,KY,40229,P285924,A558094,1 VIOL,2 RTO,1 COMP,NO RESULT,NO RESULT,NO RESULT,SABATINI,OFFICER SABATINI,2020/02/20 20:26:00+00,2020/02/20 20:26:00+00,2020/02/20 17:15:00,2020/02/20 17:22:00,2020/02/20 18:01:00,DOG,S,N,TRICOLOR,TR WALKER HOUND,24
24,A20-081513-23,OWNED AGGRESSIVE,DOG,LOUISVILLE,KY,40258,P386441,A677546,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,NO RESULT,JCOGBURN,,2020/05/15 14:46:00+00,2020/05/28 21:41:00+00,,,2020/05/29 14:37:00,DOG,M,N,GRAY / WHITE,PIT BULL,25
