,violationnumber,violationtype,form,violationdate,casenumber,casetype,officer,violationjurisdiction,court,docket,appearancedate,outcomedate,outcomestat,receipt,offense,ObjectId
0,V20-015515,CIT DD/PDD,P198746,2020/12/29 13:17:00+00,A20-087306-3,INVESTIGAT BITE,OFFICER COGBURN,40223.0,01/19/21,,,,,,91.15,1
1,V21-015723,WARNING,01-51826,2021/02/22 13:53:00+00,A21-088813-3,INVESTIGAT BITE,OFFICER THOMPSON,40216.0,,,2021/03/31 00:00:00,2021/04/26 00:00:00,VOID,,91.02,2
2,V20-013688,WARN/CP,01-51315,2020/12/29 20:32:00+00,A20-078727-3,INVESTIGAT BITE,OFFICER SABATINI,40213.0,01/04/21,V20-013688,2020/10/18 18:00:00,,HAND ADMIN,,91.072,3
3,V21-015723,WARNING,01-51826,2021/02/22 13:53:00+00,A21-088813-3,INVESTIGAT BITE,OFFICER THOMPSON,40216.0,,,2021/03/31 00:00:00,2021/04/26 00:00:00,VOID,,91.072,4
4,V21-015723,WARNING,01-51826,2021/02/22 13:53:00+00,A21-088813-3,INVESTIGAT BITE,OFFICER THOMPSON,40216.0,,,2021/03/31 00:00:00,2021/04/26 00:00:00,VOID,,91.02,5
5,V20-014864,WARN/CP,01-50154,2020/12/25 20:45:00+00,A20-077977-13,INVESTIGAT BITEF,OFFICER SABATINI,40229.0,01/04/21,V20-014848,2020/10/18 18:00:00,,HAND ADMIN,,91.02,6
6,V21-015723,WARNING,01-51826,2021/02/22 13:53:00+00,A21-088813-3,INVESTIGAT BITE,OFFICER THOMPSON,40216.0,,,2021/03/31 00:00:00,2021/04/26 00:00:00,VOID,,91.072,7
7,V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211.0,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.002,8
8,V20-015518,VIOL CTER,VR20-208427,2020/12/29 22:56:00+00,,,,40218.0,,,2020/12/30 09:05:00,2020/12/30 00:00:00,COMPLIED,R20-208427,91.002,9
9,V20-015518,VIOL CTER,VR20-208427,2020/12/29 22:56:00+00,,,,40218.0,,,2020/12/30 09:05:00,2020/12/30 00:00:00,COMPLIED,R20-208427,91.02,10
10,V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211.0,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.02,11
11,V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211.0,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.071,12
12,V20-015518,VIOL CTER,VR20-208427,2020/12/29 22:56:00+00,,,,40218.0,,,2020/12/30 09:05:00,2020/12/30 00:00:00,COMPLIED,R20-208427,91.071,13
13,V20-015519,CIT DD/PDD,N918992,2020/12/29 19:14:00+00,A20-087378-6,INVESTIGAT BITE,OFFICER RATLIFF,40241.0,04/07/21,,,,,,91.15,14
14,V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211.0,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.002,15
15,V20-015519,CIT DD/PDD,N918992,2020/12/29 19:14:00+00,A20-087378-6,INVESTIGAT BITE,OFFICER RATLIFF,40241.0,04/07/21,,,,,,91.072,16
16,V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211.0,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.02,17
17,V21-015730,VOTC/CITE,VR21-210826,2021/03/03 18:23:00+00,A21-088988-4,XTRA SERVE,OFFICER STEWART,40211.0,03/22/21,P198748,2021/02/25 12:59:00,,CONV CITA,R21-210826,91.071,18
18,V20-015520,VIOL CTER,VR20-208456,2020/12/30 19:16:00+00,,,,40218.0,,,2020/12/30 14:35:00,2020/12/30 00:00:00,COMPLIED,R20-208456,91.002,19
19,V21-015734,CIT DD/PDD,P198997,2021/02/25 19:36:00+00,A21-088960-2,INVESTIGAT BITE,OFFICER HARRIS,40214.0,04/12/21,,,,,,91.15,20
20,V21-015734,CIT DD/PDD,P198997,2021/02/25 19:36:00+00,A21-088960-2,INVESTIGAT BITE,OFFICER HARRIS,40214.0,04/12/21,,,,,,91.02,21
21,V21-015687,VIOL RED,VR21-210253,2021/02/10 21:04:00+00,,,,40218.0,,,2021/06/01 00:00:00,2021/05/29 00:00:00,COMPLIED,R21-215811,91.02,22
22,V20-015520,VIOL CTER,VR20-208456,2020/12/30 19:16:00+00,,,,40218.0,,,2020/12/30 14:35:00,2020/12/30 00:00:00,COMPLIED,R20-208456,91.02,23
23,V21-015750,WARNING,01-51565,2021/02/26 23:50:00+00,A21-088847-4,INVESTIGAT BITEF,OFFICER HARRIS,40214.0,,,2021/05/03 18:00:00,2021/05/01 00:00:00,COMPLIED,,91.072,24
24,V21-015751,VIOL RED,VR20-208044,2020/12/16 20:32:00+00,,,,40218.0,,,2021/02/27 00:00:00,2021/03/31 00:00:00,DISMISSED,,91.071,25
25,V21-015687,VIOL RED,VR21-210253,2021/02/10 21:04:00+00,,,,40218.0,,,2021/06/01 00:00:00,2021/05/29 00:00:00,COMPLIED,R21-215811,91.071,26
26,V21-015947,CIT DD/PDD,N918678,2021/04/01 19:00:00+00,A21-089995-2,INVESTIGAT ANI ATTACK,OFFICER FORNER,40258.0,04/26/21,,,,,,91.15,27
27,V20-015521,VIOL CTER,VR20-208458,2020/12/30 21:19:00+00,A20-087558-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218.0,,,2020/12/30 16:29:00,2020/12/30 00:00:00,COMPLIED,R20-208458,91.002,28
28,V20-015523,CIVIL PEN,02-100917,2020/12/30 22:47:00+00,A20-087312-8,OWNED AGGRESSIVE,OFFICER FORNER,40216.0,,,2021/01/30 00:00:00,,HAND ADMIN,,91.002,29
29,V21-015752,VIOL CTER,VR21-210859,2021/02/26 22:01:00+00,,,,40218.0,,,2021/02/26 17:01:00,2021/02/26 00:00:00,COMPLIED,R21-210859,91.002,30
30,V21-015721,VIOL RED,VR21-210589,2021/02/21 23:55:00+00,A21-088869-3,XTRA SERVE VIOL OTC,OFFICER RATLIFF,40218.0,,,2021/02/26 00:00:00,2021/02/23 00:00:00,COMPLIED,R21-210589,91.002,31
31,V21-015947,CIT DD/PDD,N918678,2021/04/01 19:00:00+00,A21-089995-2,INVESTIGAT ANI ATTACK,OFFICER FORNER,40258.0,04/26/21,,,,,,91.02,32
32,V20-015521,VIOL CTER,VR20-208458,2020/12/30 21:19:00+00,A20-087558-1,XTRA SERVE VIOL OTC,OFFICER SABATINI,40218.0,,,2020/12/30 16:29:00,2020/12/30 00:00:00,COMPLIED,R20-208458,91.02,33
33,V21-015654,CIT DD/PDD,N918995,2021/02/02 17:40:00+00,A21-088323-2,INVESTIGAT ANI ATTACK,OFFICER RATLIFF,40219.0,02/19/21,,,2021/03/22 00:00:00,GUILTY,,91.15,34
34,V21-015778,VIOL NOTIC,01-51856,2021/03/04 16:47:00+00,A21-089139-2,OWNED AGGRESSIVE,OFFICER RATLIFF,40299.0,,,2021/05/04 00:00:00,2021/05/30 00:00:00,COMPLIED,,91.02,35
35,V21-015536,WARN/CP,01-51685,2021/03/20 17:39:00+00,A21-087623-3,ASSIST POLICE,OFFICER KERR,40211.0,03/30/21,V21-015536,2021/03/20 00:00:00,,HAND ADMIN,,91.072,36
36,V21-015568,VET,01-51778,2021/01/10 14:18:00+00,A21-087725-14,VET NOTICE FOLLOW UP,OFFICER FORNER,40215.0,,,2021/02/10 08:00:00,2021/05/04 00:00:00,DISMISSED,,91.09,37
37,V21-015582,CIVIL PEN,02-100978,2021/01/14 17:44:00+00,A20-087341-2,NUISANCE RESTRAINT,OFFICER RATLIFF,40059.0,,,2021/04/19 18:00:00,,HAND ADMIN,,91.002,38
