,county,incident,direction,lanes,created,lat,long,updated,location
0,Baltimore,Planned Closure @ MD 695 SOUTH AT DUNHILL RD,South,"1/1 Southbound-Traffic Lane, Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.252186,-76.525505,2024/07/22T05:40:01,POINT (-76.525505 39.252186)
1,Montgomery,Planned Closure @ MD 355 SOUTH FROM COMMERCE LA TO MONTGOMERY LA,South,"Southbound-Right Turn Lane, right Shoulder closed",Created: 07/22/2024 05:32 AM by SOC.,38.985966,-77.09454,2024/07/22T05:40:01,POINT (-77.09454 38.985966)
2,Baltimore,Planned Closure @ MD 157 NORTH/SOUTH AT I-695,North/South,"Southbound-Right Off Ramp, Shoulder, Northbound-Right Off Ramp, Shoulder closed",Created: 07/22/2024 05:34 AM by SOC.,39.24142,-76.474754,2024/07/22T05:40:01,POINT (-76.474754 39.24142)
3,Anne Arundel,Planned Closure @ I-97 NORTH BETWEEN EXIT 7 MD 32 MD 32 (NB) AND EXIT 10 VETERANS HWY (NB),North,"1/3 Northbound-right Traffic Lane, right Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.05868,-76.63393,2024/07/22T05:40:01,POINT (-76.63393 39.05868)
4,Howard,Planned Closure @ MD 32 EAST SOUTH OF DORSEY RUN RD,East,Eastbound-left Shoulder closed,Created: 07/22/2024 05:27 AM by SOC.,39.128178,-76.795105,2024/07/22T05:40:01,POINT (-76.795105 39.128178)
5,Washington,Planned Closure @ I-68 EAST/WEST BETWEEN MP 78.98 AND MP 80.08,East/West,"1/2 Westbound-left Traffic Lane, left Shoulder, 1/2 Eastbound-left Traffic Lane, left Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.710068,-78.21516,2024/07/22T05:40:01,POINT (-78.21516 39.710068)
6,Prince George's,Planned Closure @ MD 382 WEST PRIOR TO SASSCER LA,West,"1/1 Westbound-Traffic Lane, Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,38.779995,-76.77434,2024/07/22T05:40:01,POINT (-76.77434 38.779995)
7,Garrett,Planned Closure @ MD 42 SOUTH BETWEEN MP 9.5 AND MP 10.5,South,"1/1 Southbound-Traffic Lane, Shoulder closed",Created: 07/22/2024 05:27 AM by SOC.,39.656696,-79.441055,2024/07/22T05:40:01,POINT (-79.441055 39.656696)
8,Prince George's,Planned Closure @ MD 223 SOUTH BETWEEN ROSARYVILLE RD AND SHERWOOD DR,South,Southbound-Shoulder closed,Created: 07/22/2024 05:27 AM by SOC.,38.785595,-76.84266,2024/07/22T05:40:01,POINT (-76.84266 38.785595)
9,Howard,Planned Closure @ US 29 NORTH AT EXIT 18B BROKEN LAND PKWY (NB),North,"Northbound-right Right Off Ramp, 1 of 3 Shoulders closed",Created: 07/22/2024 05:30 AM by SOC.,39.19923,-76.86097,2024/07/22T05:40:01,POINT (-76.86097 39.19923)
10,Howard,Planned Closure @ US 29 NORTH WEST OF EXIT 18A BROKEN LAND PKWY (NB),North,Northbound-left Shoulder closed,Created: 07/22/2024 05:30 AM by SOC.,39.19923,-76.86097,2024/07/22T05:40:01,POINT (-76.86097 39.19923)
11,Howard,Planned Closure @ US 29 SOUTH WEST OF EXIT 18B BROKEN LAND PKWY (NB),South,Southbound-1 of 3 Shoulders closed,Created: 07/22/2024 05:30 AM by SOC.,39.19923,-76.86097,2024/07/22T05:40:01,POINT (-76.86097 39.19923)
