,Medallion_Number,1st_Inspection_DMV_Facility_Inspection_Month,2nd_Inspection_Scheduled_Date,2nd_Inspection_Scheduled_Time,3rd_Inspection_Scheduled_Date,3rd_Inspection_Scheduled_Time,FleetAgentCode,AgentName,Last_Updated_Date_Time
0,2D50,February,06/04/2024,05:15:00 AM,,,,,01/23/2024  10:00 PM
1,4D13,February,06/05/2024,06:30:00 AM,,,0.0,,01/23/2024  10:00 PM
2,4L67,January,05/24/2024,07:00:00 AM,,,0.0,,01/23/2024  10:00 PM
3,5L74,January,05/20/2024,08:00:00 AM,,,259.0,MC GUINNESS MANAGEMENT CORP,01/23/2024  10:00 PM
4,3G55,January,05/15/2024,09:00:00 AM,,,0.0,,01/23/2024  10:00 PM
5,1F48,April,08/09/2024,06:45:00 AM,,,0.0,,01/23/2024  10:00 PM
6,1C42,January,05/01/2024,06:45:00 AM,,,289.0,BOULEVARD TAXI LEASING INC,01/23/2024  10:00 PM
7,6G30,January,05/15/2024,08:00:00 AM,,,358.0,BIG APPLE TAXI MANAGEMENT LLC,01/23/2024  10:00 PM
8,9v45,January,05/22/2024,09:15:00 AM,,,,,01/23/2024  10:00 PM
9,2E12,March,07/10/2024,08:45:00 AM,,,,,01/23/2024  10:00 PM
10,2V55,January,05/23/2024,09:00:00 AM,,,290.0,"UNITED TAXI MANAGEMENT GROUP,",01/23/2024  10:00 PM
11,4N51,March,07/29/2024,05:15:00 AM,,,,,01/23/2024  10:00 PM
12,3N30,March,07/25/2024,05:00:00 AM,,,,,01/23/2024  10:00 PM
13,5J28,March,07/22/2024,07:00:00 AM,,,202.0,ALL TAXI MANAGEMENT INC,01/23/2024  10:00 PM
14,2C51,January,05/02/2024,05:45:00 AM,,,201.0,GREEN APPLE MANAGEMENT CORP,01/23/2024  10:00 PM
15,6M27,February,06/24/2024,06:30:00 AM,,,17.0,EAST WEST MANAGEMENT,01/23/2024  10:00 PM
16,3W68,February,06/03/2024,05:00:00 AM,,,,,01/23/2024  10:00 PM
17,6P89,April,08/28/2024,08:00:00 AM,,,0.0,,01/23/2024  10:00 PM
18,3W52,February,06/25/2024,06:30:00 AM,,,,,01/23/2024  10:00 PM
19,9v39,January,05/14/2024,06:30:00 AM,,,,,01/23/2024  10:00 PM
20,5M50,February,06/24/2024,05:00:00 AM,,,,,01/23/2024  10:00 PM
21,1B29,April,08/01/2024,05:00:00 AM,,,,,01/23/2024  10:00 PM
22,2M50,February,06/20/2024,06:00:00 AM,,,0.0,,01/23/2024  10:00 PM
23,4L80,January,05/24/2024,08:15:00 AM,,,,,01/23/2024  10:00 PM
24,1D86,February,06/03/2024,07:30:00 AM,,,358.0,BIG APPLE TAXI MANAGEMENT LLC,01/23/2024  10:00 PM
25,2E99,March,07/12/2024,05:30:00 AM,,,0.0,,01/23/2024  10:00 PM
26,9T35,February,06/14/2024,08:00:00 AM,,,,,01/23/2024  10:00 PM
27,9E69,March,07/18/2024,08:30:00 AM,,,,,01/23/2024  10:00 PM
28,8Y71,February,06/05/2024,05:30:00 AM,,,,,01/23/2024  10:00 PM
29,3A13,March,07/02/2024,06:00:00 AM,,,,,01/23/2024  10:00 PM
30,1M21,January,05/23/2024,07:30:00 AM,,,113.0,CHECKER MANAGEMENT CORP,01/23/2024  10:00 PM
31,3F61,April,08/13/2024,08:45:00 AM,,,,,01/23/2024  10:00 PM
32,8L14,January,05/30/2024,06:30:00 AM,,,,,01/23/2024  10:00 PM
33,9N94,March,07/25/2024,06:00:00 AM,,,17.0,EAST WEST MANAGEMENT,01/23/2024  10:00 PM
34,8H16,February,06/14/2024,05:30:00 AM,,,201.0,GREEN APPLE MANAGEMENT CORP,01/23/2024  10:00 PM
35,8M56,February,06/24/2024,07:00:00 AM,,,,,01/23/2024  10:00 PM
36,4M68,February,06/21/2024,06:45:00 AM,,,213.0,J T L MANAGEMENT INC,01/23/2024  10:00 PM
37,4B60,April,08/05/2024,06:00:00 AM,,,,,01/23/2024  10:00 PM
38,5H48,April,08/23/2024,09:00:00 AM,,,14.0,MIDTOWN OPERATING CORP,01/23/2024  10:00 PM
39,8B26,April,08/08/2024,08:30:00 AM,,,113.0,CHECKER MANAGEMENT CORP,01/23/2024  10:00 PM
40,4K77,April,08/19/2024,05:30:00 AM,,,253.0,QUEENS MEDALLION LEASING INC.,01/23/2024  10:00 PM
41,8A33,March,07/08/2024,08:30:00 AM,,,340.0,ALL TAXI NY LLC,01/23/2024  10:00 PM
42,5J79,March,07/23/2024,05:00:00 AM,,,0.0,,01/23/2024  10:00 PM
43,5B22,April,08/06/2024,06:00:00 AM,,,213.0,J T L MANAGEMENT INC,01/23/2024  10:00 PM
44,8H39,January,05/01/2024,06:00:00 AM,,,312.0,GOTHAM YELLOW LLC,01/23/2024  10:00 PM
45,7B65,April,08/07/2024,06:30:00 AM,,,289.0,BOULEVARD TAXI LEASING INC,01/23/2024  10:00 PM
46,9M10,February,06/18/2024,08:45:00 AM,,,202.0,ALL TAXI MANAGEMENT INC,01/23/2024  10:00 PM
47,4P70,April,08/23/2024,09:00:00 AM,,,327.0,WHITE AND BLUE GROUP CORP.,01/23/2024  10:00 PM
48,3N84,March,07/22/2024,08:00:00 AM,,,358.0,BIG APPLE TAXI MANAGEMENT LLC,01/23/2024  10:00 PM
49,4D47,February,06/05/2024,08:00:00 AM,,,0.0,,01/23/2024  10:00 PM
50,1N86,February,06/17/2024,08:00:00 AM,,,14.0,MIDTOWN OPERATING CORP,01/23/2024  10:00 PM
51,5E77,March,07/15/2024,08:30:00 AM,,,,,01/23/2024  10:00 PM
52,4V16,January,05/31/2024,09:00:00 AM,,,,,01/23/2024  10:00 PM
53,3G94,January,05/24/2024,05:00:00 AM,,,,,01/23/2024  10:00 PM
54,7E99,March,07/17/2024,08:00:00 AM,,,0.0,,01/23/2024  10:00 PM
55,2R98,April,08/05/2024,05:00:00 AM,,,,,01/23/2024  10:00 PM
56,5Y94,February,06/28/2024,05:00:00 AM,,,0.0,,01/23/2024  10:00 PM
57,2G69,February,06/14/2024,05:15:00 AM,,,,,01/23/2024  10:00 PM
58,8J39,March,07/24/2024,07:30:00 AM,,,,,01/23/2024  10:00 PM
59,8F32,April,08/16/2024,06:00:00 AM,,,0.0,,01/23/2024  10:00 PM
60,9B63,April,08/09/2024,09:15:00 AM,,,0.0,,01/23/2024  10:00 PM
61,1D39,February,06/03/2024,05:30:00 AM,,,0.0,,01/23/2024  10:00 PM
62,9F62,April,08/22/2024,07:15:00 AM,,,0.0,,01/23/2024  10:00 PM
63,6E82,March,07/16/2024,07:00:00 AM,,,0.0,,01/23/2024  10:00 PM
64,2C40,January,05/02/2024,05:00:00 AM,,,,,01/23/2024  10:00 PM
