,Trip ID,Duration,Start Time,End Time,Starting Station ID,Starting Station Latitude,Starting Station Longitude,Ending Station ID,Ending Station Latitude,Ending Station Longitude,Bike ID,Plan Duration,Trip Route Category,Passholder Type,Starting Lat-Long,Ending Lat-Long
0,17945760,1560,01/15/2017 11:21:00 AM,01/15/2017 11:47:00 AM,3052.0,34.051102,-118.264557,3000.0,,,6074,0.0,One Way,Walk-up,,
1,16871815,1200,12/28/2016 01:02:00 PM,12/28/2016 01:22:00 PM,,,,,,,6658,,One Way,Staff Annual,,
2,9378284,60,10/09/2016 09:40:00 AM,10/09/2016 09:41:00 AM,,,,,,,6437,,One Way,Staff Annual,,
3,19067506,10980,02/01/2017 07:43:00 AM,02/01/2017 10:46:00 AM,3005.0,34.04855,-118.259048,3000.0,,,6676,30.0,One Way,Monthly Pass,,
4,17257326,11400,01/04/2017 12:48:00 PM,01/04/2017 03:58:00 PM,3022.0,34.04607,-118.233093,3000.0,,,5833,0.0,One Way,Walk-up,,
5,16883024,11100,12/28/2016 03:27:00 PM,12/28/2016 06:32:00 PM,3016.0,34.052898,-118.241562,,,,6207,,One Way,Staff Annual,"(34.052898, -118.241562)",
6,23210707,68580,03/26/2017 01:57:00 AM,03/26/2017 09:00:00 PM,3062.0,34.047749,-118.243172,3000.0,,,6067,0.0,One Way,Walk-up,,
7,18407502,86400,01/21/2017 03:38:00 PM,01/22/2017 03:46:00 PM,3082.0,34.04652,-118.237411,3000.0,,,6623,0.0,One Way,Walk-up,,
8,22310540,11280,03/16/2017 12:42:00 PM,03/16/2017 03:50:00 PM,3022.0,34.04607,-118.233093,3000.0,,,5826,365.0,One Way,Flex Pass,,
9,18781696,840,01/28/2017 04:12:00 PM,01/28/2017 04:26:00 PM,3052.0,34.051102,-118.264557,3000.0,,,5875,30.0,One Way,Monthly Pass,,
10,23186965,8400,03/26/2017 01:15:00 PM,03/26/2017 03:35:00 PM,3005.0,34.04855,-118.259048,3039.0,34.024479,-118.393867,4728,0.0,One Way,Walk-up,,"(34.024479, -118.393867)"
