,full_fips_code,year,state_code,county_code,fipsyear,vmt,population,total_emissions,true_gdp,unemployment_rate,charging_stations,lnmiles,tms,telework,aland_sqmi,warehouse_emply,courier_emply,courier_wages,courier_nonemp_estab,courier_nonemp_rcptot,cpi,courier_nonemp_rcptot_real,driver_nonemp_estab,driver_nonemp_rcptot,driver_nonemp_rcptot_real,pop_density,upt_distr_commuters,transit_user_count,vmt_per_person,gdp_per_person,charging_stations_per_person,lnmiles_per_person,upt_per_person,county_type,internet_connections,unemployed,labor_force,teleworkers,capital_transit_funding,vmt_log_predictions,vmt_predictions,logvmt,total_emissions_log_predictions,total_emissions_predictions,logtotal_emissions,transit_user_count_log_predictions,transit_user_count_predictions,logtransit_user_count
0,1001,2000,1,1,01001-2000,274449272.4,44021,,,0.041,0,1980.32,,,595.968032,0.0,0.0,0.0,,,1.72,0.0,0.0,0.0,,73.86470018,,,6234.507903,,0.0,0.044985802,,Metropolitan,,896.301,21861,,,,,,,,,,,
1,1001,2001,1,1,01001-2001,294383486.5,44889,,949800.0,0.041,0,1983.54,,,595.968032,,,,,,1.77,0.0,0.0,0.0,,75.32115414,,,6558.031734,21.15885852,0.0,0.044187663,,Metropolitan,,905.321,22081,,,,,,,,,,,
2,1001,2002,1,1,01001-2002,302790677.5,45909,,984039.0,0.048,0,1922.24,,,595.968032,,,,,,1.8,0.0,,,0.0,77.03265534,0.0,,6595.45356,21.43455532,0.0,0.041870657,0.0,Metropolitan,,1063.728,22161,,0.0,,,,,,,,,
3,1001,2003,1,1,01001-2003,308238612.8,46800,,1008032.0,0.05,0,1922.24,,,595.968032,0.0,,,,,1.84,0.0,,,0.0,78.52770197,0.0,,6586.295145,21.5391453,0.0,0.041073504,0.0,Metropolitan,,1134.75,22695,,0.0,,,,,,,,,
4,1001,2004,1,1,01001-2004,321675555.3,48366,,1170278.0,0.047,0,1648.34,,,595.968032,0.0,,,,,1.89,0.0,,,0.0,81.15535969,0.0,,6650.861252,24.19629492,0.0,0.034080552,0.0,Metropolitan,,1092.327,23241,,0.0,,,,,,,,,
5,1001,2005,1,1,01001-2005,322993597.2,49676,,1195319.0,0.038,0,1648.58,0.008177489,0.014284728,595.968032,0.0,,,10.0,150000.0,1.95,76923.08,,,0.0,83.35346417,211842.1015,5688.0,6502.004936,24.06230373,0.0,0.033186649,4.264475832,Metropolitan,,907.706,23887,341.2193085,2115639.332,19.46196348,283284849.3,19.59314306,,,,7.661699361,2125.366127,8.646289765
6,1001,2006,1,1,01001-2006,335091920.5,51328,,1277094.0,0.033,0,1697.992,0.000361059,0.035421774,595.968032,,0.0,0.0,24.0,246000.0,2.02,121782.18,0.0,0.0,,86.12542493,15433.87505,228.0,6528.442965,24.88103959,0.0,0.033081203,0.300691144,Metropolitan,,806.025,24425,865.1768238,4116340.854,,,,,,,,,
7,1001,2007,1,1,01001-2007,336932626.8,52405,,1298942.0,0.034,0,1696.118,0.000439476,0.012668386,595.968032,,0.0,0.0,26.0,373000.0,2.07,180193.24,0.0,0.0,,87.93256884,22567.58188,276.0,6429.39847,24.78660433,0.0,0.032365576,0.430637952,Metropolitan,,830.756,24434,309.5393523,2843839.852,,,,,,,,,
8,1001,2008,1,1,01001-2008,308231608.3,53277,331449.7891,1172510.0,0.053,0,1707.49,0.010799379,0.020213742,595.968032,,0.0,0.0,24.0,243000.0,2.15,113023.26,0.0,0.0,,89.39573457,346380.1121,6924.0,5785.453541,22.00780825,0.0,0.03204929,6.501494306,Metropolitan,,1308.411,24687,499.0166389,611397.2023,,,,,,,,,
9,1001,2009,1,1,01001-2009,316829957.2,54135,,1209088.0,0.089,0,,0.002068623,0.01752362,595.968032,,0.0,0.0,16.0,368000.0,2.15,171162.79,0.0,0.0,,90.8354091,438030.8108,1248.0,5852.589955,22.33468181,0.0,,8.091453049,Metropolitan,11000.0,2194.74,24660,432.1324714,4008798.125,,,,,,,,,
10,1001,2010,1,1,01001-2010,319684290.6,54773,,1286603.0,0.088,0,1829.046,0.00113659,0.060418744,594.436,,0.0,0.0,16.0,506000.0,2.18,232110.09,0.0,0.0,,92.14280427,54511.31851,684.0,5836.530601,23.48973034,0.0,0.033393205,0.995222436,Metropolitan,36500.0,2265.912,25749,1555.722233,3177372.554,,,,,,,,,
11,1001,2011,1,1,01001-2011,324976640.5,55227,445625.5745,1375813.0,0.083,0,1826.253,0.001304603,0.008762584,594.436,,,,20.0,496000.0,2.25,220444.44,,,0.0,92.90655344,60535.67192,720.0,5884.379751,24.91196335,0.0,0.033068119,1.096124575,Metropolitan,17000.0,2145.135,25845,226.468983,3395204.263,19.53703289,305369442.6,19.59926387,12.94803951,420012.4002,13.0072366,7.916791342,2742.955703,6.580639137
12,1001,2012,1,1,01001-2012,343772629.7,54954,,1587254.0,0.071,0,1772.362,0.001981645,0.017426091,594.437,,0.0,0.0,17.0,435000.0,2.3,189130.43,,,0.0,92.44713906,36009.10058,1920.0,6255.643442,28.8833206,0.0,0.032251738,0.655258954,Metropolitan,15000.0,1829.102,25762,448.930952,278272.1807,19.5620315,313099470.7,19.65549104,,,,7.967989202,2887.046257,7.560601163
13,1001,2013,1,1,01001-2013,353803938.9,54727,,1477094.0,0.063,0,1772.204,0.001921165,0.024975146,594.437,,0.0,0.0,21.0,400000.0,2.33,171673.82,3.0,147000.0,63090.13,92.06526512,36022.93391,1716.0,6464.888243,26.9902242,0.0,0.032382626,0.658229647,Metropolitan,15000.0,1624.329,25783,643.9341834,97953.61596,19.5519963,309973168.7,19.68425348,,,,7.773323651,2376.356358,7.448333861
14,1001,2014,1,1,01001-2014,311821704.6,54893,455316.1805,1478607.0,0.058,0,2191.1,0.002112462,0.014483569,594.437,,0.0,0.0,20.0,491000.0,2.37,207173.0,,,0.0,92.34452095,41948.5366,1920.0,5680.536764,26.93616672,0.0,0.039915836,0.764187357,Metropolitan,15000.0,1487.062,25639,371.3442256,2546.147983,19.60467491,326739870.1,19.55794213,13.00111975,442909.0601,13.02874956,7.860910739,2593.88165,7.560601163
15,1001,2015,1,1,01001-2015,330914821.8,54864,,1586164.0,0.052,0,2175.819,0.001423244,0.020750904,594.439,,0.0,0.0,21.0,370000.0,2.37,156118.14,,,0.0,92.29542476,25633.95013,1200.0,6031.547496,28.91083406,0.0,0.03965841,0.467227146,Metropolitan,15500.0,1328.132,25541,529.9988329,163512.7056,19.61806078,331142971.9,19.61737157,,,,7.9256746,2767.430634,7.090909822
16,1001,2016,1,1,01001-2016,349731409.8,55243,,1652177.0,0.051,0,2190.783,0.003550609,0.034870164,594.446,,,,22.0,729000.0,2.4,303750.0,10.0,63000.0,26250.0,92.93190635,98544.11693,3216.0,6330.782358,29.90744529,0.0,0.039657205,1.783829932,Metropolitan,16000.0,1311.21,25710,896.5119236,132377.015,19.62953864,334965680.6,19.67267602,,,,7.827741926,2509.256884,8.076204527
17,1001,2017,1,1,01001-2017,368891429.3,55390,489359.5272,1584054.0,0.04,1,2190.748,0.0,0.024427318,594.449,0.0,,,13.0,260000.0,2.45,106122.45,18.0,186000.0,75918.37,93.17872517,0.0,0.0,6659.892206,28.59819462,1.81e-05,0.039551327,0.0,Metropolitan,16500.0,1050.76,26269,641.6812181,3099.615761,19.63121345,335527156.5,19.72601293,13.02131106,451942.87,13.10085477,,,
18,1001,2018,1,1,01001-2018,383707575.0,55533,,1600812.0,0.036,1,2191.584,0.001330898,0.028770877,594.444,0.0,,,18.0,437000.0,2.51,174103.59,28.0,255000.0,101593.63,93.42006985,49334.94401,1224.0,6909.541624,28.82631949,1.8e-05,0.039464535,0.888389678,Metropolitan,17000.0,952.956,26471,761.5938806,28959.63716,19.63959376,338350792.7,19.7653913,,,,7.886571185,2661.303144,7.110696123
19,1001,2019,1,1,01001-2019,385798229.3,55869,,1543336.0,0.029,1,2201.279,0.007915867,0.032698717,594.444,0.0,,,21.0,342000.0,2.56,133593.75,27.0,291000.0,113671.88,93.98530391,116042.5344,7524.0,6905.407816,27.62419231,1.79e-05,0.039400723,2.077046921,Metropolitan,17000.0,774.184,26696,872.924957,71350.53064,19.64096738,338815877.7,19.77082507,,,,7.839541639,2539.04077,8.92598609
20,1001,2020,1,1,01001-2020,372532591.3,58902,467074.9222,1525591.0,0.053,1,2144.136,0.002354138,0.061254909,594.456,0.0,,,105.0,890000.0,2.59,343629.34,25.0,249000.0,96139.0,99.08555049,30590.71042,2388.0,6324.617013,25.90049574,1.7e-05,0.036401752,0.519349265,Metropolitan,18500.0,1400.525,26425,1618.66098,73279.83089,19.62603198,333793128.0,19.73583509,13.00948589,446630.046,13.0542471,7.761803211,2349.136777,7.778630147
21,1003,2000,1,3,01003-2000,1196020480.0,141342,,,0.037,0,4905.66,,,1596.346694,0.0,0.0,0.0,49.0,849000.0,1.72,493604.65,,,0.0,88.54091691,,,8461.890167,,0.0,0.03470773,,Fringe,,2589.223,69979,,,,,,,,,,,
22,1003,2001,1,3,01003-2001,1167018442.0,144875,,4007706.0,0.043,0,4905.66,,,1596.346694,,,,59.0,1250000.0,1.77,706214.69,,,0.0,90.7540953,,,8055.347313,27.66319931,0.0,0.033861329,,Fringe,,2991.467,69569,,,,,,,,,,,
23,1003,2002,1,3,01003-2002,1231052217.0,147957,,4193288.0,0.05,0,4851.42,,,1596.346694,,,,,,1.8,0.0,,,0.0,92.6847536,0.0,,8320.337781,28.34126131,0.0,0.032789392,0.0,Fringe,,3468.95,69379,,0.0,,,,,,,,,
24,1003,2003,1,3,01003-2003,1258745059.0,151509,,4426472.0,0.049,0,4851.42,,,1596.346694,,,,87.0,1487000.0,1.84,808152.17,,,0.0,94.90983417,0.0,,8308.054696,29.21590137,0.0,0.032020672,0.0,Fringe,,3557.302,72598,,0.0,,,,,,,,,
25,1003,2004,1,3,01003-2004,1291103572.0,156266,,4912303.0,0.051,0,4925.15,,,1596.346694,24.0,,,92.0,1704000.0,1.89,901587.3,,,0.0,97.88976329,0.0,,8262.21681,31.4355202,0.0,0.031517733,0.0,Fringe,,3816.993,74843,,0.0,,,,,,,,,
26,1003,2005,1,3,01003-2005,1340591766.0,162183,,5502688.0,0.04,0,4915.608,0.00819564,0.017182811,1596.346694,74.0,,,83.0,1654000.0,1.95,848205.13,4.0,40000.0,20512.82,101.5963516,2536278.0,15904.0,8265.920386,33.92888281,0.0,0.030309021,15.63837147,Fringe,,3064.32,76608,1316.340754,278084.0,20.88946454,1180807707.0,21.01637697,,,,,,
27,1003,2006,1,3,01003-2006,1418404516.0,168121,,5673657.0,0.032,0,4928.932,0.005184822,0.01601243,1596.346694,82.0,,,103.0,2205000.0,2.02,1091584.16,6.0,45000.0,22277.23,105.316095,2492446.0,10144.0,8436.807514,33.74746165,0.0,0.029317765,14.82531034,Fringe,,2553.792,79806,1277.888028,3790480.0,20.92740256,1226465833.0,21.0727985,,,,,,
28,1003,2007,1,3,01003-2007,1405448820.0,172404,,5852051.0,0.032,0,5090.488,0.001663867,0.013117085,1596.346694,94.0,,,116.0,2798000.0,2.07,1351690.82,11.0,175000.0,84541.06,107.9990961,2349590.0,3296.0,8152.066193,33.94382381,0.0,0.029526508,13.62839609,Fringe,,2650.528,82829,1086.474994,3927940.0,20.95824605,1264883745.0,21.06362253,,,,,,
29,1003,2008,1,3,01003-2008,1345075624.0,175827,1175958.164,5569570.0,0.048,0,5095.558,0.002332452,0.020681076,1596.346694,95.0,,,116.0,3174000.0,2.15,1476279.07,14.0,261000.0,121395.35,110.1433671,2508158.0,4800.0,7649.994733,31.67642057,0.0,0.028980521,14.26491949,Fringe,,3993.84,83205,1720.768932,366988.0,20.94015847,1242210727.0,21.01971608,14.30213735,1626819.36,13.97759468,,,
30,1003,2009,1,3,01003-2009,1382597504.0,179406,,5328816.0,0.089,0,,0.002225457,0.017653063,1596.346694,84.0,,,109.0,2620000.0,2.15,1218604.65,19.0,338000.0,157209.3,112.3853613,2488656.0,4256.0,7706.528789,29.70255175,0.0,,13.87164309,Fringe,56000.0,7325.946,82314,1453.094222,9202628.0,,,,,,,,,
