,OBJECTID,RTE_CN,ID,NAME,BMP,EMP,SEG_LENGTH,GIS_MILES,SYMBOL,MVUM_SYMBOL_NAME,JURISDICTION,OPERATIONALMAINTLEVEL,SURFACETYPE,SYSTEM,SEASONAL,PASSENGERVEHICLE,PASSENGERVEHICLE_DATESOPEN,HIGHCLEARANCEVEHICLE,HIGHCLEARANCEVEHICLE_DATESOPEN,TRUCK,TRUCK_DATESOPEN,BUS,BUS_DATESOPEN,MOTORHOME,MOTORHOME_DATESOPEN,FOURWD_GT50INCHES,FOURWD_GT50_DATESOPEN,TWOWD_GT50INCHES,TWOWD_GT50_DATESOPEN,TRACKED_OHV_GT50INCHES,TRACKED_OHV_GT50_DATESOPEN,OTHER_OHV_GT50INCHES,OTHER_OHV_GT50_DATESOPEN,ATV,ATV_DATESOPEN,MOTORCYCLE,MOTORCYCLE_DATESOPEN,OTHERWHEELED_OHV,OTHERWHEELED_OHV_DATESOPEN,TRACKED_OHV_LT50INCHES,TRACKED_OHV_LT50_DATESOPEN,OTHER_OHV_LT50INCHES,OTHER_OHV_LT50_DATESOPEN,ADMINORG,SECURITYID,DISTRICTNAME,FORESTNAME,FIELD_ID,SBS_SYMBOL_NAME,ROUTESTATUS,GLOBALID,TA_SYMBOL,SHAPE,SHAPELEN
0,14,2468010421,733,TIMBER GULCH,0.0,5.05,5.05,4.973,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,20308,203,Northern Hills Ranger District,Black Hills National Forest,733,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{563AF95C-EC1B-44BD-BA66-87B670C11EA3},4,,0.093233466586953
1,15,561010421,336.1P,HINES BR 1P,0.15,0.97,0.82,0.834,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,05/15-12/15,open,05/15-12/15,open,05/15-12/15,open,05/15-12/15,open,05/15-12/15,,,,,,,,,,,,,,,,,,,20303,203,Hell Canyon Ranger District,Black Hills National Forest,336.1P,"Road, Not Maintained for Passenger Car",EX - EXISTING,{64992FAC-6C6E-4A45-8F46-7792D7D5BFAB},6,,0.0135980744368655
2,39,135010421,653.1O,STAGG BR 1O,0.0,0.7,0.7,0.674,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,20303,203,Hell Canyon Ranger District,Black Hills National Forest,653.1O,"Road, Not Maintained for Passenger Car",EX - EXISTING,{1F53B92D-A05B-42D5-93B8-C4EB889EAF0B},6,,0.0121865863658551
3,45,2296010421,858.1,PETERSON RD,0.0,1.5,1.5,1.517,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20301,203,Bearlodge Ranger District,Black Hills National Forest,858.1,"Road, Not Maintained for Passenger Car",EX - EXISTING,{A18C47E0-1E0B-448C-95EB-E5F05030316B},6,,0.0260870640992927
4,46,1342010421,278.1D,LITHOGRAPH BR 1D,0.0,0.52,0.52,0.509,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,20303,203,Hell Canyon Ranger District,Black Hills National Forest,278.1D,"Road, Not Maintained for Passenger Car",EX - EXISTING,{C99CBCC1-08CC-40D5-AF32-E977B5D70722},6,,0.0095116613264914
5,49,1193010421,341,CUSTER MOUNTAIN,0.0,2.96,2.96,2.962,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,20303,203,Hell Canyon Ranger District,Black Hills National Forest,341,"Road, Not Maintained for Passenger Car",EX - EXISTING,{EBF6B369-BAB7-43B9-86EA-D4C70AFD0F4C},6,,0.0516395138622521
6,57,1302010421,273.3O,PASS CR BR 3O,0.0,0.35,0.35,0.35,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,20303,203,Hell Canyon Ranger District,Black Hills National Forest,273.3O,"Road, Not Maintained for Passenger Car",EX - EXISTING,{7B7CBB18-9A73-4421-A419-16C284D0A464},6,,0.006037301437164
7,58,1289010421,273.2F,PASS CR BR 2F,0.0,1.83,1.83,1.771,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,20303,203,Hell Canyon Ranger District,Black Hills National Forest,273.2F,"Road, Not Maintained for Passenger Car",EX - EXISTING,{54EF1882-4FD4-4B7A-B489-12B3E789BEC2},6,,0.0348170108560164
8,60,1267010421,270.1T,MANN BR 1T,0.0,2.06,2.06,2.023,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,20303,203,Hell Canyon Ranger District,Black Hills National Forest,270.1T,"Road, Not Maintained for Passenger Car",EX - EXISTING,{FFB0FAA1-0F55-4DDA-B255-6300119A59CC},6,,0.0374417677090726
9,148,1463010357,1600000,ILLABOT,0.0,20.5,20.5,20.24,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,60501,605,Mt. Baker Ranger District,Mt. Baker-Snoqualmie National Forest,1600000,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{F02FCEED-33C4-4835-8D5C-34E3C4DA4F2B},4,,0.358499441953888
10,162,73210349,7401A,CANYON CR CAMP,0.0,0.1102,0.1102,0.0,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,12/02-10/15,open,12/02-10/15,open,12/02-10/15,open,12/02-10/15,open,12/02-10/15,,,,,,,,,,,,,,,,,,,10202,114,,Kootenai National Forest,7401A,"Dirt Road, Suitable for Passenger Car",EX - EXISTING,{B3FE0DD4-122F-4834-8403-B2F14A315ED5},5,,
11,163,191110349,78407,,0.0,1.2622,1.2622,0.0,4,"Roads open to highway legal vehicles only, Seasonal",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,seasonal,open,05/16-12/01,open,05/16-12/01,open,05/16-12/01,open,05/16-12/01,open,05/16-12/01,,,,,,,,,,,,,,,,,,,10208,114,Pintler Ranger District,Beaverhead-Deerlodge National Forest,78407,"Road, Not Maintained for Passenger Car",EX - EXISTING,{EF473455-C2DA-4C72-BEC3-A72167B7597D},6,,
12,166,149110349,19866,,0.0,0.9081,0.9081,0.0,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,10208,114,Pintler Ranger District,Beaverhead-Deerlodge National Forest,19866,"Road, Not Maintained for Passenger Car",EX - EXISTING,{B2FB0CE6-FD92-4D70-A0F2-AF1545E5B3FB},6,,
13,209,85010307,758,ARD LONG RIDGE RD,0.0,2.2,2.2,2.174,3,"Roads open to highway legal vehicles only, Yearlong",FS - FOREST SERVICE,3 - SUITABLE FOR PASSENGER CARS,AGG - CRUSHED AGGREGATE OR GRAVEL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,,,,,,,,,,,,,,,,,,,91401,914,Athens Ranger District,Wayne National Forest,758,"Gravel Road, Suitable for Passenger Car",EX - EXISTING,{7A49DEC8-4577-4622-981D-985F38EC5E71},4,,0.0370594441671571
14,212,265687010602,923.AE,923.AE,0.0,1.6,1.6,1.579,1,"Roads open to all Vehicles, Yearlong",FS - FOREST SERVICE,2 - HIGH CLEARANCE VEHICLES,NAT - NATIVE MATERIAL,NFSR - NATIONAL FOREST SYSTEM ROAD,yearlong,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,open,01/01-12/31,20609,206,Douglas Ranger District/Thunder Basin National Grassland,Medicine Bow-Routt National Forest,923.AE,"Road, Not Maintained for Passenger Car",EX - EXISTING,{C14C60E7-C25B-42A2-95F9-1A311D223271},6,,0.0259913568041333
