,Agency,Asset Category,Asset,Asset Sub-Category/Components,Total,Units,Condition Criteria,Condition Criteria Percent
0,NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Roof,15,Each,Percent in Poor/Marginal Condition,0.47
1,NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),HVAC,15,Each,Percent in Poor/Marginal Condition,0.47
2,NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Exterior,15,Each,Percent in Poor/Marginal Condition,0.33
3,NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Building Structure,15,Each,Percent in Poor/Marginal Condition,0.73
4,NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Electrical,15,Each,Percent in Poor/Marginal Condition,0.33
5,NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Elevators,8,Each,Percent in Poor/Marginal Condition,0.63
6,NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Employee Facilities,15,Each,Percent in Poor/Marginal Condition,0.8
7,NYCT,Shops and yards,Railcar Maintenance Shops (15 Shops),Heavy Shop Equipment,41,Each,Percent in Poor/Marginal Condition,0.1
8,NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Roof,15,Each,Percent in Poor/Marginal Condition,0.13
9,NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",HVAC,15,Each,Percent in Poor/Marginal Condition,0.67
10,NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Exterior,15,Each,Percent in Poor/Marginal Condition,0.13
11,NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Building Structure,15,Each,Percent in Poor/Marginal Condition,0.73
12,NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Electrical,15,Each,Percent in Poor/Marginal Condition,0.13
13,NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Elevators,12,Each,Percent in Poor/Marginal Condition,1.0
14,NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Employee Facilities,15,Each,Percent in Poor/Marginal Condition,0.47
15,NYCT,Shops and yards,"Railcar Overhaul Shops (2 Overhaul Complexes, 15 Sub-shops)",Heavy Shop Equipment,246,Each,Percent in Poor/Marginal Condition,0.36
16,NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),CCTV,2,Each,Percent in Poor/Marginal Condition,0.5
17,NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Fencing,24,Each,Percent in Poor/Marginal Condition,0.0
18,NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Hydrants,24,Each,Percent in Poor/Marginal Condition,0.08
19,NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Lighting,24,Each,Percent in Poor/Marginal Condition,0.5
20,NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Yard Track,102,Miles,Percent in Poor/Marginal Condition,0.25
21,NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Yard Signal,23,Each,Percent in Poor/Marginal Condition,0.42
22,NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Yard Switch,874,Each,Percent in Poor/Marginal Condition,0.19
23,NYCT,Shops and yards,Car Washer (8 Car Washers),Enclosures,8,Each,Percent in Poor/Marginal Condition,0.13
24,NYCT,Shops and yards,Car Washer (8 Car Washers),Equipment,8,Each,Percent in Poor/Marginal Condition,0.13
25,NYCT,Shops and yards,Car Washer (8 Car Washers),Lighting,8,Each,Percent in Poor/Marginal Condition,0.13
26,NYCT,Shops and yards,Car Washer (8 Car Washers),Electrical,8,Each,Percent in Poor/Marginal Condition,0.0
27,NYCT,Shops and yards,Car Washer (8 Car Washers),Plumbing and Drain,8,Each,Percent in Poor/Marginal Condition,0.13
28,NYCT,Shops and yards,Maintenance Support Shops,Roof,29,Each,Percent in Poor/Marginal Condition,0.69
29,NYCT,Shops and yards,Maintenance Support Shops,HVAC,29,Each,Percent in Poor/Marginal Condition,0.48
30,NYCT,Shops and yards,Maintenance Support Shops,Exterior,29,Each,Percent in Poor/Marginal Condition,0.48
31,NYCT,Shops and yards,Maintenance Support Shops,Building Structure,29,Each,Percent in Poor/Marginal Condition,0.38
32,NYCT,Shops and yards,Maintenance Support Shops,Electrical,29,Each,Percent in Poor/Marginal Condition,0.55
33,NYCT,Shops and yards,Maintenance Support Shops,Employee Facilities,29,Each,Percent in Poor/Marginal Condition,0.45
34,NYCT,Shops and yards,Maintenance Support Shops,Heavy Shop Equipment,29,Each,Percent in Poor/Marginal Condition,0.31
35,NYCT,Shops and yards,SIR Maintenance Shops,Overall Rating,2,Each,Percent in Poor/Marginal Condition,0.5
36,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Roof,38,Each,Percent in Poor/Marginal Condition,0.29
37,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Boiler,38,Each,Percent in Poor/Marginal Condition,0.21
38,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Air Curtain,31,Each,Percent in Poor/Marginal Condition,0.26
39,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Ventilation,38,Each,Percent in Poor/Marginal Condition,0.42
40,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Architectural/Structural,38,Each,Percent in Poor/Marginal Condition,0.24
41,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Electrical,38,Each,Percent in Poor/Marginal Condition,0.37
42,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Lighting,38,Each,Percent in Poor/Marginal Condition,0.26
43,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Elevator,19,Each,Percent in Poor/Marginal Condition,0.16
44,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Employee Facilities,38,Each,Percent in Poor/Marginal Condition,0.39
45,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Admin Office,38,Each,Percent in Poor/Marginal Condition,0.45
46,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Emergency Generators,31,Each,Percent in Poor/Marginal Condition,0.42
47,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Fire Alarm and Suppression,38,Each,Percent in Poor/Marginal Condition,0.21
48,NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Bus Wash,29,Each,Percent in Poor/Marginal Condition,0.07
