,Time Period,Trip Type,Fare Evasion,Ridership
0,2019-Q1,Local,0.25,114656968
1,2019-Q2,Local,0.279,121011422
2,2019-Q3,Local,0.21,115830407
3,2019-Q4,Local,0.206,114758496
4,2020-Q1,Local,0.211,94516835
5,2020-Q2,Local,,50240
6,2020-Q3,Local,,20319469
7,2020-Q4,Local,0.233,58410040
8,2020-Q4,Express,0.047,904829
9,2021-Q1,Local,0.236,54882761
10,2021-Q1,Express,0.064,864625
11,2021-Q1,SBS,0.338,8377749
12,2021-Q2,Local,0.238,66295766
13,2021-Q2,Express,0.054,1109559
14,2021-Q2,SBS,0.311,10490334
15,2021-Q3,Local,0.252,70182147
16,2021-Q3,Express,0.073,1282027
17,2021-Q3,SBS,0.321,11109776
18,2021-Q4,Local,0.293,74133318
19,2021-Q4,Express,0.06,1484947
20,2021-Q4,SBS,0.363,11680580
21,2022-Q1,Local,0.315,67236084
22,2022-Q1,Express,0.063,1505581
23,2022-Q1,SBS,0.403,10026402
24,2022-Q2,Local,0.326,75707517
25,2022-Q2,Express,0.062,1798055
26,2022-Q2,SBS,0.391,11722920
27,2022-Q3,Local,0.329,74737479
28,2022-Q3,Express,0.062,1834530
29,2022-Q3,SBS,0.413,11283569
30,2022-Q4,Local,0.363,74222923
31,2022-Q4,Express,0.061,1915174
32,2022-Q4,SBS,0.456,11102729
33,2023-Q1,Local,0.377,73505387
34,2023-Q1,Express,0.059,2025885
35,2023-Q1,SBS,0.465,11237493
36,2023-Q2,Local,0.398,75611114
37,2023-Q2,Express,0.061,2108869
38,2023-Q2,SBS,0.445,11767213
39,2023-Q3,Local,0.41,71266876
40,2023-Q3,Express,0.064,2035532
41,2023-Q3,SBS,0.483,10959472
42,2023-Q4,Local,0.454,67727952
43,2023-Q4,Express,0.062,2098874
44,2023-Q4,SBS,0.539,10400391
45,2024-Q1,Local,0.469,64695852
46,2024-Q1,Express,0.045,2139033
47,2024-Q1,SBS,0.566,9857146
