,month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
0,2015-01,Bronx,1,EXP,BXM1,Off-Peak,2784466,36472316.4,13.1
1,2015-01,Bronx,1,EXP,BXM1,Peak,2121002,24198109.2,11.41
2,2015-01,Bronx,1,EXP,BXM10,Off-Peak,2206213,27253447.2,12.35
3,2015-01,Bronx,1,EXP,BXM10,Peak,2270351,23846810.4,10.5
4,2015-01,Bronx,1,EXP,BXM11,Off-Peak,2537255,32744012.4,12.91
5,2015-01,Bronx,1,EXP,BXM11,Peak,1780826,19441746.0,10.92
6,2015-01,Bronx,1,EXP,BXM18,Off-Peak,311194,4191580.8,13.47
7,2015-01,Bronx,1,EXP,BXM18,Peak,772406,8790084.0,11.38
8,2015-01,Bronx,1,EXP,BXM2,Off-Peak,2231629,32800320.0,14.7
9,2015-01,Bronx,1,EXP,BXM2,Peak,1415230,17502955.2,12.37
10,2015-01,Bronx,1,EXP,BXM3,Off-Peak,1529159,18537638.4,12.12
11,2015-01,Bronx,1,EXP,BXM3,Peak,1334783,14361703.2,10.76
12,2015-01,Bronx,1,EXP,BXM4,Off-Peak,980435,10171011.6,10.37
13,2015-01,Bronx,1,EXP,BXM4,Peak,644269,6180296.4,9.59
14,2015-01,Bronx,1,EXP,BXM6,Off-Peak,1064001,14094651.6,13.25
15,2015-01,Bronx,1,EXP,BXM6,Peak,950327,10335045.6,10.88
16,2015-01,Bronx,1,EXP,BXM7,Off-Peak,4377459,71326378.8,16.29
17,2015-01,Bronx,1,EXP,BXM7,Peak,3996539,53829259.2,13.47
18,2015-01,Bronx,1,EXP,BXM8,Off-Peak,2355190,31851039.6,13.52
19,2015-01,Bronx,1,EXP,BXM8,Peak,2509644,28792213.2,11.47
20,2015-01,Bronx,1,EXP,BXM9,Off-Peak,3000504,42060902.4,14.02
21,2015-01,Bronx,1,EXP,BXM9,Peak,2404296,28516413.6,11.86
22,2015-01,Bronx,2,EXP,BXM1,Off-Peak,739624,10816340.4,14.62
23,2015-01,Bronx,2,EXP,BXM1,Peak,329726,4872844.8,14.78
24,2015-01,Bronx,2,EXP,BXM10,Off-Peak,691785,9903096.0,14.32
25,2015-01,Bronx,2,EXP,BXM10,Peak,341472,4801078.8,14.06
26,2015-01,Bronx,2,EXP,BXM11,Off-Peak,810447,12147674.4,14.99
27,2015-01,Bronx,2,EXP,BXM11,Peak,382709,5571705.6,14.56
28,2015-01,Bronx,2,EXP,BXM18,Off-Peak,8454,138304.8,16.36
29,2015-01,Bronx,2,EXP,BXM18,Peak,21512,345168.0,16.05
30,2015-01,Bronx,2,EXP,BXM2,Off-Peak,728234,12300634.8,16.89
31,2015-01,Bronx,2,EXP,BXM2,Peak,284161,4878367.2,17.17
32,2015-01,Bronx,2,EXP,BXM3,Off-Peak,531398,7547803.2,14.2
33,2015-01,Bronx,2,EXP,BXM3,Peak,175004,2444292.0,13.97
34,2015-01,Bronx,2,EXP,BXM4,Off-Peak,353373,4411504.8,12.48
35,2015-01,Bronx,2,EXP,BXM4,Peak,208157,2499922.8,12.01
36,2015-01,Bronx,2,EXP,BXM6,Off-Peak,472464,7259432.4,15.37
37,2015-01,Bronx,2,EXP,BXM6,Peak,227194,3296307.6,14.51
38,2015-01,Bronx,2,EXP,BXM7,Off-Peak,1463739,27107967.6,18.52
39,2015-01,Bronx,2,EXP,BXM7,Peak,697222,12588890.4,18.06
40,2015-01,Bronx,2,EXP,BXM8,Off-Peak,666990,10576483.2,15.86
41,2015-01,Bronx,2,EXP,BXM8,Peak,335405,5122364.4,15.27
42,2015-01,Bronx,2,EXP,BXM9,Off-Peak,772963,13016566.8,16.84
43,2015-01,Bronx,2,EXP,BXM9,Peak,327822,5499331.2,16.78
44,2015-01,Bronx,1,LCL/LTD,BX1,Off-Peak,8710307,62940902.4,7.23
45,2015-01,Bronx,1,LCL/LTD,BX1,Peak,4334312,30316503.6,6.99
46,2015-01,Bronx,1,LCL/LTD,BX10,Off-Peak,5778595,52543814.4,9.09
47,2015-01,Bronx,1,LCL/LTD,BX10,Peak,3258072,25735366.8,7.9
48,2015-01,Bronx,1,LCL/LTD,BX11,Off-Peak,7541261,49399466.4,6.55
49,2015-01,Bronx,1,LCL/LTD,BX11,Peak,4575982,26191166.4,5.72
