,month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
0,2020-01,Bronx,1,LCL/LTD,BX1,Off-Peak,68746748.4,9954329,6.91
1,2020-01,Bronx,1,LCL/LTD,BX1,Peak,30683422.8,4598266,6.67
2,2020-01,Bronx,2,LCL/LTD,BX1,Off-Peak,17392190.4,2505087,6.94
3,2020-01,Bronx,2,LCL/LTD,BX1,Peak,7326248.4,1051379,6.97
4,2020-01,Bronx,1,LCL/LTD,BX10,Off-Peak,59931864.0,6888124,8.7
5,2020-01,Bronx,1,LCL/LTD,BX10,Peak,28560121.2,3763874,7.59
6,2020-01,Bronx,2,LCL/LTD,BX10,Off-Peak,15149991.6,1572995,9.63
7,2020-01,Bronx,2,LCL/LTD,BX10,Peak,5689213.2,618570,9.2
8,2020-01,Bronx,1,LCL/LTD,BX11,Off-Peak,48243978.0,7948226,6.07
9,2020-01,Bronx,1,LCL/LTD,BX11,Peak,25119018.0,4745781,5.29
10,2020-01,Bronx,2,LCL/LTD,BX11,Off-Peak,15750331.2,2355430,6.69
11,2020-01,Bronx,2,LCL/LTD,BX11,Peak,6423786.0,1006672,6.38
12,2020-01,Bronx,1,LCL/LTD,BX12,Off-Peak,47980213.2,5306080,9.04
13,2020-01,Bronx,1,LCL/LTD,BX12,Peak,18182077.2,2366168,7.68
14,2020-01,Bronx,2,LCL/LTD,BX12,Off-Peak,18146552.4,1721899,10.54
15,2020-01,Bronx,2,LCL/LTD,BX12,Peak,5764089.6,584395,9.86
16,2020-01,Bronx,1,LCL/LTD,BX13,Off-Peak,25420093.2,3995772,6.36
17,2020-01,Bronx,1,LCL/LTD,BX13,Peak,14635792.8,2630146,5.56
18,2020-01,Bronx,2,LCL/LTD,BX13,Off-Peak,7615900.8,1157051,6.58
19,2020-01,Bronx,2,LCL/LTD,BX13,Peak,3493742.4,551072,6.34
20,2020-01,Bronx,1,LCL/LTD,BX15,Off-Peak,85955360.4,13808572,6.22
21,2020-01,Bronx,1,LCL/LTD,BX15,Peak,36642178.8,6592104,5.56
22,2020-01,Bronx,2,LCL/LTD,BX15,Off-Peak,29368411.2,4550599,6.45
23,2020-01,Bronx,2,LCL/LTD,BX15,Peak,11037074.4,1782484,6.19
24,2020-01,Bronx,1,LCL/LTD,BX16,Off-Peak,26605432.8,2943226,9.04
25,2020-01,Bronx,1,LCL/LTD,BX16,Peak,13415122.8,1782503,7.53
26,2020-01,Bronx,2,LCL/LTD,BX16,Off-Peak,7950254.4,780284,10.19
27,2020-01,Bronx,2,LCL/LTD,BX16,Peak,3171992.4,321465,9.87
28,2020-01,Bronx,1,LCL/LTD,BX17,Off-Peak,45828817.2,6613660,6.93
29,2020-01,Bronx,1,LCL/LTD,BX17,Peak,25236450.0,4080810,6.18
30,2020-01,Bronx,2,LCL/LTD,BX17,Off-Peak,14690746.8,1896665,7.75
31,2020-01,Bronx,2,LCL/LTD,BX17,Peak,6416082.0,848715,7.56
32,2020-01,Bronx,1,LCL/LTD,BX19,Off-Peak,70907198.4,12820072,5.53
33,2020-01,Bronx,1,LCL/LTD,BX19,Peak,27258123.6,5451899,5.0
34,2020-01,Bronx,2,LCL/LTD,BX19,Off-Peak,25696216.8,4253416,6.04
35,2020-01,Bronx,2,LCL/LTD,BX19,Peak,9930520.8,1681280,5.91
36,2020-01,Bronx,1,LCL/LTD,BX2,Off-Peak,53055500.4,9474447,5.6
37,2020-01,Bronx,1,LCL/LTD,BX2,Peak,27583207.2,5042851,5.47
38,2020-01,Bronx,2,LCL/LTD,BX2,Off-Peak,13186558.8,2101744,6.27
39,2020-01,Bronx,2,LCL/LTD,BX2,Peak,6676455.6,1052961,6.34
40,2020-01,Bronx,1,LCL/LTD,BX20,Off-Peak,1777759.2,222549,7.99
41,2020-01,Bronx,1,LCL/LTD,BX20,Peak,5832144.0,800216,7.29
42,2020-01,Bronx,1,LCL/LTD,BX21,Off-Peak,71850333.6,10244553,7.01
43,2020-01,Bronx,1,LCL/LTD,BX21,Peak,28804687.2,4642532,6.2
44,2020-01,Bronx,2,LCL/LTD,BX21,Off-Peak,20760264.0,2577064,8.06
45,2020-01,Bronx,2,LCL/LTD,BX21,Peak,7333128.0,960036,7.64
46,2020-01,Bronx,1,LCL/LTD,BX22,Off-Peak,42421100.4,6578065,6.45
47,2020-01,Bronx,1,LCL/LTD,BX22,Peak,23709657.6,4077017,5.82
48,2020-01,Bronx,2,LCL/LTD,BX22,Off-Peak,11999282.4,1650858,7.27
49,2020-01,Bronx,2,LCL/LTD,BX22,Peak,4640151.6,671860,6.91
50,2020-01,Bronx,1,LCL/LTD,BX23,Off-Peak,28539900.0,2445229,11.67
51,2020-01,Bronx,1,LCL/LTD,BX23,Peak,25720646.4,2342989,10.98
52,2020-01,Bronx,2,LCL/LTD,BX23,Off-Peak,7251667.2,621621,11.67
53,2020-01,Bronx,2,LCL/LTD,BX23,Peak,3183890.4,282548,11.27
54,2020-01,Bronx,1,LCL/LTD,BX24,Off-Peak,14346892.8,1476143,9.72
55,2020-01,Bronx,1,LCL/LTD,BX24,Peak,5472154.8,633272,8.64
56,2020-01,Bronx,2,LCL/LTD,BX24,Off-Peak,6144184.8,584285,10.52
57,2020-01,Bronx,2,LCL/LTD,BX24,Peak,2099412.0,195876,10.72
58,2020-01,Bronx,1,LCL/LTD,BX26,Off-Peak,36992422.8,5246046,7.05
