,Agency,Commendation or Complaint,Subject Matter,Subject Detail,Issue Detail,Year,Quarter,Branch/Line/Route
0,Long Island Rail Road,Commendation,Employees,CSR - Ambassador,Very Helpful/Friendly,2015,2,No Value
1,Long Island Rail Road,Commendation,Employees,CSR - Ambassador,Very Helpful/Friendly,2015,2,Port Jefferson
2,Long Island Rail Road,Commendation,Employees,CSR - Customer Service Office,,2015,1,No Value
3,Long Island Rail Road,Commendation,Employees,CSR - Customer Service Office,Other,2015,2,Far Rockaway
4,Long Island Rail Road,Commendation,Employees,CSR - Customer Service Office,Very Helpful / Friendly,2015,2,No Value
5,Long Island Rail Road,Commendation,Employees,CSR - Customer Service Office,Very Helpful / Friendly,2014,3,No Value
6,Long Island Rail Road,Commendation,Employees,CSR - Customer Service Office,Very Helpful / Friendly,2015,1,No Value
7,Long Island Rail Road,Commendation,Employees,CSR - Information Booth,Very Helpful / Friendly,2015,1,City Terminal Zone
8,Long Island Rail Road,Commendation,Employees,CSR - Telephone,Very Helpful / Friendly,2014,3,No Value
9,Long Island Rail Road,Commendation,Employees,CSR - Telephone,Very Helpful / Friendly,2015,1,Ronkonkoma
10,Long Island Rail Road,Commendation,Employees,CSR - Telephone,Very Helpful / Friendly,2015,2,No Value
11,Long Island Rail Road,Commendation,Employees,CSR - Telephone,Very Helpful / Friendly,2014,4,No Value
12,Long Island Rail Road,Commendation,Employees,Lost & Found Agent,,2015,1,No Value
13,Long Island Rail Road,Commendation,Employees,Lost & Found Agent,Other,2015,2,No Value
14,Long Island Rail Road,Commendation,Employees,Lost & Found Agent,Performance Under Stress,2015,1,No Value
15,Long Island Rail Road,Commendation,Employees,Lost & Found Agent,Very Helpful / Friendly,2015,2,No Value
16,Long Island Rail Road,Commendation,Employees,Lost & Found Agent,Very Helpful / Friendly,2014,3,Port Jefferson
17,Long Island Rail Road,Commendation,Employees,Maintenance Staff,Other,2015,2,Hempstead
18,Long Island Rail Road,Commendation,Employees,Maintenance Staff,Other,2015,2,Montauk
19,Long Island Rail Road,Commendation,Employees,Maintenance Staff,Performance Under Stress,2015,1,No Value
20,Long Island Rail Road,Commendation,Employees,Maintenance Staff,Very Helpful / Friendly,2015,1,No Value
21,Long Island Rail Road,Commendation,Employees,Maintenance Staff,Very Helpful / Friendly,2015,1,Far Rockaway
22,Long Island Rail Road,Commendation,Employees,Maintenance Staff,Very Helpful / Friendly,2015,1,Montauk
23,Long Island Rail Road,Commendation,Employees,Maintenance Staff,Very Helpful / Friendly,2015,2,No Value
24,Long Island Rail Road,Commendation,Employees,No Value,,2014,3,No Value
25,Long Island Rail Road,Commendation,Employees,No Value,,2015,2,No Value
26,Long Island Rail Road,Commendation,Employees,No Value,,2015,1,No Value
27,Long Island Rail Road,Commendation,Employees,Other,,2014,3,No Value
28,Long Island Rail Road,Commendation,Employees,Other,,2015,1,City Terminal Zone
29,Long Island Rail Road,Commendation,Employees,Other,,2015,1,No Value
30,Long Island Rail Road,Commendation,Employees,Other,Performance Under Stress,2015,2,No Value
31,Long Island Rail Road,Commendation,Employees,Other,Very Helpful/Friendly,2015,2,No Value
32,Long Island Rail Road,Commendation,Employees,Police Officer / Law Enforcement,Very Helpful / Friendly,2015,1,No Value
33,Long Island Rail Road,Commendation,Employees,Police Officer / Law Enforcement,Very Helpful / Friendly,2015,2,No Value
34,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,,2015,1,No Value
35,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Performance Under Stress,2015,1,No Value
36,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2014,4,Port Washington
37,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2014,4,No Value
38,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2014,4,City Terminal Zone
39,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2014,4,Port Jefferson
40,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2014,4,Montauk
41,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2015,1,No Value
42,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2015,1,Montauk
43,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2015,2,No Value
44,Long Island Rail Road,Commendation,Employees,Ticket Clerk / Station Agent,Very Helpful / Friendly,2015,2,Port Washington
45,Long Island Rail Road,Commendation,Employees,Train Conductor,,2014,4,Port Washington
46,Long Island Rail Road,Commendation,Employees,Train Conductor,Accuracy / Correctness - Audio,2014,4,Port Jefferson
47,Long Island Rail Road,Commendation,Employees,Train Conductor,Completeness / Sufficiency - Audio,2014,4,No Value
48,Long Island Rail Road,Commendation,Employees,Train Conductor,Completeness / Sufficiency - Audio,2015,1,Babylon
49,Long Island Rail Road,Commendation,Employees,Train Conductor,Completeness / Sufficiency - Audio,2015,1,No Value
