,Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
0,06/11/2024,3942038,0.7,1193805,0.56,259101,0.78,230796,0.78,36206,1.24,951147,0.97,7758,0.48
1,06/10/2024,3626060,0.65,1226208,0.57,240121,0.72,211542,0.72,32970,1.13,959576,0.98,7263,0.45
2,06/09/2024,2077210,0.79,621483,0.57,132945,1.35,107497,0.99,22435,1.24,962131,1.04,2205,0.56
3,06/08/2024,2672900,0.83,838741,0.6,159020,1.29,135138,0.85,23371,1.35,998451,1.02,3150,0.62
4,06/07/2024,3752068,0.67,1248206,0.58,252098,0.76,214062,0.72,35464,1.21,1035803,1.05,6392,0.39
5,06/06/2024,3773697,0.67,1171018,0.54,245631,0.74,219447,0.74,35234,1.2,978812,1.0,7059,0.44
6,06/05/2024,4051784,0.72,1319907,0.61,264512,0.8,230173,0.78,37800,1.29,985722,1.0,7942,0.49
7,06/04/2024,3979692,0.71,1325712,0.62,255090,0.77,233237,0.79,36865,1.26,957990,0.97,7799,0.48
8,06/03/2024,3611421,0.64,1293624,0.6,225413,0.68,197640,0.67,33679,1.15,946610,0.96,7168,0.44
9,06/02/2024,1978020,0.76,651554,0.6,114504,1.16,92567,0.85,22640,1.25,940743,1.02,2339,0.6
10,06/01/2024,2446126,0.76,847761,0.61,128555,1.05,110949,0.7,22726,1.31,999068,1.02,2980,0.59
11,05/31/2024,3688600,0.65,1256931,0.55,245017,0.77,211027,0.74,35020,1.19,1020563,1.06,6644,0.38
12,05/30/2024,3979934,0.7,1300741,0.57,253843,0.79,219887,0.77,35372,1.2,997110,1.04,7550,0.43
13,05/29/2024,4006764,0.7,1309889,0.58,254749,0.8,227380,0.79,36435,1.24,943930,0.98,8090,0.46
14,05/28/2024,3825781,0.67,1300611,0.57,257078,0.8,227312,0.79,34485,1.17,967869,1.01,7609,0.44
15,05/27/2024,1667890,0.7,594031,0.62,99975,1.03,81042,0.78,12673,0.43,742353,0.87,2123,0.6
16,05/26/2024,2019012,0.84,652393,0.68,120709,1.24,101017,0.97,22762,1.34,905197,1.06,2710,0.77
17,05/25/2024,2347159,0.73,805680,0.58,135961,1.15,120036,0.8,20733,1.2,924855,0.97,3031,0.62
18,05/24/2024,3583244,0.63,1243655,0.55,250907,0.79,209130,0.73,33663,1.14,1034556,1.07,6663,0.38
19,05/23/2024,3863099,0.68,1275297,0.56,250848,0.79,215083,0.75,34785,1.18,1011195,1.05,7442,0.43
20,05/22/2024,4104021,0.72,1357841,0.6,258544,0.81,233098,0.81,36940,1.26,975096,1.01,8086,0.46
21,05/21/2024,4029557,0.7,1349876,0.59,252506,0.79,234587,0.82,35819,1.22,962058,1.0,7775,0.45
22,05/20/2024,3682061,0.64,1291703,0.57,236846,0.74,216450,0.76,32417,1.1,956799,0.99,7160,0.41
23,05/19/2024,2121485,0.89,657256,0.68,112130,1.15,106409,1.02,22305,1.31,939438,1.1,2228,0.63
24,05/18/2024,2691368,0.84,792454,0.57,131709,1.11,130280,0.86,21562,1.25,969098,1.01,2855,0.59
25,05/17/2024,3816914,0.67,1270674,0.56,241980,0.76,215838,0.75,34946,1.19,1023765,1.06,6569,0.38
26,05/16/2024,4105026,0.72,1306481,0.57,243988,0.76,215601,0.75,35940,1.22,985179,1.02,7590,0.44
27,05/15/2024,4114615,0.72,1288427,0.57,248434,0.78,219840,0.77,36951,1.26,942648,0.98,7856,0.45
28,05/14/2024,4116655,0.72,1343633,0.59,260745,0.82,226656,0.79,35800,1.22,964136,1.0,7698,0.44
