,Month,FleetType,MDBFValue,Fleet Owned,No. of Primary Failures,MDBF Goal
0,01/01/2015,M-3,63742,,,
1,01/01/2015,M-7,584288,,,
2,01/01/2015,DE,18313,,,
3,01/01/2015,DM,8488,,,
4,01/01/2015,C-3,100400,,,
5,01/01/2015,Diesel,43113,,,
6,01/01/2015,Fleet,179211,,,
7,02/01/2015,M-3,52108,,,
8,02/01/2015,M-7,400525,,,
9,02/01/2015,DE,28009,,,
10,02/01/2015,DM,15610,,,
11,02/01/2015,C-3,79876,,,
12,02/01/2015,Diesel,52365,,,
13,02/01/2015,Fleet,168354,,,
14,03/01/2015,M-3,54056,,,
15,03/01/2015,M-7,667686,,,
16,03/01/2015,DE,29430,,,
17,03/01/2015,DM,18103,,,
18,03/01/2015,C-3,98945,,,
19,03/01/2015,Diesel,60951,,,
20,03/01/2015,Fleet,210480,,,
21,04/01/2015,M-3,50928,,,
22,04/01/2015,M-7,1740356,,,
23,04/01/2015,DE,27648,,,
24,04/01/2015,DM,68331,,,
25,04/01/2015,C-3,157226,,,
26,04/01/2015,Diesel,97523,,,
27,04/01/2015,Fleet,298248,,,
28,05/01/2015,M-3,93830,,,
29,05/01/2015,M-7,851080,,,
30,05/01/2015,DE,28323,,,
31,05/01/2015,DM,17526,,,
32,05/01/2015,C-3,185614,,,
33,05/01/2015,Diesel,76254,,,
34,05/01/2015,Fleet,274355,,,
35,06/01/2015,M-3,48542,,,
36,06/01/2015,M-7,402377,,,
37,06/01/2015,DE,19423,,,
38,06/01/2015,DM,31589,,,
39,06/01/2015,C-3,124069,,,
40,06/01/2015,Diesel,70529,,,
41,06/01/2015,Fleet,177112,,,
42,07/01/2015,M-3,115119,,,
43,07/01/2015,M-7,420325,,,
44,07/01/2015,DE,11991,,,
45,07/01/2015,DM,32898,,,
46,07/01/2015,C-3,112945,,,
47,07/01/2015,Diesel,57250,,,
48,07/01/2015,Fleet,200373,,,
49,08/01/2015,M-3,67516,,,
