,ServiceDate,ChargebackAmt,ChargebackPercentage
0,05/01/2022,7746.28,0.02
1,04/01/2022,7862.25,0.03
2,03/01/2022,15378.13,0.05
3,02/01/2022,7572.25,0.03
4,01/01/2022,7927.68,0.04
5,12/01/2021,9376.24,0.04
6,11/01/2021,6483.75,0.02
7,10/01/2021,9921.99,0.04
8,09/01/2021,7240.25,0.03
9,08/01/2021,6041.03,0.03
10,07/01/2021,5610.28,0.02
11,06/01/2021,5878.98,0.0287
12,05/01/2021,6505.27,0.04
13,04/01/2021,2369.48,0.02
14,03/01/2021,5018.75,0.04
15,02/01/2021,5616.75,0.06
16,01/01/2021,4184.13,0.04
17,12/01/2020,4383.5,0.04
18,11/01/2020,984.98,-0.01
19,10/01/2020,4565.7,0.04
20,09/01/2020,8779.57,0.07
21,08/01/2020,5444.57,0.05
22,07/01/2020,2052.03,-0.02
23,06/01/2020,234.06,-0.0039
24,05/01/2020,15175.2,0.0058
25,04/01/2020,31652.76,0.0263
26,03/01/2020,37547.17,0.0013
27,02/01/2020,58567.39,0.0013
28,01/01/2020,99136.24,0.002
29,12/01/2019,298531.41,0.0055
30,11/01/2019,328539.01,0.0069
31,10/01/2019,258911.87,0.0052
32,09/01/2019,312810.45,0.0064
33,08/01/2019,300616.22,0.0058
34,07/01/2019,281695.2,0.0054
35,06/01/2019,249119.89,0.0049
36,05/01/2019,304083.39,0.0062
37,04/01/2019,379258.23,0.0085
38,03/01/2019,324547.7,0.007
39,02/01/2019,340729.21,0.0081
40,01/01/2019,313080.75,0.0072
41,12/01/2018,316276.67,0.0069
42,11/01/2018,265369.38,0.006
43,10/01/2018,228439.47,0.0047
44,09/01/2018,205072.32,0.0047
45,08/01/2018,177474.4,0.0039
46,07/01/2018,141561.22,0.0029
47,06/01/2018,98435.87,0.0021
48,05/01/2018,79546.05,0.0017
49,04/01/2018,69914.96,0.0017
50,03/01/2018,64182.64,0.0016
51,02/01/2018,45944.03,0.0012
52,01/01/2018,46387.03,0.0011
53,12/01/2017,30371.87,0.0007
54,11/01/2017,39931.08,0.0009
55,10/01/2017,43431.03,0.001
56,09/01/2017,36475.03,0.0009
57,08/01/2017,53149.68,0.0013
58,07/01/2017,32015.75,0.0008
59,06/01/2017,42990.21,0.001
60,05/01/2017,49254.71,0.0011
61,04/01/2017,30595.73,0.0008
62,03/01/2017,42979.6,0.0011
63,02/01/2017,42010.08,0.0012
64,01/01/2017,41904.15,0.0011
65,12/01/2016,39525.74,0.0011
66,11/01/2016,45405.32,0.0012
67,10/01/2016,29425.34,0.0008
68,09/01/2016,32700.9,0.0009
69,08/01/2016,22823.28,0.0006
70,07/01/2016,21059.48,0.0006
71,06/01/2016,23678.7,0.0006
72,05/01/2016,18122.45,0.0005
73,04/01/2016,16405.94,0.0005
74,03/01/2016,22476.81,0.0006
75,02/01/2016,24036.74,0.0007
76,01/01/2016,26397.44,0.0009
77,12/01/2015,17762.26,0.0005
78,11/01/2015,19498.54,0.0006
79,10/01/2015,11061.96,0.0003
80,09/01/2015,10745.37,0.0003
81,08/01/2015,16516.03,0.0005
82,07/01/2015,33881.37,0.0009
83,06/01/2015,51165.87,0.0014
84,05/01/2015,42301.84,0.0013
85,04/01/2015,69878.12,0.0022
86,03/01/2015,36710.05,0.0011
87,02/01/2015,37238.62,0.0013
88,01/01/2015,18728.24,0.0007
