,Service Date,Train,Branch,Depart Station,Depart Time,Arrive Station,Arrive Time,Period,Status,Minutes Late
0,01/01/2010,6148,Babylon,NY Penn Station,01/01/2010 11:31:00 PM,Babylon,01/01/2010 12:47:00 AM,Off-peak,Late,25.0
1,01/01/2010,6405,Port Washington,Port Washington,01/01/2010 03:40:00 AM,NY Penn Station,01/01/2010 04:25:00 AM,Off-peak,Late,14.0
2,01/01/2010,6698,Port Jefferson,NY Penn Station,01/01/2010 03:13:00 AM,Port Jefferson,01/01/2010 05:03:00 AM,Off-peak,Late,26.0
3,01/01/2010,6702,Hempstead,Flatbush Avenue,01/01/2010 01:43:00 AM,Hempstead,01/01/2010 02:34:00 AM,Off-peak,Late,8.0
4,01/01/2010,8064,Ronkonkoma,NY Penn Station,01/01/2010 07:17:00 PM,Ronkonkoma,01/01/2010 08:35:00 PM,Off-peak,Late,7.0
5,01/01/2010,8765,Montauk,Patchogue,01/01/2010 05:23:00 PM,Jamaica,01/01/2010 06:32:00 PM,Off-peak,Late,11.0
6,01/01/2010,7746,Huntington,NY Penn Station,01/01/2010 11:43:00 PM,Huntington,01/01/2010 12:48:00 AM,Off-peak,Late,24.0
7,01/01/2010,7737,Huntington,Huntington,01/01/2010 09:03:00 PM,NY Penn Station,01/01/2010 10:09:00 PM,Off-peak,Late,9.0
8,01/01/2010,8770,Montauk,Jamaica,01/01/2010 05:41:00 PM,Patchogue,01/01/2010 06:49:00 PM,Off-peak,Late,8.0
9,01/01/2010,8796,Montauk,NY Penn Station,01/01/2010 01:30:00 AM,Speonk,01/01/2010 03:39:00 AM,Off-peak,Late,14.0
10,01/01/2010,6404,Port Washington,NY Penn Station,01/01/2010 03:20:00 AM,Port Washington,01/01/2010 04:05:00 AM,Off-peak,Late,11.0
11,01/01/2010,8061,Ronkonkoma,Ronkonkoma,01/01/2010 05:40:00 PM,NY Penn Station,01/01/2010 06:59:00 PM,Off-peak,Late,6.0
12,01/01/2010,8713,Montauk,Montauk,01/01/2010 07:34:00 PM,Jamaica,01/01/2010 10:11:00 PM,Off-peak,Late,7.0
13,01/01/2010,8000,Ronkonkoma,NY Penn Station,01/01/2010 12:15:00 AM,Ronkonkoma,01/01/2010 01:36:00 AM,Off-peak,Late,9.0
14,01/02/2010,6609,Port Jefferson,Port Jefferson,01/02/2010 10:08:00 AM,Huntington,01/02/2010 10:55:00 AM,Off-peak,Late,27.0
15,01/02/2010,7726,Huntington,NY Penn Station,01/02/2010 06:26:00 PM,Huntington,01/02/2010 07:28:00 PM,Off-peak,Late,11.0
16,01/02/2010,7729,Huntington,Huntington,01/02/2010 07:03:00 PM,NY Penn Station,01/02/2010 08:09:00 PM,Off-peak,Late,8.0
17,01/02/2010,7730,Huntington,NY Penn Station,01/02/2010 07:26:00 PM,Huntington,01/02/2010 08:28:00 PM,Off-peak,Late,8.0
18,01/02/2010,8741,Montauk,Speonk,01/02/2010 05:53:00 PM,Jamaica,01/02/2010 07:32:00 PM,Off-peak,Late,41.0
