,ServiceDate,ConductorNotSeen,FareNotCollected,CollectionFailurePercentage,CollectionSuccessPercentage,IncorrectFareCollected,IncorrectFailurePercentage,IncorrectSuccessPercentage
0,06/01/2022,12.0,3.0,0.093,0.907,5.0,0.185,0.815
1,05/01/2022,3.0,3.0,0.035,0.965,6.0,0.15,0.85
2,04/01/2022,7.0,3.0,0.055,0.945,4.0,0.121,0.879
3,03/01/2022,0.0,0.0,0.069,0.931,,0.089,0.911
4,02/01/2022,0.0,0.0,0.024,0.976,,0.037,0.963
5,01/01/2022,0.0,0.0,0.036,0.964,,0.059,0.941
6,12/01/2021,0.0,0.0,0.058,0.942,,0.188,0.812
7,11/01/2021,0.0,0.0,0.03,0.97,,0.1,0.9
8,10/01/2021,0.0,0.0,0.092,0.908,,0.067,0.933
9,09/01/2021,0.0,0.0,0.088,0.912,,0.083,0.917
10,08/01/2021,0.0,0.0,0.032,0.968,,0.029,0.971
11,07/01/2021,0.0,0.0,0.032,0.968,,0.143,0.857
12,06/01/2021,,,0.047,0.953,,0.125,0.875
13,05/01/2021,,,0.015,0.985,,0.0,1.0
14,04/01/2021,0.0,0.0,0.055,0.945,,0.1,0.9
15,03/01/2021,,,0.051,0.949,,0.04,0.96
16,02/01/2021,,,0.029,0.971,3.0,0.111,0.889
17,01/01/2021,,,0.026,0.974,3.0,0.097,0.903
18,12/01/2020,0.0,0.0,0.028,0.972,0.0,0.119,0.881
19,11/01/2020,,0.0,0.028,0.972,0.0,0.033,0.967
20,10/01/2020,,0.0,0.015,0.985,0.0,0.0,1.0
21,09/01/2020,10.0,,0.033,0.967,0.0,0.0,1.0
22,08/01/2020,11.0,,0.033,0.967,0.0,0.0,1.0
23,07/01/2020,6.0,,0.021,0.979,0.0,0.0,1.0
24,06/01/2020,,,,,,,
25,05/01/2020,,,,,,,
26,04/01/2020,,,,,,,
27,03/01/2020,,,,,,,
28,02/01/2020,41.0,0.0,0.076,0.924,12.0,0.11,0.89
29,01/01/2020,24.0,0.0,0.057,0.943,17.0,0.163,0.837
30,12/01/2019,19.0,0.0,0.058,0.9466,10.0,0.125,0.875
31,11/01/2019,19.0,0.0,0.041,0.959,12.0,0.132,0.868
32,10/01/2019,23.0,0.0,0.057,0.943,13.0,0.138,0.862
33,09/01/2019,16.0,0.0,0.036,0.964,17.0,0.185,0.815
34,08/01/2019,0.0,0.0,0.056,0.944,13.0,0.173,0.827
35,07/01/2019,0.0,0.0,0.076,0.924,19.0,0.226,0.774
36,06/01/2019,0.0,0.0,0.061,0.939,10.0,0.217,0.783
37,05/01/2019,6.0,0.0,0.028,0.972,10.0,0.172,0.828
38,04/01/2019,0.0,0.0,0.047,0.953,9.0,0.173,0.827
39,03/01/2019,6.0,6.0,0.058,0.942,9.0,0.281,0.719
40,02/01/2019,11.0,2.0,0.071,0.929,3.0,0.091,0.909
41,01/01/2019,7.0,3.0,0.052,0.948,5.0,0.125,0.875
42,12/01/2018,5.0,2.0,0.064220183,0.935779817,3.0,0.15,0.85
43,11/01/2018,8.0,4.0,0.06557377,0.93442623,6.0,0.176470588,0.823529412
44,10/01/2018,4.0,7.0,0.044534413,0.955465587,10.0,0.175438596,0.824561404
45,09/01/2018,5.0,9.0,0.066350711,0.933649289,14.0,0.35,0.65
46,08/01/2018,12.0,11.0,0.079861111,0.920138889,13.0,0.371428571,0.628571429
47,07/01/2018,11.0,7.0,0.061433447,0.938566553,10.0,0.175438596,0.824561404
48,06/01/2018,8.0,2.0,0.051282051,0.948717949,11.0,0.366666667,0.633333333
49,05/01/2018,20.0,15.0,0.095628415,0.904371585,9.0,0.142857143,0.857142857
