,Month,Agency,Police Force,Felony Type,Felony Count,Crimes per Million Riders
0,01/01/2019,MNR,MTAPD,Burglary,1,0.15
1,01/01/2019,MNR,MTAPD,Felony Assault,3,0.44
2,01/01/2019,MNR,MTAPD,Murder,0,0.0
3,01/01/2019,MNR,MTAPD,Rape,0,0.0
4,01/01/2019,MNR,MTAPD,Robbery,1,0.15
5,01/01/2019,MNR,MTAPD,Grand Larceny,3,0.44
6,01/01/2019,MNR,MTAPD,Grand Larceny Auto,1,0.15
7,01/01/2019,LIRR,MTAPD,Burglary,1,0.14
8,01/01/2019,LIRR,MTAPD,Felony Assault,1,0.14
9,01/01/2019,LIRR,MTAPD,Murder,0,0.0
10,01/01/2019,LIRR,MTAPD,Rape,0,0.0
11,01/01/2019,LIRR,MTAPD,Robbery,1,0.14
12,01/01/2019,LIRR,MTAPD,Grand Larceny,7,0.98
13,01/01/2019,LIRR,MTAPD,Grand Larceny Auto,0,0.0
14,01/01/2019,NYCT,NYPD,Burglary,1,0.01
15,01/01/2019,NYCT,NYPD,Felony Assault,30,0.17
16,01/01/2019,NYCT,NYPD,Murder,0,0.0
17,01/01/2019,NYCT,NYPD,Rape,1,0.01
18,01/01/2019,NYCT,NYPD,Robbery,34,0.19
19,01/01/2019,NYCT,NYPD,Grand Larceny,129,0.72
20,02/01/2019,MNR,MTAPD,Burglary,2,0.32
21,02/01/2019,MNR,MTAPD,Felony Assault,1,0.16
22,02/01/2019,MNR,MTAPD,Murder,0,0.0
23,02/01/2019,MNR,MTAPD,Rape,0,0.0
24,02/01/2019,MNR,MTAPD,Robbery,1,0.16
25,02/01/2019,MNR,MTAPD,Grand Larceny,6,0.97
26,02/01/2019,MNR,MTAPD,Grand Larceny Auto,0,0.0
27,02/01/2019,LIRR,MTAPD,Burglary,0,0.0
28,02/01/2019,LIRR,MTAPD,Felony Assault,1,0.15
29,02/01/2019,LIRR,MTAPD,Murder,0,0.0
30,02/01/2019,LIRR,MTAPD,Rape,0,0.0
31,02/01/2019,LIRR,MTAPD,Robbery,0,0.0
32,02/01/2019,LIRR,MTAPD,Grand Larceny,3,0.46
33,02/01/2019,LIRR,MTAPD,Grand Larceny Auto,1,0.15
34,02/01/2019,NYCT,NYPD,Burglary,1,0.01
35,02/01/2019,NYCT,NYPD,Felony Assault,27,0.16
36,02/01/2019,NYCT,NYPD,Murder,1,0.01
37,02/01/2019,NYCT,NYPD,Rape,0,0.0
38,02/01/2019,NYCT,NYPD,Robbery,50,0.3
39,02/01/2019,NYCT,NYPD,Grand Larceny,113,0.67
40,03/01/2019,MNR,MTAPD,Burglary,1,0.14
41,03/01/2019,MNR,MTAPD,Felony Assault,1,0.14
42,03/01/2019,MNR,MTAPD,Murder,0,0.0
43,03/01/2019,MNR,MTAPD,Rape,0,0.0
44,03/01/2019,MNR,MTAPD,Robbery,0,0.0
45,03/01/2019,MNR,MTAPD,Grand Larceny,5,0.7
46,03/01/2019,MNR,MTAPD,Grand Larceny Auto,0,0.0
47,03/01/2019,LIRR,MTAPD,Burglary,0,0.0
48,03/01/2019,LIRR,MTAPD,Felony Assault,1,0.13
49,03/01/2019,LIRR,MTAPD,Murder,0,0.0
