,Month,Agency,Ridership
0,01/01/2008,MNR,6453734
1,02/01/2008,MNR,6144377
2,03/01/2008,MNR,6602280
3,04/01/2008,B&T,24900328
4,04/01/2008,MNR,6787480
5,05/01/2008,MNR,6840901
6,05/01/2008,B&T,26172575
7,06/01/2008,MNR,7008657
8,06/01/2008,B&T,25940107
9,07/01/2008,MNR,7298152
10,07/01/2008,B&T,26189384
11,08/01/2008,MNR,6826968
12,08/01/2008,B&T,26448624
13,09/01/2008,MNR,6833215
14,09/01/2008,B&T,24633191
15,10/01/2008,MNR,7322841
16,10/01/2008,B&T,25258664
17,11/01/2008,MNR,6357900
18,11/01/2008,B&T,23914201
19,12/01/2008,MNR,6989977
20,12/01/2008,B&T,24218648
21,01/01/2009,B&T,22260909
22,01/01/2009,MNR,6176035
23,02/01/2009,B&T,21497488
24,02/01/2009,MNR,5731571
25,03/01/2009,B&T,24295234
26,03/01/2009,MNR,6593183
27,04/01/2009,B&T,24839950
28,04/01/2009,MNR,6600645
29,05/01/2009,MNR,6387435
30,05/01/2009,B&T,26019431
31,06/01/2009,MNR,6864270
32,06/01/2009,B&T,25847929
33,07/01/2009,MNR,6830791
34,07/01/2009,B&T,26152065
35,08/01/2009,MNR,6392629
36,08/01/2009,B&T,26084323
37,09/01/2009,MNR,6511692
38,09/01/2009,B&T,24838705
39,10/01/2009,MNR,6788990
40,10/01/2009,B&T,25300215
41,11/01/2009,MNR,6336672
42,11/01/2009,B&T,23898100
43,12/01/2009,MNR,6761648
44,12/01/2009,B&T,23775856
45,01/01/2010,B&T,22601000
46,01/01/2010,MNR,5935008
47,02/01/2010,B&T,19389016
48,02/01/2010,MNR,5572064
49,03/01/2010,B&T,24782495
