,Week,Day Type,Borough,Route,Direction,Hour,Load Percentage,Trips with APC
0,04/03/2023,Weekday,Bronx,BXM1,NB,0,0.07,4
1,04/03/2023,Weekday,Bronx,BXM1,NB,6,0.07,1
2,04/03/2023,Weekday,Bronx,BXM1,NB,7,0.24,4
3,04/03/2023,Weekday,Bronx,BXM1,NB,8,0.16,5
4,04/03/2023,Weekday,Bronx,BXM1,NB,10,0.14,5
5,04/03/2023,Weekday,Bronx,BXM1,NB,11,0.18,7
6,04/03/2023,Weekday,Bronx,BXM1,NB,12,0.16,3
7,04/03/2023,Weekday,Bronx,BXM1,NB,13,0.25,5
8,04/03/2023,Weekday,Bronx,BXM1,NB,14,0.24,7
9,04/03/2023,Weekday,Bronx,BXM1,NB,15,0.29,9
10,04/03/2023,Weekday,Bronx,BXM1,NB,16,0.23,9
11,04/03/2023,Weekday,Bronx,BXM1,NB,17,0.34,19
12,04/03/2023,Weekday,Bronx,BXM1,NB,18,0.21,4
13,04/03/2023,Weekday,Bronx,BXM1,NB,19,0.24,7
14,04/03/2023,Weekday,Bronx,BXM1,NB,20,0.24,5
15,04/03/2023,Weekday,Bronx,BXM1,NB,21,0.27,5
16,04/03/2023,Weekday,Bronx,BXM1,NB,22,0.27,6
17,04/03/2023,Weekday,Bronx,BXM1,SB,5,0.45,1
18,04/03/2023,Weekday,Bronx,BXM1,SB,6,0.32,15
19,04/03/2023,Weekday,Bronx,BXM1,SB,7,0.36,8
20,04/03/2023,Weekday,Bronx,BXM1,SB,8,0.22,4
21,04/03/2023,Weekday,Bronx,BXM1,SB,9,0.33,8
22,04/03/2023,Weekday,Bronx,BXM1,SB,10,0.16,7
23,04/03/2023,Weekday,Bronx,BXM1,SB,11,0.19,4
24,04/03/2023,Weekday,Bronx,BXM1,SB,12,0.28,8
25,04/03/2023,Weekday,Bronx,BXM1,SB,13,0.18,5
26,04/03/2023,Weekday,Bronx,BXM1,SB,14,0.15,4
27,04/03/2023,Weekday,Bronx,BXM1,SB,15,0.1,9
28,04/03/2023,Weekday,Bronx,BXM1,SB,16,0.12,3
29,04/03/2023,Weekday,Bronx,BXM1,SB,17,0.11,5
30,04/03/2023,Weekday,Bronx,BXM1,SB,18,0.09,3
31,04/03/2023,Weekday,Bronx,BXM1,SB,19,0.04,3
32,04/03/2023,Weekday,Bronx,BXM1,SB,21,0.06,5
33,04/03/2023,Weekday,Bronx,BXM1,SB,23,0.06,5
34,04/03/2023,Weekday,Bronx,BXM10,NB,0,0.67,2
35,04/03/2023,Weekday,Bronx,BXM10,NB,7,0.43,6
36,04/03/2023,Weekday,Bronx,BXM10,NB,8,0.1,4
37,04/03/2023,Weekday,Bronx,BXM10,NB,9,0.11,2
38,04/03/2023,Weekday,Bronx,BXM10,NB,10,0.04,1
39,04/03/2023,Weekday,Bronx,BXM10,NB,11,0.07,1
40,04/03/2023,Weekday,Bronx,BXM10,NB,12,0.15,6
41,04/03/2023,Weekday,Bronx,BXM10,NB,13,0.21,8
42,04/03/2023,Weekday,Bronx,BXM10,NB,14,0.25,4
43,04/03/2023,Weekday,Bronx,BXM10,NB,15,0.42,5
44,04/03/2023,Weekday,Bronx,BXM10,NB,16,0.32,23
45,04/03/2023,Weekday,Bronx,BXM10,NB,17,0.37,14
46,04/03/2023,Weekday,Bronx,BXM10,NB,18,0.31,5
47,04/03/2023,Weekday,Bronx,BXM10,NB,19,0.35,7
48,04/03/2023,Weekday,Bronx,BXM10,NB,20,0.25,6
49,04/03/2023,Weekday,Bronx,BXM10,NB,21,0.37,2
50,04/03/2023,Weekday,Bronx,BXM10,NB,22,0.71,2
51,04/03/2023,Weekday,Bronx,BXM10,NB,23,0.44,1
52,04/03/2023,Weekday,Bronx,BXM10,SB,5,0.46,6
53,04/03/2023,Weekday,Bronx,BXM10,SB,6,0.52,12
54,04/03/2023,Weekday,Bronx,BXM10,SB,7,0.31,7
55,04/03/2023,Weekday,Bronx,BXM10,SB,8,0.26,6
56,04/03/2023,Weekday,Bronx,BXM10,SB,9,0.22,1
57,04/03/2023,Weekday,Bronx,BXM10,SB,10,0.31,1
58,04/03/2023,Weekday,Bronx,BXM10,SB,11,0.21,8
59,04/03/2023,Weekday,Bronx,BXM10,SB,12,0.21,3
60,04/03/2023,Weekday,Bronx,BXM10,SB,13,0.24,1
61,04/03/2023,Weekday,Bronx,BXM10,SB,14,0.22,7
62,04/03/2023,Weekday,Bronx,BXM10,SB,15,0.17,2
63,04/03/2023,Weekday,Bronx,BXM10,SB,16,0.41,3
64,04/03/2023,Weekday,Bronx,BXM10,SB,17,0.23,4
65,04/03/2023,Weekday,Bronx,BXM10,SB,18,0.23,5
66,04/03/2023,Weekday,Bronx,BXM10,SB,19,0.08,6
67,04/03/2023,Weekday,Bronx,BXM10,SB,20,0.11,1
68,04/03/2023,Weekday,Bronx,BXM10,SB,21,0.12,3
69,04/03/2023,Weekday,Bronx,BXM10,SB,22,0.17,5
70,04/03/2023,Weekday,Bronx,BXM10,SB,23,0.06,3
71,04/03/2023,Weekday,Bronx,BXM11,NB,0,0.32,4
72,04/03/2023,Weekday,Bronx,BXM11,NB,6,0.1,5
73,04/03/2023,Weekday,Bronx,BXM11,NB,8,0.08,2
74,04/03/2023,Weekday,Bronx,BXM11,NB,9,0.27,4
75,04/03/2023,Weekday,Bronx,BXM11,NB,10,0.18,5
76,04/03/2023,Weekday,Bronx,BXM11,NB,11,0.16,5
77,04/03/2023,Weekday,Bronx,BXM11,NB,12,0.14,4
78,04/03/2023,Weekday,Bronx,BXM11,NB,13,0.22,2
79,04/03/2023,Weekday,Bronx,BXM11,NB,14,0.24,4
