,Month,Day Time,Delayed Trains,On-Time Trips,On-Time Performance,Delayed Trains (With Boat),On-Time Trips (With Boat),On-Time Performance (With Boat),Scheduled Trips,Incomplete Trips,Trip Complete Percentage
0,01/01/2006,Weekday,83,2621,0.969,124,2580,0.954,2704,,
1,01/01/2006,AM Rush,21,672,0.97,24,669,0.965,693,,
2,01/01/2006,PM Rush,10,830,0.988,34,806,0.96,840,,
3,01/01/2006,Weekend,96,722,0.883,103,715,0.874,818,,
4,01/01/2006,7-Day,179,3343,0.949,227,3295,0.936,3522,10.0,99.7%
5,02/01/2006,Weekday,37,2410,0.985,50,2397,0.98,2447,,
6,02/01/2006,AM Rush,24,603,0.962,25,602,0.96,627,,
7,02/01/2006,PM Rush,8,790,0.99,16,782,0.98,798,,
8,02/01/2006,Weekend,14,723,0.981,15,722,0.98,737,,
9,02/01/2006,7-Day,51,3133,0.984,65,3119,0.98,3184,2.0,99.9%
10,03/01/2006,Weekday,0,2963,1.0,0,2963,1.0,2963,,
11,03/01/2006,AM Rush,0,759,1.0,0,759,1.0,759,,
12,03/01/2006,PM Rush,0,966,1.0,0,966,1.0,966,,
13,03/01/2006,Weekend,0,656,1.0,0,656,1.0,656,,
14,03/01/2006,7-Day,0,3619,1.0,0,3619,1.0,3619,0.0,100.0%
15,04/01/2006,Weekday,109,2467,0.958,139,2437,0.946,2576,,
16,04/01/2006,AM Rush,11,649,0.983,13,647,0.98,660,,
17,04/01/2006,PM Rush,13,869,0.985,37,845,0.958,882,,
18,04/01/2006,Weekend,10,810,0.988,21,799,0.974,820,,
19,04/01/2006,7-Day,119,3277,0.965,160,3236,0.953,3396,33.0,99.0%
20,05/01/2006,Weekday,111,2722,0.961,125,2708,0.956,2833,,
21,05/01/2006,AM Rush,29,697,0.96,31,695,0.957,726,,
22,05/01/2006,PM Rush,5,877,0.994,23,859,0.974,882,,
23,05/01/2006,Weekend,2,735,0.997,28,709,0.962,737,,
24,05/01/2006,7-Day,113,3457,0.968,153,3417,0.957,3570,45.0,98.7%
25,06/01/2006,Weekday,41,2793,0.986,74,2760,0.974,2834,,
26,06/01/2006,AM Rush,10,716,0.986,13,713,0.982,726,,
27,06/01/2006,PM Rush,4,920,0.996,19,905,0.979,924,,
28,06/01/2006,Weekend,20,636,0.97,26,630,0.96,656,,
29,06/01/2006,7-Day,61,3429,0.983,100,3390,0.971,3490,66.0,98.1%
30,07/01/2006,Weekday,97,2471,0.962,157,2411,0.939,2568,,
31,07/01/2006,AM Rush,4,656,0.994,4,656,0.994,660,,
32,07/01/2006,PM Rush,10,830,0.988,49,791,0.942,840,,
33,07/01/2006,Weekend,7,891,0.992,35,863,0.961,898,,
34,07/01/2006,7-Day,104,3362,0.97,192,3274,0.945,3466,26.0,99.2%
35,08/01/2006,Weekday,29,2930,0.99,119,2840,0.96,2959,,
36,08/01/2006,AM Rush,9,750,0.988,11,748,0.986,759,,
37,08/01/2006,PM Rush,10,956,0.99,42,924,0.957,966,,
38,08/01/2006,Weekend,76,576,0.883,41,611,0.937,652,,
39,08/01/2006,7-Day,105,3506,0.971,160,3451,0.956,3611,0.0,100.0%
40,09/01/2006,Weekday,146,2426,0.943,200,2372,0.922,2572,,
41,09/01/2006,AM Rush,53,607,0.92,57,603,0.914,660,,
42,09/01/2006,PM Rush,14,868,0.984,81,801,0.908,882,,
43,09/01/2006,Weekend,13,802,0.984,20,795,0.975,815,,
44,09/01/2006,7-Day,159,3228,0.953,220,3167,0.935,3387,0.0,100.0%
45,10/01/2006,Weekday,146,2682,0.948,200,2628,0.929,2828,,
46,10/01/2006,AM Rush,53,673,0.927,57,669,0.921,726,,
47,10/01/2006,PM Rush,14,868,0.984,81,801,0.908,882,,
48,10/01/2006,Weekend,13,719,0.982,20,712,0.973,732,,
49,10/01/2006,7-Day,159,3401,0.955,220,3340,0.938,3560,38.0,98.9%
