,Month,Time,Trips
0,01/01/2006,Monday Daily,128
1,01/01/2006,Monday Early Departure,128
2,01/01/2006,Tuesday to Friday Daily,129
3,01/01/2006,Tuesday to Friday Early Departure,129
4,01/01/2006,AM Rush,33
5,01/01/2006,PM Rush,42
6,01/01/2006,Saturday,83
7,01/01/2006,Sunday,81
8,02/01/2006,Monday Daily,128
9,02/01/2006,Monday Early Departure,128
10,02/01/2006,Tuesday to Friday Daily,129
11,02/01/2006,Tuesday to Friday Early Departure,129
12,02/01/2006,AM Rush,33
13,02/01/2006,PM Rush,42
14,02/01/2006,Saturday,83
15,02/01/2006,Sunday,81
16,03/01/2006,Monday Daily,128
17,03/01/2006,Monday Early Departure,128
18,03/01/2006,Tuesday to Friday Daily,129
19,03/01/2006,Tuesday to Friday Early Departure,129
20,03/01/2006,AM Rush,33
21,03/01/2006,PM Rush,42
22,03/01/2006,Saturday,83
23,03/01/2006,Sunday,81
24,04/01/2006,Monday Daily,128
25,04/01/2006,Monday Early Departure,128
26,04/01/2006,Tuesday to Friday Daily,129
27,04/01/2006,Tuesday to Friday Early Departure,129
28,04/01/2006,AM Rush,33
29,04/01/2006,PM Rush,42
30,04/01/2006,Saturday,83
31,04/01/2006,Sunday,81
32,05/01/2006,Monday Daily,128
33,05/01/2006,Monday Early Departure,128
34,05/01/2006,Tuesday to Friday Daily,129
35,05/01/2006,Tuesday to Friday Early Departure,129
36,05/01/2006,AM Rush,33
37,05/01/2006,PM Rush,42
38,05/01/2006,Saturday,83
39,05/01/2006,Sunday,81
40,06/01/2006,Monday Daily,128
41,06/01/2006,Monday Early Departure,128
42,06/01/2006,Tuesday to Friday Daily,129
43,06/01/2006,Tuesday to Friday Early Departure,129
44,06/01/2006,AM Rush,33
45,06/01/2006,PM Rush,42
46,06/01/2006,Saturday,83
47,06/01/2006,Sunday,81
48,07/01/2006,Monday Daily,127
49,07/01/2006,Monday Early Departure,127
