,Fiscal Year,Month,Scenario,Financial Plan Year,Expense Type,Agency,Type,Subtype,General Ledger,Account Category,Account Subcategory 1,Account Subcategory 2,Amount
0,2024,2024-01-01,Actual,2024,Cash,MTAHQ,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,PMT and MTA Aid,Payroll Mobility Tax (PMT),,,18463029.88
1,2023,2023-01-01,Actual,2023,Cash,NYCT,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Capital Program Funding from Lockbox Revenues,Internet Marketplace Tax - State & City,Internet Marketplace Tax - State,,10201000.0
2,2021,2021-01-01,Actual,2022,Cash,MNR,Total Dedicated Taxes & State and Local Subsidies,Other Funding Agreements,CDOT Subsidy for Metro-North Railroad,,,,36568999.86
3,2021,2021-01-01,Actual,2022,NREIMB,CRR,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,State and Local Subsidies,State Operating Assistance,,,0.0
4,2020,2020-01-01,Actual,2020,Cash,CRR,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,PMT and MTA Aid,Payroll Mobility Tax (PMT),,,15098435.24
5,2020,2020-01-01,Actual,2020,NREIMB,SIR,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Dedicated Taxes,Metropolitan Mass Transportation Operating Assistance (MMTOA),,,0.0
6,2024,2024-02-01,Actual,2024,Cash,NYCT,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,For-Hire Vehicle (FHV) Surcharge,Subway Action Plan Account,,,28551346.61
7,2023,2023-02-01,Actual,2023,NREIMB,CRR,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,PMT and MTA Aid,Payroll Mobility Tax Replacement Funds,,,0.0
8,2023,2023-02-01,Actual,2023,NREIMB,CRR,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Capital Program Funding from Lockbox Revenues,Less: Lockbox Allocated to PAYGO,,,-9708983.36
9,2023,2023-02-01,Actual,2023,Cash,MTAHQ,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Dedicated Taxes,Real Estate Taxes,MRT with Adjustments,MRT-1,23019790.78
10,2021,2021-02-01,Actual,2022,NREIMB,CRR,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Capital Program Funding from Lockbox Revenues,Real Property Transfer Tax Surcharge (Mansion Tax),,,5950730.61
11,2021,2021-02-01,Actual,2022,NREIMB,MTAHQ,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Dedicated Taxes,Real Estate Taxes,MRT with Adjustments,MRT-1,26086045.34
12,2021,2021-02-01,Actual,2022,Cash,NYCT,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Capital Program Funding from Lockbox Revenues,Less: Debt Service on Lockbox Bonds,,,0.0
13,2021,2021-02-01,Actual,2022,Cash,NYCT,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Subsidy Adjustments,NYCT Charge Back of MTA Bus Debt Service,,,0.0
14,2020,2020-02-01,Actual,2020,Cash,MNR,Total Dedicated Taxes & State and Local Subsidies,Other Funding Agreements,CDOT Subsidy for Metro-North Railroad,,,,16577000.0
15,2020,2020-02-01,Actual,2020,Cash,CRR,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,PMT and MTA Aid,Payroll Mobility Tax Replacement Funds,,,0.0
16,2020,2020-02-01,Actual,2020,NREIMB,NYCT,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Automated Camera Enforcement (ACE),,,,0.0
17,2020,2020-02-01,Actual,2020,Cash,NYCT,Total Dedicated Taxes & State and Local Subsidies,Subtotal: Taxes & State and Local Subsidies,Subsidy Adjustments,Forward Energy Contracts Program - Gain/(Loss),,,0.0
18,2024,2024-03-01,Actual,2024,Cash,MNR,Total Dedicated Taxes & State and Local Subsidies,Other Funding Agreements,CDOT Subsidy for Metro-North Railroad,,,,19063000.0
