,transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,Georeference
0,07/23/2022 01:00:00 AM,subway,194,111 St (A),Queens,metrocard,Metrocard - Unlimited 7-Day,1,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
1,11/04/2022 07:00:00 AM,subway,194,111 St (A),Queens,metrocard,Metrocard - Unlimited 7-Day,31,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
2,11/14/2022 06:00:00 AM,subway,194,111 St (A),Queens,omny,OMNY - Full Fare,60,8,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
3,12/06/2022 06:00:00 PM,subway,194,111 St (A),Queens,metrocard,Metrocard - Unlimited 7-Day,3,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
4,10/24/2022 03:00:00 PM,subway,194,111 St (A),Queens,metrocard,Metrocard - Unlimited 7-Day,6,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
5,04/17/2022 06:00:00 PM,subway,194,111 St (A),Queens,omny,OMNY - Full Fare,4,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
6,06/08/2022 12:00:00 AM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Fair Fare,1,0,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
7,05/28/2022 04:00:00 AM,subway,194,111 St (A),Queens,omny,OMNY - Full Fare,1,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
8,06/11/2022 06:00:00 AM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Full Fare,67,11,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
9,03/25/2022 01:00:00 AM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Full Fare,2,0,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
10,02/16/2022 08:00:00 AM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Full Fare,232,62,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
11,10/25/2022 03:00:00 PM,subway,194,111 St (A),Queens,metrocard,Metrocard - Unlimited 7-Day,6,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
12,09/23/2022 07:00:00 PM,subway,194,111 St (A),Queens,metrocard,Metrocard - Unlimited 7-Day,5,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
13,06/09/2022 08:00:00 AM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Full Fare,215,53,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
14,09/17/2022 03:00:00 AM,subway,194,111 St (A),Queens,omny,OMNY - Full Fare,2,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
15,08/03/2022 02:00:00 PM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Fair Fare,7,1,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
16,04/21/2022 11:00:00 PM,subway,194,111 St (A),Queens,omny,OMNY - Full Fare,2,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
17,10/20/2022 09:00:00 PM,subway,194,111 St (A),Queens,metrocard,Metrocard - Unlimited 7-Day,4,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
18,05/03/2022 04:00:00 AM,subway,194,111 St (A),Queens,omny,OMNY - Full Fare,2,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
19,10/01/2022 03:00:00 PM,subway,194,111 St (A),Queens,omny,OMNY - Full Fare,7,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
20,03/26/2022 02:00:00 PM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Full Fare,55,16,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
21,06/16/2022 03:00:00 AM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Fair Fare,1,0,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
22,11/11/2022 03:00:00 PM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Fair Fare,8,2,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
23,02/04/2022 01:00:00 PM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Fair Fare,6,2,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
24,09/22/2022 09:00:00 PM,subway,194,111 St (A),Queens,omny,OMNY - Full Fare,2,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
25,03/21/2022 10:00:00 PM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Full Fare,14,3,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
26,07/13/2022 09:00:00 PM,subway,194,111 St (A),Queens,omny,OMNY - Full Fare,3,0,40.684329986572266,-73.83216094970703,POINT (-73.83216094970703 40.684329986572266)
27,06/03/2024 04:00:00 PM,subway,127,DeKalb Av (L),Brooklyn,metrocard,Metrocard - Students,30,2,40.70381,-73.91843,POINT (-73.91843 40.70381)
28,03/29/2022 05:00:00 PM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Fair Fare,5,1,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
29,02/17/2022 06:00:00 AM,subway,195,Ozone Park-Lefferts Blvd (A),Queens,metrocard,Metrocard - Full Fare,351,75,40.68595123291016,-73.82579803466797,POINT (-73.82579803466797 40.685951232910156)
