,month,division,line,day_type,category,count
0,2015-01,A DIVISION,1,1,Signals,1
1,2015-01,A DIVISION,1,1,Track,1
2,2015-01,A DIVISION,1,2,Signals,1
3,2015-01,A DIVISION,2,1,Other,2
4,2015-01,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
5,2015-01,A DIVISION,2,1,Signals,1
6,2015-01,A DIVISION,2,1,Track,1
7,2015-01,A DIVISION,2,2,Other,1
8,2015-01,A DIVISION,3,1,Signals,1
9,2015-01,A DIVISION,3,1,Track,2
10,2015-01,A DIVISION,3,2,Persons on Trackbed/Police/Medical,1
11,2015-01,A DIVISION,3,2,Signals,1
12,2015-01,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
13,2015-01,A DIVISION,4,1,Signals,2
14,2015-01,A DIVISION,4,1,Subway Car,1
15,2015-01,A DIVISION,4,1,Track,1
16,2015-01,A DIVISION,5,1,Other,1
17,2015-01,A DIVISION,5,1,Persons on Trackbed/Police/Medical,5
18,2015-01,A DIVISION,5,1,Signals,1
19,2015-01,A DIVISION,5,1,Subway Car,1
20,2015-01,A DIVISION,5,1,Track,1
21,2015-01,A DIVISION,5,2,Persons on Trackbed/Police/Medical,1
22,2015-01,A DIVISION,6,1,Other,1
23,2015-01,A DIVISION,6,1,Persons on Trackbed/Police/Medical,4
24,2015-01,A DIVISION,6,1,Subway Car,1
25,2015-01,A DIVISION,6,1,Track,1
26,2015-01,A DIVISION,6,2,Persons on Trackbed/Police/Medical,1
27,2015-01,A DIVISION,7,1,Signals,3
28,2015-01,A DIVISION,7,2,Signals,1
29,2015-01,B DIVISION,A,1,Other,1
30,2015-01,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
31,2015-01,B DIVISION,A,1,Signals,2
32,2015-01,B DIVISION,A,1,Track,2
33,2015-01,B DIVISION,B,1,Track,2
34,2015-01,B DIVISION,C,1,Other,1
35,2015-01,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
36,2015-01,B DIVISION,C,1,Signals,1
37,2015-01,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
38,2015-01,B DIVISION,D,2,Signals,1
39,2015-01,B DIVISION,E,1,Signals,2
40,2015-01,B DIVISION,E,1,Track,2
41,2015-01,B DIVISION,F,1,Persons on Trackbed/Police/Medical,1
42,2015-01,B DIVISION,F,1,Signals,3
43,2015-01,B DIVISION,F,1,Track,1
44,2015-01,B DIVISION,JZ,1,Track,1
45,2015-01,B DIVISION,M,1,Other,2
46,2015-01,B DIVISION,M,1,Signals,2
47,2015-01,B DIVISION,M,1,Subway Car,1
48,2015-01,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
49,2015-01,B DIVISION,N,1,Signals,1
