,Month,Division,Car Class,Total Miles,Number of Failures,Number of Cars,MDBF,12-Month Average MDBF
0,01/01/2015,B,R143,918303,15,212,61220.0,87881
1,01/01/2015,A,R188-NEW,418994,1,100,418994.0,560628
2,01/01/2015,A,R142,4879280,25,1030,195171.0,146801
3,01/01/2015,A,R142A,1869210,31,435,60297.0,81594
4,01/01/2015,B,R160,8821731,19,1662,464302.0,375347
5,01/01/2015,A,R188-CONVERSION,364593,3,120,121531.0,98442
6,01/01/2015,B,R32,829552,15,222,55303.0,60354
7,01/01/2015,B,R42,94509,6,50,15752.0,54105
8,01/01/2015,A,R62,1343259,5,315,268652.0,215548
9,01/01/2015,A,R62A,3157061,25,824,126282.0,121234
10,01/01/2015,B,R68,2117669,17,425,124569.0,156180
11,01/01/2015,B,R68A,546466,5,200,109293.0,86097
12,01/01/2015,B,R46,3245046,34,752,95443.0,90950
13,01/01/2016,A,R188-CONVERSION,1054446,9,300,117161.0,103191
14,01/01/2016,B,R160,8408961,22,1662,382226.0,360118
15,01/01/2016,B,R143,1010772,15,212,67385.0,67420
16,01/01/2016,A,R142A,1118001,21,265,53238.0,59739
17,01/01/2016,B,R32,734589,22,222,33390.0,39134
18,01/01/2016,A,R188-NEW,423948,1,118,423948.0,316687
19,01/01/2016,A,R62,1434392,8,315,179299.0,184641
20,01/01/2016,A,R62A,3327143,41,824,81150.0,94337
21,01/01/2016,A,R142,4834537,37,1030,130663.0,150637
22,01/01/2016,B,R68,2016183,10,425,201618.0,133897
23,01/01/2016,B,R68A,522964,6,200,87161.0,121808
24,01/01/2016,B,R46,3314399,41,752,80839.0,101040
25,01/01/2016,B,R42,116765,12,50,9730.0,34880
26,01/01/2017,B,R32,818994,24,222,34125.0,33331
27,01/01/2017,A,R62A,3484660,23,824,151507.0,85925
28,01/01/2017,B,R160,9333006,45,1662,207400.0,242160
29,01/01/2017,B,R143,957587,10,212,95759.0,54814
30,01/01/2017,A,R142A,848335,21,220,40397.0,49145
31,01/01/2017,A,R142,4986546,35,1030,142473.0,145002
32,01/01/2017,A,R188-NEW,449109,1,126,449109.0,478981
33,01/01/2017,B,R46,3432551,43,752,79827.0,73642
34,01/01/2017,A,R62,1447746,5,315,289549.0,205635
35,01/01/2017,B,R68,2101464,17,425,123616.0,114085
36,01/01/2017,B,R68A,652695,5,200,130539.0,102130
37,01/01/2017,A,R188-CONVERSION,1272841,4,380,318210.0,193909
38,01/01/2017,B,R42,145661,4,50,36415.0,43444
39,01/01/2018,B,R68,2055741,30,425,68525.0,100291
40,01/01/2018,A,R62,1182127,1,315,1182127.0,195437
41,01/01/2018,A,R62A,3766985,39,824,96589.0,98796
42,01/01/2018,B,R46,3549553,57,752,62273.0,71633
43,01/01/2018,B,R68A,645882,6,200,107647.0,95307
44,01/01/2018,B,R42,123591,8,50,15449.0,36635
45,01/01/2018,B,R179,0,0,16,0.0,0
46,01/01/2018,B,R32,689124,30,222,22971.0,33108
47,01/01/2018,A,R188-CONVERSION,1238030,10,380,123803.0,154591
48,01/01/2018,B,R160,8726895,33,1662,264451.0,247157
49,01/01/2018,B,R143,1182353,9,212,131373.0,93179
50,01/01/2018,A,R142A,936350,24,220,39015.0,55571
51,01/01/2018,A,R188-NEW,456729,0,126,,486053
52,01/01/2018,A,R142,4630227,26,1030,178086.0,166269
53,01/01/2019,B,R42,57723,2,50,28862.0,27413
54,01/01/2019,B,R160,9263967,36,1662,257332.0,241832
55,01/01/2019,A,R188-CONVERSION,1219575,5,380,243915.0,211750
56,01/01/2019,B,R68A,702046,12,200,58504.0,92678
57,01/01/2019,B,R32,800833,31,222,25833.0,35218
58,01/01/2019,B,R46,3445199,63,752,54686.0,67847
59,01/01/2019,B,R179,311682,2,112,155841.0,86594
60,01/01/2019,A,R142,4727208,41,1030,115298.0,168179
61,01/01/2019,A,R188-NEW,437813,1,126,437813.0,523646
62,01/01/2019,B,R143,1046049,7,212,149436.0,97588
63,01/01/2019,A,R142A,1059585,6,220,176598.0,86517
64,01/01/2019,B,R68,2144473,38,425,56434.0,79811
65,01/01/2019,A,R62A,3789753,32,824,118430.0,101021
66,01/01/2019,A,R62,1314710,7,315,187816.0,312577
67,01/01/2020,B,R160,8948823,38,1662,235495.0,265578
68,01/01/2020,B,R42,49557,3,50,16519.0,29015
69,01/01/2020,B,R143,899055,2,212,449528.0,135569
70,01/01/2020,B,R68A,668981,11,200,60816.0,86841
71,01/01/2020,B,R68,2189063,21,425,104241.0,66808
72,01/01/2020,A,R62A,3650997,28,824,130393.0,114976
73,01/01/2020,B,R32,714405,25,222,28576.0,30332
74,01/01/2020,A,R62,1372285,7,315,196041.0,216005
75,01/01/2020,B,R46,3404318,48,750,70923.0,63476
76,01/01/2020,A,R142A,1003617,2,220,501809.0,129431
77,01/01/2020,A,R188-NEW,486782,3,126,162261.0,415541
78,01/01/2020,A,R188-CONVERSION,1414514,9,380,157168.0,249117
79,01/01/2020,B,R179,651357,6,278,108560.0,157828
80,01/01/2020,A,R142,4745830,20,1030,237292.0,230676
81,01/01/2021,B,R68A,833557,5,200,166711.0,69009
82,01/01/2021,B,R68,2141790,21,425,101990.0,111052
83,01/01/2021,B,R42,0,0,37,0.0,0
84,01/01/2021,B,R179,1671037,17,318,98296.0,115576
85,01/01/2021,A,R62,1282154,4,315,320539.0,220253
86,01/01/2021,B,R46,3788522,68,748,55714.0,58309
87,01/01/2021,A,R188-CONVERSION,1226966,3,380,408989.0,346459
88,01/01/2021,B,R160,7229796,25,1662,289192.0,295062
89,01/01/2021,A,R142A,908703,9,220,100967.0,124210
