,Complex ID,Is Complex,Number Of Stations In Complex,Stop Name,Display Name,Constituent Station Names,Station IDs,GTFS Stop IDs,Borough,Daytime Routes,Structure Type,Latitude,Longitude,ADA,ADA Notes
0,1,False,1,Astoria-Ditmars Blvd,Astoria-Ditmars Blvd (N W),Astoria-Ditmars Blvd,1,R01,Q,N W,Elevated,40.775036,-73.912034,0,
1,2,False,1,Astoria Blvd,Astoria Blvd (N W),Astoria Blvd,2,R03,Q,N W,Elevated,40.770258,-73.917843,1,
2,3,False,1,30 Av,30 Av (N W),30 Av,3,R04,Q,N W,Elevated,40.766779,-73.921479,0,
3,4,False,1,Broadway,Broadway (N W),Broadway,4,R05,Q,N W,Elevated,40.76182,-73.925508,0,
4,5,False,1,36 Av,36 Av (N W),36 Av,5,R06,Q,N W,Elevated,40.756804,-73.929575,0,
5,6,False,1,39 Av-Dutch Kills,39 Av-Dutch Kills (N W),39 Av-Dutch Kills,6,R08,Q,N W,Elevated,40.752882,-73.932755,0,
6,8,False,1,5 Av/59 St,5 Av/59 St (N R W),5 Av/59 St,8,R13,M,N R W,Subway,40.764811,-73.973347,0,
7,9,False,1,57 St-7 Av,57 St-7 Av (N Q R W),57 St-7 Av,9,R14,M,N Q R W,Subway,40.764664,-73.980658,1,
8,10,False,1,49 St,49 St (N R W),49 St,10,R15,M,N R W,Subway,40.759901,-73.984139,2,Uptown only
9,13,False,1,28 St,28 St (R W),28 St,13,R18,M,R W,Subway,40.745494,-73.988691,0,
10,14,False,1,23 St,23 St (R W),23 St,14,R19,M,R W,Subway,40.741303,-73.989344,0,
11,16,False,1,8 St-NYU,8 St-NYU (R W),8 St-NYU,16,R21,M,R W,Subway,40.730328,-73.992629,0,
12,17,False,1,Prince St,Prince St (R W),Prince St,17,R22,M,R W,Subway,40.724329,-73.997702,0,
13,20,False,1,City Hall,City Hall (R W),City Hall,20,R24,M,R W,Subway,40.713282,-74.006978,0,
14,22,False,1,Rector St,Rector St (R W),Rector St,22,R26,M,R W,Subway,40.70722,-74.013342,0,
15,26,False,1,DeKalb Av,DeKalb Av (B Q R),DeKalb Av,26,R30,Bk,B Q R,Subway,40.690635,-73.981824,1,
16,28,False,1,Union St,Union St (R),Union St,28,R32,Bk,R,Subway,40.677316,-73.98311,0,
17,30,False,1,Prospect Av,Prospect Av (R),Prospect Av,30,R34,Bk,R,Subway,40.665414,-73.992872,0,
18,31,False,1,25 St,25 St (R),25 St,31,R35,Bk,R,Subway,40.660397,-73.998091,0,
19,32,False,1,36 St,36 St (D N R),36 St,32,R36,Bk,D N R,Subway,40.655144,-74.003549,0,
20,33,False,1,45 St,45 St (R),45 St,33,R39,Bk,R,Subway,40.648939,-74.010006,0,
21,34,False,1,53 St,53 St (R),53 St,34,R40,Bk,R,Subway,40.645069,-74.014034,0,
22,35,False,1,59 St,59 St (N R),59 St,35,R41,Bk,N R,Subway,40.641362,-74.017881,1,
23,36,False,1,Bay Ridge Av,Bay Ridge Av (R),Bay Ridge Av,36,R42,Bk,R,Subway,40.634967,-74.023377,0,
24,37,False,1,77 St,77 St (R),77 St,37,R43,Bk,R,Subway,40.629742,-74.02551,0,
