,GTFS Stop ID,Station ID,Complex ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference
0,B23,70,70,BMT,West End,Bay 50 St,Bk,D,Elevated,40.588841,-73.983765,Manhattan,Coney Island,0,0,0,,POINT (-73.983765 40.588841)
1,607,365,365,IRT,Pelham,Castle Hill Av,Bx,6,Elevated,40.834255,-73.851222,Pelham Bay,Manhattan,0,0,0,,POINT (-73.851222 40.834255)
2,S01,139,627,BMT,Franklin Shuttle,Franklin Av,Bk,S,Elevated,40.680596,-73.955827,Last Stop,Prospect Park,1,1,1,,POINT (-73.955827 40.680596)
3,M18,102,625,BMT,Jamaica,Delancey St-Essex St,M,J M Z,Subway,40.718315,-73.987437,Brooklyn,Inbound,0,0,0,,POINT (-73.987437 40.718315)
4,S27,505,505,SIR,Staten Island,Grasmere,SI,SIR,Open Cut,40.603117,-74.084087,Ferry,South Shore,0,0,0,,POINT (-74.084087 40.603117)
5,252,347,347,IRT,Eastern Pky,Saratoga Av,Bk,3,Elevated,40.661453,-73.916327,Manhattan,New Lots,0,0,0,,POINT (-73.916327 40.661453)
6,230,333,333,IRT,Clark St,Wall St,M,2 3,Subway,40.706821,-74.0091,Uptown,Brooklyn,0,0,0,,POINT (-74.0091 40.706821)
7,F34,249,249,IND,6th Av - Culver,Avenue P,Bk,F,Elevated,40.608944,-73.973022,Manhattan,Southbound,0,0,0,,POINT (-73.973022 40.608944)
8,725,467,611,IRT,Flushing,Times Sq-42 St,M,7,Subway,40.755477,-73.987691,Queens,Hudson Yards,1,1,1,,POINT (-73.987691 40.755477)
9,F16,234,234,IND,6th Av - Culver,East Broadway,M,F,Subway,40.713715,-73.990173,Uptown,Brooklyn,0,0,0,,POINT (-73.990173 40.713715)
10,R01,1,1,BMT,Astoria,Astoria-Ditmars Blvd,Q,N W,Elevated,40.775036,-73.912034,Last Stop,Manhattan,0,0,0,,POINT (-73.912034 40.775036)
11,J22,89,89,BMT,Jamaica,Cleveland St,Bk,J,Elevated,40.679947,-73.884639,Outbound,Manhattan,0,0,0,,POINT (-73.884639 40.679947)
12,S25,507,507,SIR,Staten Island,Dongan Hills,SI,SIR,Embankment,40.588849,-74.09609,Ferry,South Shore,1,1,1,,POINT (-74.09609 40.588849)
13,257,352,352,IRT,Eastern Pky,New Lots Av,Bk,3,Elevated,40.666235,-73.884079,Manhattan,Last Stop,0,0,0,,POINT (-73.884079 40.666235)
14,637,408,619,IRT,Lexington Av,Bleecker St,M,6,Subway,40.725915,-73.994659,Uptown,Downtown,1,1,1,,POINT (-73.994659 40.725915)
15,A36,170,624,IND,8th Av - Fulton St,Chambers St,M,A C,Subway,40.714111,-74.008585,Uptown,Brooklyn,0,0,0,,POINT (-74.008585 40.714111)
16,L02,116,601,BMT,Canarsie,6 Av,M,L,Subway,40.737335,-73.996786,West Side,Brooklyn,0,0,0,,POINT (-73.996786 40.737335)
17,D09,217,217,IND,Concourse,170 St,Bx,B D,Subway,40.839306,-73.9134,Northbound,Manhattan,0,0,0,,POINT (-73.9134 40.839306)
18,F12,276,276,IND,Queens Blvd,5 Av/53 St,M,E M,Subway,40.760167,-73.975224,Queens,Downtown,0,0,0,,POINT (-73.975224 40.760167)
19,118,308,308,IRT,Broadway - 7Av,Cathedral Pkwy (110 St),M,1,Subway,40.803967,-73.966847,Uptown,Downtown,0,0,0,,POINT (-73.966847 40.803967)
20,R08,6,6,BMT,Astoria,39 Av-Dutch Kills,Q,N W,Elevated,40.752882,-73.932755,Astoria,Manhattan,0,0,0,,POINT (-73.932755 40.752882)
21,705,449,449,IRT,Flushing,111 St,Q,7,Elevated,40.75173,-73.855334,Outbound,Manhattan,0,0,0,,POINT (-73.855334 40.75173)
22,L10,121,629,BMT,Canarsie,Lorimer St,Bk,L,Subway,40.714063,-73.950275,Manhattan,Outbound,0,0,0,,POINT (-73.950275 40.714063)
23,F32,247,247,IND,6th Av - Culver,Bay Pkwy,Bk,F,Elevated,40.620769,-73.975264,Manhattan,Southbound,0,0,0,,POINT (-73.975264 40.620769)
24,402,379,379,IRT,Jerome Av,Mosholu Pkwy,Bx,4,Elevated,40.87975,-73.884655,Woodlawn,Manhattan,0,0,0,,POINT (-73.884655 40.87975)
25,226,440,440,IRT,Lenox - White Plains Rd,116 St,M,2 3,Subway,40.802098,-73.949625,Uptown,Downtown,0,0,0,,POINT (-73.949625 40.802098)
26,G16,269,269,IND,Queens Blvd,Northern Blvd,Q,M R,Subway,40.752885,-73.906006,Outbound,Manhattan,0,0,0,,POINT (-73.906006 40.752885)
27,H14,202,202,IND,Rockaway,Beach 105 St,Q,A S,Viaduct,40.583209,-73.827559,Inbound,Rockaway Park,0,0,0,,POINT (-73.827559 40.583209)
28,R16,11,611,BMT,Broadway - Brighton,Times Sq-42 St,M,N Q R W,Subway,40.754672,-73.986754,Uptown,Downtown,1,1,1,,POINT (-73.986754 40.754672)
29,410,385,385,IRT,Jerome Av,176 St,Bx,4,Elevated,40.84848,-73.911794,Northbound,Manhattan,0,0,0,,POINT (-73.911794 40.84848)
30,409,384,384,IRT,Jerome Av,Burnside Av,Bx,4,Elevated,40.853453,-73.907684,Northbound,Manhattan,0,0,0,,POINT (-73.907684 40.853453)
31,D42,57,57,BMT,Broadway - Brighton,W 8 St-NY Aquarium,Bk,F Q,Elevated,40.576127,-73.975939,Manhattan,Coney Island,0,0,0,,POINT (-73.975939 40.576127)
32,A03,144,144,IND,8th Av - Fulton St,Dyckman St,M,A,Subway,40.865491,-73.927271,Uptown,Downtown,0,0,0,,POINT (-73.927271 40.865491)
33,Q05,475,475,IND,Second Av,96 St,M,Q,Subway,40.784318,-73.947152,Last Stop,Downtown,1,1,1,,POINT (-73.947152 40.784318)
34,237,340,340,IRT,Eastern Pky,Grand Army Plaza,Bk,2 3,Subway,40.675235,-73.971046,Manhattan,Outbound,0,0,0,,POINT (-73.971046 40.675235)
35,A16,154,154,IND,8th Av - Fulton St,116 St,M,B C,Subway,40.805085,-73.954882,Uptown,Downtown,0,0,0,,POINT (-73.954882 40.805085)
36,A41,174,636,IND,8th Av - Fulton St,Jay St-MetroTech,Bk,A C F,Subway,40.692338,-73.987342,Manhattan,Outbound,1,1,1,,POINT (-73.987342 40.692338)
37,633,404,404,IRT,Lexington Av,28 St,M,6,Subway,40.74307,-73.984264,Uptown,Downtown,2,0,1,Downtown only,POINT (-73.984264 40.74307)
38,A52,185,185,IND,8th Av - Fulton St,Liberty Av,Bk,C,Subway,40.674542,-73.896548,Manhattan,Outbound,0,0,0,,POINT (-73.896548 40.674542)
39,D27,43,43,BMT,Broadway - Brighton,Parkside Av,Bk,Q,Open Cut,40.655292,-73.961495,Manhattan,Southbound,0,0,0,,POINT (-73.961495 40.655292)
40,204,417,417,IRT,Lenox - White Plains Rd,Nereid Av,Bx,2 5,Elevated,40.898379,-73.854376,Northbound,Manhattan,0,0,0,,POINT (-73.854376 40.898379)
41,R29,25,636,BMT,Broadway,Jay St-MetroTech,Bk,R,Subway,40.69218,-73.985942,Manhattan,Southbound,1,1,1,,POINT (-73.985942 40.69218)
42,G32,288,288,IND,Crosstown,Myrtle-Willoughby Avs,Bk,G,Subway,40.694568,-73.949046,Queens,Southbound,0,0,0,,POINT (-73.949046 40.694568)
43,111,301,301,IRT,Broadway - 7Av,181 St,M,1,Subway,40.849505,-73.933596,The Bronx,Downtown,0,0,0,,POINT (-73.933596 40.849505)
44,130,320,320,IRT,Broadway - 7Av,23 St,M,1,Subway,40.744081,-73.995657,Uptown,Downtown,0,0,0,,POINT (-73.995657 40.744081)
45,301,436,436,IRT,Lenox - White Plains Rd,Harlem-148 St,M,3,Subway,40.82388,-73.93647,Last Stop,Downtown,0,0,0,,POINT (-73.93647 40.82388)
46,R44,38,38,BMT,4th Av,86 St,Bk,R,Subway,40.622687,-74.028398,Manhattan,Bay Ridge,1,1,1,,POINT (-74.028398 40.622687)
47,R30,26,26,BMT,Broadway - Brighton,DeKalb Av,Bk,B Q R,Subway,40.690635,-73.981824,Manhattan,Southbound,1,1,1,,POINT (-73.981824 40.690635)
48,F04,257,257,IND,Queens Blvd,Sutphin Blvd,Q,F,Subway,40.70546,-73.810708,Jamaica,Manhattan,0,0,0,,POINT (-73.810708 40.70546)
49,414,389,604,IRT,Jerome Av,161 St-Yankee Stadium,Bx,4,Elevated,40.827994,-73.925831,Northbound,Manhattan,1,1,1,,POINT (-73.925831 40.827994)
50,D38,53,53,BMT,Broadway - Brighton,Neck Rd,Bk,Q,Open Cut,40.595246,-73.955161,Manhattan,Southbound,0,0,0,,POINT (-73.955161 40.595246)
