,month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
0,2020-01,A DIVISION,1,1,9036,10554,0.856168277
1,2020-01,A DIVISION,1,2,2866,3050,0.939672131
2,2020-01,A DIVISION,2,1,6059,7330,0.826603001
3,2020-01,A DIVISION,2,2,1674,2340,0.715384615
4,2020-01,A DIVISION,3,1,5732,6603,0.868090262
5,2020-01,A DIVISION,3,2,1527,1875,0.8144
6,2020-01,A DIVISION,4,1,6552,8124,0.806499261
7,2020-01,A DIVISION,4,2,1890,2390,0.790794979
8,2020-01,A DIVISION,5,1,6150,7230,0.850622407
9,2020-01,A DIVISION,5,2,1594,1766,0.902604757
10,2020-01,A DIVISION,6,1,10238,12243,0.836232949
11,2020-01,A DIVISION,6,2,2170,2528,0.858386076
12,2020-01,A DIVISION,7,1,13310,14539,0.915468739
13,2020-01,A DIVISION,7,2,3013,3212,0.938044832
14,2020-01,A DIVISION,S 42nd,1,11823,11968,0.987884358
15,2020-01,A DIVISION,S 42nd,2,2746,2755,0.996733212
16,2020-01,B DIVISION,A,1,6010,8254,0.728131815
17,2020-01,B DIVISION,A,2,2221,2724,0.815345081
18,2020-01,B DIVISION,B,1,3083,4312,0.714981447
19,2020-01,B DIVISION,C,1,3424,4400,0.778181818
20,2020-01,B DIVISION,C,2,1042,1398,0.745350501
21,2020-01,B DIVISION,D,1,4268,6028,0.708029197
22,2020-01,B DIVISION,D,2,1683,2074,0.81147541
23,2020-01,B DIVISION,E,1,7165,8898,0.805237132
24,2020-01,B DIVISION,E,2,1690,1884,0.897027601
25,2020-01,B DIVISION,F,1,6656,9179,0.725133457
26,2020-01,B DIVISION,F,2,1448,1874,0.772678762
27,2020-01,B DIVISION,G,1,4980,6380,0.780564263
28,2020-01,B DIVISION,G,2,1854,2318,0.799827437
29,2020-01,B DIVISION,JZ,1,5098,6133,0.831240828
30,2020-01,B DIVISION,JZ,2,1674,2004,0.835329341
31,2020-01,B DIVISION,L,1,10077,10783,0.93452657
32,2020-01,B DIVISION,L,2,2726,2816,0.968039773
33,2020-01,B DIVISION,M,1,4949,6160,0.803409091
34,2020-01,B DIVISION,M,2,2168,2424,0.894389439
35,2020-01,B DIVISION,N,1,6673,9843,0.677943716
36,2020-01,B DIVISION,N,2,1394,2027,0.687715836
37,2020-01,B DIVISION,Q,1,5854,6910,0.847178003
38,2020-01,B DIVISION,Q,2,1765,2222,0.794329433
39,2020-01,B DIVISION,R,1,4727,6204,0.761927789
40,2020-01,B DIVISION,R,2,1662,1940,0.856701031
41,2020-01,B DIVISION,S Fkln,1,5183,5192,0.998266564
42,2020-01,B DIVISION,S Fkln,2,1889,1894,0.997360084
43,2020-01,B DIVISION,S Rock,1,3596,3696,0.972943723
44,2020-01,B DIVISION,S Rock,2,1360,1395,0.974910394
45,2020-01,Systemwide,Systemwide,1,150643,180963,0.832451938
46,2020-01,Systemwide,Systemwide,2,42056,48910,0.859865058
47,2020-02,A DIVISION,1,1,8130,9309,0.873348373
48,2020-02,A DIVISION,1,2,4421,4668,0.947086547
49,2020-02,A DIVISION,2,1,5019,6156,0.815302144
