,month,line,division,day_type,period,num_timepoints_passing_wait _assessment,num_sched_timepoints,wait assessment
0,2015-01,1,A DIVISION,1,offpeak,17864,22636,0.789185368
1,2015-01,1,A DIVISION,1,peak,10540,15019,0.701777748
2,2015-01,1,A DIVISION,2,offpeak,6601,7496,0.880602988
3,2015-01,1,A DIVISION,2,peak,3177,3656,0.868982495
4,2015-01,2,A DIVISION,1,offpeak,18357,24256,0.756802441
5,2015-01,2,A DIVISION,1,peak,10154,15882,0.639340133
6,2015-01,2,A DIVISION,2,offpeak,5746,7373,0.779329988
7,2015-01,2,A DIVISION,2,peak,2964,3768,0.786624204
8,2015-01,3,A DIVISION,1,offpeak,16719,21119,0.791656802
9,2015-01,3,A DIVISION,1,peak,9500,13575,0.699815838
10,2015-01,3,A DIVISION,2,offpeak,4534,5356,0.846527259
11,2015-01,3,A DIVISION,2,peak,2304,2730,0.843956044
12,2015-01,4,A DIVISION,1,offpeak,20484,27717,0.739041022
13,2015-01,4,A DIVISION,1,peak,12832,20912,0.613618975
14,2015-01,4,A DIVISION,2,offpeak,7801,10751,0.72560692
15,2015-01,4,A DIVISION,2,peak,4102,5866,0.69928401
16,2015-01,5,A DIVISION,1,offpeak,15190,21279,0.713849335
17,2015-01,5,A DIVISION,1,peak,10417,17393,0.598919105
18,2015-01,5,A DIVISION,2,offpeak,2743,4107,0.6678841
19,2015-01,5,A DIVISION,2,peak,1308,2214,0.590785908
20,2015-01,6,A DIVISION,1,offpeak,17334,25667,0.675341879
21,2015-01,6,A DIVISION,1,peak,11017,18713,0.588735104
22,2015-01,6,A DIVISION,2,offpeak,3572,4587,0.778722477
23,2015-01,6,A DIVISION,2,peak,1797,2392,0.751254181
24,2015-01,7,A DIVISION,1,offpeak,11078,14068,0.787460904
25,2015-01,7,A DIVISION,1,peak,8081,12022,0.672184329
26,2015-01,7,A DIVISION,2,offpeak,2845,3369,0.844464233
27,2015-01,7,A DIVISION,2,peak,1536,1905,0.806299213
28,2015-01,S 42nd,A DIVISION,1,offpeak,5214,5683,0.917473166
29,2015-01,S 42nd,A DIVISION,1,peak,4437,5746,0.772189349
30,2015-01,S 42nd,A DIVISION,2,offpeak,1910,1928,0.9906639
31,2015-01,S 42nd,A DIVISION,2,peak,1120,1132,0.989399293
32,2015-01,A,B DIVISION,1,offpeak,12769,17775,0.718368495
33,2015-01,A,B DIVISION,1,peak,8799,13182,0.667501138
34,2015-01,A,B DIVISION,2,offpeak,4624,7027,0.6580333
35,2015-01,A,B DIVISION,2,peak,2447,3870,0.632299742
36,2015-01,B,B DIVISION,1,offpeak,7096,8496,0.835216573
37,2015-01,B,B DIVISION,1,peak,5548,7452,0.744498121
38,2015-01,C,B DIVISION,1,offpeak,8170,10522,0.776468352
39,2015-01,C,B DIVISION,1,peak,4776,6508,0.733866011
40,2015-01,C,B DIVISION,2,offpeak,2803,3123,0.897534422
41,2015-01,C,B DIVISION,2,peak,1638,1876,0.873134328
42,2015-01,D,B DIVISION,1,offpeak,10568,12823,0.824144116
43,2015-01,D,B DIVISION,1,peak,6361,8377,0.759341053
44,2015-01,D,B DIVISION,2,offpeak,4694,6011,0.78090168
45,2015-01,D,B DIVISION,2,peak,2540,3194,0.795241077
46,2015-01,E,B DIVISION,1,offpeak,9770,12970,0.753276793
47,2015-01,E,B DIVISION,1,peak,6368,9265,0.687317863
48,2015-01,E,B DIVISION,2,offpeak,3027,3687,0.820992677
49,2015-01,E,B DIVISION,2,peak,1501,1890,0.794179894
