,Station,Station ID,Station Name,Rail Lines Served,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
0,Twinbrook,94,Twinbrook,WMATA Metro,Montgomery County,,,,,,,,,,,1.0,3.0,WMATA Metrobus; Local Transit,"WMATA Metrobus, Ride On","WMATA Metrobus, Ride On",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.061249, -77.119564)"
1,Naylor Road,92,Naylor Road,WMATA Metro,Prince George's County,,,,,,,,,,,1.0,3.0,WMATA Metrobus; Local Transit,"WMATA Metrobus Routes, TheBus 32","WMATA Metrobus Routes, TheBus 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38.8513, -76.956742)"
2,Branch Avenue,91,Branch Avenue,WMATA Metro,Prince George's County,,,,,,,,,,,1.0,3.0,WMATA Metrobus; Local Transit,"C11, C12, C13, C14, K12, TheBus 30","C11, C12, C13, C14, K12, TheBus 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38.828703, -76.920177)"
3,Duffields,74,Duffields,MARC: Brunswick Line,West Virginia,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.381549, -77.87435)"
4,Union Station,1,Union Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38.897595, -77.028886)"
5,Shady Grove,93,Shady Grove,WMATA Metro,Montgomery County,,,,,,,,,,,1.0,4.0,Commuter Bus; WMATA Metrobus; Local Transit,"201, 202, 505, 515, WMATA Metrobus, Ride On","201, 202, 505, 515, WMATA Metrobus, Ride On",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.119828, -77.164441)"
6,Milford Mill,6,Milford Mill,Metro,Baltimore County,"Town, Suburban, or Employment Center",319823.0,Anchor,5.0,3.0,5.0,2.0,4.0,1.0,1.0,1.0,2.0,BaltimoreLink Core Bus,"081, 085","81, 85",,,,1433.36,,,,,583.25,,,,,116.0,,,,,70.0,,Grade Separated,Yes,Yes,Yes,Yes,Yes,No,Yes,1000.0,No,44.0,0.0,0.0,677.0,535.0,79.0,0.55,1.39,2.42,86.5942,6.0,2.0,2 Inverted U,10.0,0.0,Yes,DR 5.5 - Med density residential,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,Master Plans\Baltimore Metro\Milford Mill\pikesvillerevitalizationplan2003.pdf,0.0,11.0,8.0,8.0,0.0,1.0,0.0,0.0,,,"(39.359546, -76.721415)"
7,Penn North,11,Penn North,Metro,Baltimore City,Urban Neighborhood,623771.0,Neighborhood,5.0,3.0,4.0,3.0,5.0,5.0,4.0,1.0,2.0,BaltimoreLink Core Bus,"022, 085, CityLink Gold, CityLink Lime","22, 85, CityLink Gold, CityLink Lime",,,,2444.95,,,,,1220.0,,,,,117.0,,,,,71.0,,Below Grade,Yes,Yes,Yes,Yes,Yes,No,Yes,0.0,No,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,342.556,8.0,0.0,,0.0,,No,TOD-1 Transit Oriented Development,http://cityview.baltimorecity.gov/,,3.0,249.0,5.0,265.0,0.0,4.0,0.0,0.0,,,"(39.309933, -76.642858)"
8,Seabrook,59,Seabrook,MARC: Penn Line,Prince Georges County,"Town, Suburban, or Employment Center",231434.0,Anchor,2.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,WMATA Bus,B27,B27,431.08,,,,,,,,,,,,,,,0.0,,,,,Grade Separated,Yes,Yes,No,Yes,Yes,Yes,No,257.0,No,10.0,0.0,0.0,239.0,284.0,119.0,0.628105906,,0.658454868,92.9614,3.0,3.0,2 Inverted U; 1 Wave,10.0,10.0,No,"C-M, C-A, C-S-C, R-80",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,1229.0,226.0,"(38.9725, -76.8443)"
9,Warren Road,44,Warren Road,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",85777.0,Anchor,4.0,2.0,1.0,4.0,1.0,3.0,1.0,1.0,2.0,BaltimoreLink Core Bus,093,93,,,,,281.96,,,,,,,,,,72.0,,,,,72.0,On Grade & Separated Right-of-Way,Yes,Yes,No,Yes,Yes,No,Yes,341.0,No,8.0,0.0,0.0,43.0,39.0,91.0,1.08,,3.48174505,16.5548,2.0,0.0,,0.0,,Yes,"ML-IM Light Manufacturing, Office",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,,,"(39.475048, -76.653073)"
