,Year_Month,Fuel_Category,County,Count
0,2020/07,Electric,ALLEGANY,29
1,2020/07,Electric,ANNE ARUNDEL,1587
2,2020/07,Electric,BALTIMORE,1508
3,2020/07,Electric,BALTIMORE CITY,770
4,2020/07,Electric,CALVERT,140
5,2020/07,Electric,CAROLINE,8
6,2020/07,Electric,CARROLL,292
7,2020/07,Electric,CECIL,82
8,2020/07,Electric,CHARLES,197
9,2020/07,Electric,DORCHESTER,24
10,2020/07,Electric,FREDERICK,710
11,2020/07,Electric,GARRETT,15
12,2020/07,Electric,HARFORD,321
13,2020/07,Electric,HOWARD,1934
14,2020/07,Electric,KENT,15
15,2020/07,Electric,MONTGOMERY,5791
16,2020/07,Electric,PRINCE GEORGES,1208
17,2020/07,Electric,QUEEN ANNES,84
18,2020/07,Electric,SAINT MARYS,144
19,2020/07,Electric,SOMERSET,2
20,2020/07,Electric,TALBOT,68
21,2020/07,Electric,UNKNOWN,28
22,2020/07,Electric,WASHINGTON,136
23,2020/07,Electric,WICOMICO,50
24,2020/07,Electric,WORCESTER,46
25,2020/07,Electric,CA,2
26,2020/07,Electric,TX,1
27,2020/07,Plug-in Hybrid,ALLEGANY,32
28,2020/07,Plug-in Hybrid,ANNE ARUNDEL,1124
29,2020/07,Plug-in Hybrid,BALTIMORE,1230
30,2020/07,Plug-in Hybrid,BALTIMORE CITY,585
31,2020/07,Plug-in Hybrid,CALVERT,160
32,2020/07,Plug-in Hybrid,CAROLINE,19
33,2020/07,Plug-in Hybrid,CARROLL,231
34,2020/07,Plug-in Hybrid,CECIL,74
35,2020/07,Plug-in Hybrid,CHARLES,172
36,2020/07,Plug-in Hybrid,DORCHESTER,26
37,2020/07,Plug-in Hybrid,FREDERICK,700
38,2020/07,Plug-in Hybrid,GARRETT,5
39,2020/07,Plug-in Hybrid,HARFORD,281
40,2020/07,Plug-in Hybrid,HOWARD,1150
41,2020/07,Plug-in Hybrid,KENT,31
42,2020/07,Plug-in Hybrid,MONTGOMERY,3583
43,2020/07,Plug-in Hybrid,PRINCE GEORGES,938
44,2020/07,Plug-in Hybrid,QUEEN ANNES,82
45,2020/07,Plug-in Hybrid,SAINT MARYS,174
46,2020/07,Plug-in Hybrid,SOMERSET,7
47,2020/07,Plug-in Hybrid,TALBOT,85
48,2020/07,Plug-in Hybrid,UNKNOWN,18
49,2020/07,Plug-in Hybrid,WASHINGTON,163
50,2020/07,Plug-in Hybrid,WICOMICO,82
51,2020/07,Plug-in Hybrid,WORCESTER,62
52,2020/07,Plug-in Hybrid,CO,2
53,2020/07,Plug-in Hybrid,DE,1
54,2020/07,Plug-in Hybrid,GA,1
55,2020/07,Plug-in Hybrid,IL,1
56,2020/07,Plug-in Hybrid,KY,1
57,2020/07,Plug-in Hybrid,NC,1
58,2020/07,Plug-in Hybrid,OH,3
59,2020/07,Plug-in Hybrid,TN,1
60,2020/07,Plug-in Hybrid,WA,1
61,2020/08,Electric,ALLEGANY,32
62,2020/08,Electric,ANNE ARUNDEL,1625
63,2020/08,Electric,BALTIMORE,1549
64,2020/08,Electric,BALTIMORE CITY,779
65,2020/08,Electric,CALVERT,142
66,2020/08,Electric,CAROLINE,7
67,2020/08,Electric,CARROLL,300
68,2020/08,Electric,CECIL,85
69,2020/08,Electric,CHARLES,205
70,2020/08,Electric,DORCHESTER,24
71,2020/08,Electric,FREDERICK,734
72,2020/08,Electric,GARRETT,15
73,2020/08,Electric,HARFORD,329
74,2020/08,Electric,HOWARD,1979
75,2020/08,Electric,KENT,15
76,2020/08,Electric,MONTGOMERY,5944
77,2020/08,Electric,PRINCE GEORGES,1235
78,2020/08,Electric,QUEEN ANNES,86
79,2020/08,Electric,SAINT MARYS,152
80,2020/08,Electric,SOMERSET,2
81,2020/08,Electric,TALBOT,71
82,2020/08,Electric,UNKNOWN,28
83,2020/08,Electric,WASHINGTON,138
84,2020/08,Electric,WICOMICO,52
85,2020/08,Electric,WORCESTER,47
86,2020/08,Electric,CA,2
87,2020/08,Electric,TX,1
88,2020/08,Plug-in Hybrid,ALLEGANY,34
89,2020/08,Plug-in Hybrid,ANNE ARUNDEL,1138
90,2020/08,Plug-in Hybrid,BALTIMORE,1242
91,2020/08,Plug-in Hybrid,BALTIMORE CITY,605
92,2020/08,Plug-in Hybrid,CALVERT,160
93,2020/08,Plug-in Hybrid,CAROLINE,19
94,2020/08,Plug-in Hybrid,CARROLL,235
95,2020/08,Plug-in Hybrid,CECIL,75
96,2020/08,Plug-in Hybrid,CHARLES,174
97,2020/08,Plug-in Hybrid,DORCHESTER,25
98,2020/08,Plug-in Hybrid,FREDERICK,704
99,2020/08,Plug-in Hybrid,GARRETT,5
