,Year_Month,County,Vehicle_Count
0,2023/01,ALLEGANY,61022
1,2023/01,ANNE ARUNDEL,574260
2,2023/01,BALTIMORE,669801
3,2023/01,BALTIMORE CITY,273108
4,2023/01,CALVERT,93227
5,2023/01,CAROLINE,45059
6,2023/01,CARROLL,184155
7,2023/01,CECIL,98600
8,2023/01,CHARLES,157213
9,2023/01,DORCHESTER,33679
10,2023/01,FREDERICK,263921
11,2023/01,GARRETT,32773
12,2023/01,HARFORD,244512
13,2023/01,HOWARD,277952
14,2023/01,KENT,22131
15,2023/01,MONTGOMERY,793188
16,2023/01,NOT MD,59995
17,2023/01,PRINCE GEORGE'S,709999
18,2023/01,QUEEN ANNE'S,59913
19,2023/01,SOMERSET,20621
20,2023/01,ST. MARY'S,117258
21,2023/01,TALBOT,44292
22,2023/01,WASHINGTON,142164
23,2023/01,WICOMICO,94444
24,2023/01,WORCESTER,62585
25,2023/02,ALLEGANY,61209
26,2023/02,ANNE ARUNDEL,575038
27,2023/02,BALTIMORE,670913
28,2023/02,BALTIMORE CITY,273658
29,2023/02,CALVERT,93343
30,2023/02,CAROLINE,45099
31,2023/02,CARROLL,184576
32,2023/02,CECIL,98810
33,2023/02,CHARLES,157644
34,2023/02,DORCHESTER,33853
35,2023/02,FREDERICK,264711
36,2023/02,GARRETT,32857
37,2023/02,HARFORD,244934
38,2023/02,HOWARD,278444
39,2023/02,KENT,22208
40,2023/02,MONTGOMERY,794163
41,2023/02,NOT MD,59693
42,2023/02,PRINCE GEORGE'S,710393
43,2023/02,QUEEN ANNE'S,60147
44,2023/02,SOMERSET,20668
45,2023/02,ST. MARY'S,117471
46,2023/02,TALBOT,44470
47,2023/02,WASHINGTON,142528
48,2023/02,WICOMICO,94648
49,2023/02,WORCESTER,62600
