,Year ,Month ,New,Used,Total Sales New,Total Sales Used
0,2002,JAN,31106,49927,755015820,386481929
1,2002,FEB,27520,50982,664454223,361353242
2,2002,MAR,34225,58794,805666244,419385387
3,2002,APR,36452,59817,846368297,433061150
4,2002,MAY,37359,60577,855005784,442569410
5,2002,JUN,36348,55415,830251613,414731166
6,2002,JUL,30367,55235,700530891,384673023
7,2002,AUG,38965,60310,934484212,455453720
8,2002,SEP,39740,55485,950502055,432112270
9,2002,OCT,35276,58020,865326154,456738532
10,2002,NOV,27812,49066,691740703,379196575
11,2002,DEC,26994,42461,673208880,374453368
12,2003,JAN,34707,49481,860730784,392438833
13,2003,FEB,24585,41048,615749948,323297077
14,2003,MAR,32705,56513,791728069,413899574
15,2003,APR,37682,61856,909778220,458127973
16,2003,MAY,38472,61742,917339608,469734647
17,2003,JUN,38573,59904,941898387,455117890
18,2003,JUL,41088,62811,990041754,489374362
19,2003,AUG,39556,60829,985375378,460316726
20,2003,SEP,40464,58279,1012404987,446119525
21,2003,OCT,38597,62417,980365678,470520906
22,2003,NOV,30155,50655,779674957,385164663
23,2003,DEC,31668,49823,838060569,401959321
24,2004,JAN,33361,46427,891062280,367825717
25,2004,FEB,27780,50842,721703209,377496734
26,2004,MAR,39340,68766,975737236,502144505
27,2004,APR,37478,64059,919596999,472014215
28,2004,MAY,37819,58589,916954404,431929913
29,2004,JUN,42758,65073,1038212129,486125865
30,2004,JUL,38329,60994,958264422,474975823
31,2004,AUG,37175,61106,950681015,470372767
32,2004,SEP,38712,60238,1004251102,478484210
33,2004,OCT,34839,57046,913403542,452470718
34,2004,NOV,29859,54654,821585825,439882689
35,2004,DEC,31058,51883,861503861,431825791
36,2005,JAN,33637,49534,933312807,407244081
37,2005,FEB,26707,51666,705851980,395540384
38,2005,MAR,35277,65088,920888098,504245180
39,2005,APR,36609,61977,925591302,469034149
40,2005,MAY,36191,60765,904011185,471821748
41,2005,JUN,40674,64021,1029116197,513909527
42,2005,JUL,38189,58605,1012715139,480607370
43,2005,AUG,45547,69589,1207716905,557209927
44,2005,SEP,38909,62941,1001701319,502113995
45,2005,OCT,31392,57367,804224324,472018026
46,2005,NOV,28915,53053,763610056,438437059
47,2005,DEC,29787,49229,797994610,427622069
48,2006,JAN,32331,50745,889192843,436119403
49,2006,FEB,25688,51372,690139661,410661975
50,2006,MAR,34167,66205,900277823,524850834
51,2006,APR,34099,58148,870626654,485131848
52,2006,MAY,36904,63707,917436807,524859557
53,2006,JUN,38718,63039,962049369,530723293
54,2006,JUL,36662,56611,928819275,481673874
55,2006,AUG,37151,66516,964524846,566181664
56,2006,SEP,35334,57684,914277304,496348705
57,2006,OCT,33211,60068,873442790,517877328
58,2006,NOV,28138,52776,767687998,461552850
59,2006,DEC,26879,50097,733181836,429705987
60,2007,JAN,31430,53277,886162633,462733911
61,2007,FEB,24793,48360,668148095,407096172
62,2007,MAR,32862,61513,872431678,514312592
63,2007,APR,33705,59128,865042222,500935964
64,2007,MAY,34931,62944,887475431,526560827
65,2007,JUN,37333,61175,948250315,519442504
66,2007,JUL,33259,60991,851325779,521144458
67,2007,AUG,35186,63410,929649250,541115210
68,2007,SEP,30248,52541,806385930,443757477
69,2007,OCT,32965,59348,885708713,516190017
70,2007,NOV,27160,50593,735515910,445062491
71,2007,DEC,24312,45269,661821527,395862246
72,2008,JAN,29072,47857,799819205,430842103
73,2008,FEB,22819,50937,611004312,409316017
74,2008,MAR,27118,55978,704894267,449993794
75,2008,APR,30769,58468,778075721,478875678
76,2008,MAY,29035,55339,709096913,437787528
77,2008,JUN,31463,54449,747520852,426137636
78,2008,JUL,29188,57055,732481463,444897621
79,2008,AUG,25666,53455,663384108,411849673
80,2008,SEP,26751,51206,697999898,398834140
81,2008,OCT,23216,50727,614717936,382437406
82,2008,NOV,16842,39803,447337415,295521964
83,2008,DEC,17220,42611,469069897,329674280
84,2009,JAN,17963,41254,504208132,320520578
85,2009,FEB,14779,48308,418843100,332054088
86,2009,MAR,17844,56948,465300148,390527459
87,2009,APR,20905,55631,526701218,390447902
88,2009,MAY,19781,51149,501252689,366133295
89,2009,JUN,24509,56732,627433850,411152753
90,2009,JUL,22836,57693,602063511,431644869
91,2009,AUG,25251,52432,651209293,388684275
92,2009,SEP,26992,53361,719767451,412237339
93,2009,OCT,20717,50783,593186195,383952423
94,2009,NOV,18590,42895,527527906,328315049
95,2009,DEC,18761,41703,548724421,354370497
96,2010,JAN,20419,40588,582084918,316999705
97,2010,FEB,14809,38932,405189138,296703782
98,2010,MAR,21920,62510,604302888,457388434
99,2010,APR,25844,61229,688229510,479848337
