,TRAIL_NO,TRAIL_NAME,TRAIL_TYPE,TRAIL_CN,BMP,EMP,SEGMENT_LENGTH,ADMIN_ORG,MANAGING_ORG,SECURITY_ID,ATTRIBUTESUBSET,NATIONAL_TRAIL_DESIGNATION,TRAIL_CLASS,TERRA_BASE_SYMBOLOGY,ACCESSIBILITY_STATUS,TRAIL_SURFACE,SURFACE_FIRMNESS,TYPICAL_TRAIL_GRADE,TYPICAL_TREAD_WIDTH,MINIMUM_TRAIL_WIDTH,TYPICAL_TREAD_CROSS_SLOPE,SPECIAL_MGMT_AREA,MVUM_SYMBOL,ALLOWED_TERRA_USE,ALLOWED_SNOW_USE,HIKER_PEDESTRIAN_MANAGED,HIKER_PEDESTRIAN_ACCPT_DISC,HIKER_PEDESTRIAN_RESTRICTED,PACK_SADDLE_MANAGED,PACK_SADDLE_ACCPT_DISC,PACK_SADDLE_RESTRICTED,BICYCLE_MANAGED,BICYCLE_ACCPT_DISC,BICYCLE_RESTRICTED,MOTORCYCLE_MANAGED,MOTORCYCLE_ACCPT_DISC,MOTORCYCLE_RESTRICTED,ATV_MANAGED,ATV_ACCPT_DISC,ATV_RESTRICTED,FOURWD_MANAGED,FOURWD_ACCPT_DISC,FOURWD_RESTRICTED,SNOWMOBILE_MANAGED,SNOWMOBILE_ACCPT_DISC,SNOWMOBILE_RESTRICTED,SNOWSHOE_MANAGED,SNOWSHOE_ACCPT_DISC,SNOWSHOE_RESTRICTED,XCOUNTRY_SKI_MANAGED,XCOUNTRY_SKI_ACCPT_DISC,XCOUNTRY_SKI_RESTRICTED,MOTOR_WATERCRAFT_MANAGED,MOTOR_WATERCRAFT_ACCPT_DISC,MOTOR_WATERCRAFT_RESTRICTED,NONMOTOR_WATERCRAFT_MANAGED,NONMOTOR_WATERCRAFT_ACCPT_DISC,NONMOTOR_WATERCRAFT_RESTRICTED,GIS_MILES,SHAPE,TERRA_MOTORIZED,SNOW_MOTORIZED,WATER_MOTORIZED,OBJECTID,GLOBALID,E_BIKE_CLASS1_MANAGED,E_BIKE_CLASS1_ACCPT,E_BIKE_CLASS1_DISC,E_BIKE_CLASS1_RESTRICTED,E_BIKE_CLASS2_MANAGED,E_BIKE_CLASS2_ACCPT,E_BIKE_CLASS2_DISC,E_BIKE_CLASS2_RESTRICTED,E_BIKE_CLASS3_MANAGED,E_BIKE_CLASS3_ACCPT,E_BIKE_CLASS3_DISC,E_BIKE_CLASS3_RESTRICTED,SHAPELEN
0,5W11,FISHERMAN'S CAMP,TERRA,510010443,1.01,1.6,0.59,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,10-12%,,,,,,21,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.59,,N,,,44481,{06DAFC58-2F0C-4096-B377-94EA6013F835},,,,,,,,,,,,,0.0093010439726167
1,5W16,CASE SPRINGS,TERRA,1374920010602,0.0,0.429,0.429,50252,50252,502,TrailNFS_MGMT,1,3.0,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,,,,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.438,,N,,,44482,{9E53ED53-29A7-4420-BF8B-A5C29171DA55},,,,,,,,,,,,,0.0066139644284799
2,6W10,FALCON,TERRA,215010443,0.0,1.2,1.2,50252,50252,502,TrailNFS_MGMT,1,3.0,TC3,,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.414,,N,,,44483,{0140D126-2083-4D82-86FF-7C656039174C},,,,,,,,,,,,,0.0064663459620536
3,5W02,MORGAN,TERRA,223010443,0.0,0.8,0.8,50252,50252,502,TrailNFS_MGMT,1,3.0,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.78,,N,,,44484,{2979B45A-77DA-4FB1-AD33-8E7BEF029D52},,,,,,,,,,,,,0.0124811859929405
4,5W01,HORSETHIEF EAST,TERRA,755010443,0.0,4.0,4.0,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,3.516,,N,,,44485,{410FD986-73B6-48D8-8324-81E427DC7D40},,,,,,,,,,,,,0.0574671832870359
5,5W08,SAN JUAN LOOP,TERRA,226010443,0.0,2.22,2.22,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,2.262,,N,,,44486,{CA014EFE-2F3E-431F-B3DD-DAB61EB79B7A},,,,,,,,,,,,,0.0347386413503901
6,6W03,HOLY JIM,TERRA,217010443,0.0,4.163,4.163,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,,NAT - NATIVE MATERIAL,,10-12%,TW03 - 18-24 INCHES,,,,,321,,01/01-12/31,,,,01/01-12/31,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,4.198,,N,,,44487,{1B4B612F-EF9E-4928-B6B6-F010A8653CB8},,,,,,,,,,,,,0.0657472059616191
7,912,PEACE MAKER SINGLETRACK,TERRA,260402010602,0.0,2.42,2.42,50254,50254,502,TrailNFS_MGMT,1,3.0,TC3,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,,,,,,9.0,4321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,01/01-12/31,,,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,2.552,,Y,,,44488,{FBBE0C43-6836-463C-B1CB-54559A31C247},,,,,,,,,,,,,0.0412910263544473
8,911A,GUNSLINGER LOOP A,TERRA,260484010602,0.0,0.42,0.42,50254,50254,502,TrailNFS_MGMT,1,,,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,,,,,,5.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,0.439,,Y,,,44489,{12E85077-951A-4D5D-8C5A-4AE098CC78C6},,,,,,,,,,,,,0.0071113898362716
9,W-8,WILDOMAR - 8,TERRA,124743010602,1.0,2.9,1.9,50252,50252,502,TrailNFS_MGMT,1,4.0,TC4-5,NOT ACCESSIBLE,NAT - NATIVE MATERIAL,,12-20%,TW06 - 48-60 INCHES,,,,7.0,321,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,01/01-12/31,,,01/01-12/31,,,01/01-12/31,,,,,,,,,,,,,,,,2.017,,N,,,44490,{83EA6D6A-B338-41AB-AEE7-61D5272C976E},,,,,,,,,,,,,0.0322201381298282
