,the_geom,OBJECTID_1,Street,StreetCode,RouteType,BoroName,Restrictio,BoroCode,TruckRoute,LtdLocal,NYC_Reg,SegmentID,Shape_Leng,LocalTunl,LocalBrg,ThruTunl,ThruBrg,assem_dist,cong_dist,coun_dist,st_sen_dis,ThruExwy,BoroCD
0,"MULTILINESTRING ((-73.9073328972562 40.853816414220894, -73.9055700725689 40.855787322184376))",1,JEROME AVENUE,242820,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",73071,868.014779659,,,,,86,15,14,33,,205
1,"MULTILINESTRING ((-73.9034172033414 40.81150688331628, -73.90324273473266 40.8107128849091))",2,EAST 149 STREET,226130,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",77201,293.285760538,,,,,84,15,8,32,,201
2,"MULTILINESTRING ((-73.90052119946623 40.84512281047548, -73.8993475788999 40.844737929289245))",3,EAST 175 STREET,226910,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",78397,353.699567727,,,,,86,15,15,33,,206
3,"MULTILINESTRING ((-73.83433721039573 40.872027022621374, -73.83445854079302 40.87236150355387, -73.83456586664148 40.87269900881651, -73.83465901108151 40.87303902221425, -73.83473780909308 40.873381032967266, -73.83480217874046 40.873724509698825))",4,NEW ENGLAND THRUWAY,253870,Through,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(1)",119835,632.32983184,,,,,82,16,12,36,Y,212
4,"MULTILINESTRING ((-73.86497363145573 40.88066526948053, -73.86490445559285 40.88082042362102, -73.86481816682199 40.88097177652515, -73.86471539832534 40.88111771432262, -73.86459709870695 40.88125671896007, -73.8644645687045 40.88138740426624, -73.86431936139405 40.88150858337487))",5,WHITE PLAINS ROAD,277150,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",132595,360.106718838,,,,,83,16,12,36,,212
5,"MULTILINESTRING ((-73.86724818914004 40.840343803534275, -73.866361308481 40.84059268543396))",6,EAST TREMONT AVENUE,229620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",107321,261.614091882,,,,,87,15,18,33,,209
6,"MULTILINESTRING ((-73.8647032629666 40.84155256935982, -73.86516639854744 40.842466275615756))",7,WHITE PLAINS ROAD,277150,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",85997,356.709782406,,,,,87,15,13,33,,211
7,"MULTILINESTRING ((-73.86737121006759 40.84871631096197, -73.86739373657203 40.84877825475126))",8,WHITE PLAINS ROAD,277150,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",108898,23.4131714491,,,,,80,14,15,33,,211
8,"MULTILINESTRING ((-73.87283453865224 40.83975486303385, -73.87277204706108 40.83975128219168))",9,EAST TREMONT AVENUE,229620,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",176185,17.3405437577,,,,,87,15,15,33,,206
9,"MULTILINESTRING ((-73.86725770332306 40.83162391825064, -73.86635554693976 40.83187448379259))",10,WESTCHESTER AVENUE,276950,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",85786,265.823602209,,,,,87,15,18,33,,209
10,"MULTILINESTRING ((-73.86423976800748 40.87668340446217, -73.86337966958081 40.876410279843626))",11,EAST GUN HILL ROAD,229320,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",107369,257.833929719,,,,,83,16,12,36,,212
11,"MULTILINESTRING ((-73.87278549117381 40.8358985258416, -73.87212461881758 40.835858142614846))",12,EAST 177 STREET,226970,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",176152,183.464663304,,,,,87,15,18,32,,209
12,"MULTILINESTRING ((-73.87253657008164 40.8245689132591, -73.8721688158128 40.824610739461924))",13,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",175805,102.91511137,,,,,85,15,18,32,,209
13,"MULTILINESTRING ((-73.8439866834201 40.82843414276344, -73.84390649962327 40.82840633228705))",14,BRUCKNER BOULEVARD,215920,Local,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(2)",178148,24.3944222694,,,,,87,15,18,34,,209
14,"MULTILINESTRING ((-73.82586588783666 40.82540154383053, -73.8250090806748 40.8251586524087))",15,CROSS BRONX EXPRESSWAY,222240,Through,Bronx,,2,Y,,"NYCDOT Traffic Rules, Section 4-13-(f)(1)",94493,253.104210679,,,,,82,14,13,34,,210
