,Reporting Period,Application Number,Application Approval Date,Customer Name,County,Census Tract,Disadvantaged Community (DAC),Status,OEM/URM,Vehicle Make,Model,Model Year,Type of Vehicle,Fuel Type,Weight Class,Existing Vehicle Scrapped,Vehicle Count,Voucher Amount
0,05/14/2024,224137,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
1,05/14/2024,224721,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
2,05/14/2024,224724,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
3,05/14/2024,224738,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
4,05/14/2024,224938,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
5,05/14/2024,224939,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
6,05/14/2024,225022,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
7,05/14/2024,225609,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
8,05/14/2024,228177,01/07/2020,Innovative Transportation Services dba Sonwil Transportation,Erie,36029000110,Yes,Redeemed,Orange EV,Orange EV,T-Series Pure Electric Terminal Truck (N160) DOT,2019,Terminal/Yard Tractor,Battery Electric,"Class 8: 33,001 lbs and up",No,1,140080.0
9,05/14/2024,228813,05/21/2020,Port Authority of New York and New Jersey,Queens,36081033100,No,Redeemed,Proterra,Proterra,40 Foot Catalyst E2,2020,Bus – Transit,Battery Electric,"Class 8: 33,001 lbs and up",Yes,6,2085000.0
10,05/14/2024,228813,05/21/2020,Port Authority of New York and New Jersey,Queens,36081071600,No,Redeemed,Proterra,Proterra,40 Foot Catalyst E2,2020,Bus – Transit,Battery Electric,"Class 8: 33,001 lbs and up",Yes,6,2085000.0
11,05/14/2024,230270,05/12/2020,"Wegmans Food Markets, Inc.",Monroe,36055014400,No,Redeemed,Orange EV,Orange EV,T-Series Pure Electric Terminal Truck (N160) DOT,2020,Terminal/Yard Tractor,Battery Electric,"Class 8: 33,001 lbs and up",No,1,140080.0
12,05/14/2024,231188,08/14/2020,Modern Disposal Service Inc,Niagara,36063024405,No,Redeemed,Peterbilt,Peterbilt,520,2020,Truck – Refuse,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,2,113531.4
13,05/14/2024,231188,08/14/2020,Modern Disposal Service Inc,Niagara,36063024405,No,Redeemed,Peterbilt,Peterbilt,520 - 401 L,2022,Truck – Refuse,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,9,510891.3
14,05/14/2024,233313,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
15,05/14/2024,233324,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
16,05/14/2024,233602,06/02/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNL64T300,2021,Truck – Tractor,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,1,60000.0
17,05/14/2024,233700,06/17/2020,Tompkins Consolidated Area Transit (TCAT),Tompkins,36109000700,No,Redeemed,Proterra,Proterra,40 Foot ZX5+,2021,Bus – Transit,Battery Electric,"Class 8: 33,001 lbs and up",Yes,3,1051558.2
18,05/14/2024,234106,08/20/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
19,05/14/2024,234293,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
20,05/14/2024,234294,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
21,05/14/2024,234396,06/02/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNL64T300,2021,Truck – Tractor,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,1,60000.0
22,05/14/2024,234403,06/02/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNL64T300,2021,Truck – Tractor,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,1,60000.0
23,05/14/2024,234407,06/02/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNL64T300,2021,Truck – Tractor,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,1,60000.0
24,05/14/2024,234417,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
25,05/14/2024,234434,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
26,05/14/2024,234510,06/02/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNL64T300,2021,Truck – Tractor,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,1,60000.0
27,05/14/2024,234606,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
28,05/14/2024,234616,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
29,05/14/2024,234686,09/01/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR64300,2021,Truck – Delivery,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,1,58329.9
30,05/14/2024,234694,08/19/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR64300,2021,Truck – Delivery,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,1,58329.9
31,05/14/2024,234749,08/19/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR64300,2021,Truck – Delivery,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,1,58329.9
32,05/14/2024,234755,08/19/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR64300,2021,Truck – Delivery,Compressed Natural Gas,"Class 8: 33,001 lbs and up",Yes,1,58329.9
33,05/14/2024,234765,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
34,05/14/2024,234767,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
35,05/14/2024,234774,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
36,05/14/2024,234924,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
37,05/14/2024,234944,08/21/2020,Manhattan Beer/New York Cross Docking,Bronx,36005009300,No,Redeemed,Volvo,Volvo,VNR42T300 (Class 7),2021,Truck – Delivery,Compressed Natural Gas,"Class 7: 26,001 – 33,000 lbs",Yes,1,54545.45
38,05/14/2024,241385,07/16/2020,United Parcel Service Inc,New York,36061012900,No,Redeemed,Unique Electric Solutions (UES),International,P1000 (Repower),2019,Truck – Delivery,Battery Electric,"Class 6: 19,501 – 26,000 lbs",No,1,110000.0
39,05/14/2024,243638,08/21/2020,Capital District Transportation Authority,Albany,36001000300,Yes,Redeemed,New Flyer of America,New Flyer,XE40 - 466 kWh - 1DB2022,2019,Bus – Transit,Battery Electric,"Class 8: 33,001 lbs and up",Yes,3,1108258.23
40,05/14/2024,243711,10/06/2020,United Parcel Service Inc,New York,36061012900,No,Redeemed,Unique Electric Solutions (UES),International,P1000 (Repower),2019,Truck – Delivery,Battery Electric,"Class 6: 19,501 – 26,000 lbs",No,1,110000.0
41,05/14/2024,244486,06/17/2020,Tompkins Consolidated Area Transit (TCAT),Tompkins,36109000700,No,Redeemed,Proterra,Proterra,40 Foot ZX5+,2021,Bus – Transit,Battery Electric,"Class 8: 33,001 lbs and up",Yes,1,350519.4
42,05/14/2024,249650,09/01/2020,Rochester Genesee Regional Transportation Authority,Monroe,36055005900,Yes,Redeemed,New Flyer of America,New Flyer,XE40 - 466 kWh - 1DB2016,2019,Bus – Transit,Battery Electric,"Class 8: 33,001 lbs and up",Yes,5,1847097.05
43,05/14/2024,258894,09/29/2020,Colony Fence Company,Westchester,36119011902,Yes,Redeemed,SEA Electric LLC,Hino,195 (New),2020,Truck – Delivery,Battery Electric,"Class 5: 16,001 – 19,500 lbs",No,1,84040.0
