,OBJECTID,BOEM Lease Number,Project Name,Project Phase Number,Developer Name,Route Name,Substation Identifier,Location Type (onshore/offshore),Installation Status,Longitude (NAD83),Latitude (NAD83),Northing,Easting,UTM Zone,x,y
0,3,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",,AP06,Offshore,Installed,-71.16796548,41.07587016,4549444.0,317874.0,19N,-7922381.73580169,5023540.19349559
1,4,OCS-A 0487,Sunrise Wind,,Orsted,,4,Offshore,Proposed,-71.12122539,40.99334111,4540184.0,321578.0,19N,-7917178.59467448,5011359.5281113
2,7,OCS-A 0534,New England Wind,1,"Park City Wind, LLC",,Shootflying Hill (8),Onshore,Proposed,-70.33689446,41.6857579,4615749.63648849,388737.34486514,19N,-7829867.27560138,5114023.11442357
3,8,OCS-A 0521,SouthCoast Wind,,SouthCoast Wind Energy LLC,Falmouth ECC,Cape Cod Aggregates,Onshore,Proposed,-70.59025297,41.61279606,4608013.27,367498.11,19N,-7858071.0557751,5103154.76588411
4,9,OCS-A 0521,SouthCoast Wind,,SouthCoast Wind Energy LLC,Falmouth ECC,Lawrence Lynch Gifford Street,Onshore,Proposed,-70.61210203,41.56517199,4602749.68,365586.89,19N,-7860503.28323312,5096066.5085858
5,10,OCS-A 0521,SouthCoast Wind,,SouthCoast Wind Energy LLC,Brayton Point ECC,Brayton Point,Onshore,Proposed,-71.19125627,41.7176048,4620727.55,317723.14,19N,-7924751.5902811,5118792.35385158
6,11,OCS-A 0512,Empire Wind,1,"Empire Offshore Wind, LLC",,EW 1 OSS,Offshore,Proposed,-73.44726552,40.34035485,4466691.34401368,631883.20298741,18N,-8176112.33343189,4915526.89269852
7,12,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",,EW 2 OSS,Offshore,Proposed,-73.23307727,40.28714,4461125.50001168,650194.29996034,18N,-8152268.99827035,4907758.04009322
8,13,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",,C,Onshore,Proposed,-73.65803556,40.59743205,4494935.15841875,613546.76040463,18N,-8199575.15642133,4953144.31230614
9,14,OCS-A 0512,Empire Wind,1,"Empire Offshore Wind, LLC",,,Onshore,Proposed,-74.00681929,40.66040708,4501534.28784928,583955.89929934,18N,-8238401.59555309,4962381.30711048
10,15,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",,A,Onshore,Proposed,-73.65188584,40.62109235,4497569.56089838,614026.88667263,18N,-8198890.57183185,4956613.71561625
11,16,OCS-A 0499,Project 1,,"Atlantic Shores Offshore Wind, LLC",,1,Offshore,Proposed,-74.15299601,39.28954201,4349250.07588901,573044.23414289,18N,-8254673.91047238,4763232.40451174
12,17,OCS-A 0499,Project 2,,"Atlantic Shores Offshore Wind, LLC",,3,Offshore,Proposed,-74.01175106,39.30773892,4351393.11603915,585203.12761037,18N,-8238950.58977452,4765850.04023651
13,18,OCS-A 0499,Project 1,,"Atlantic Shores Offshore Wind, LLC",,2,Offshore,Proposed,-74.15003087,39.23917407,4343662.71112692,573352.43227464,18N,-8254343.83226349,4755990.4911248
14,19,OCS-A 0499,Project 1,,"Atlantic Shores Offshore Wind, LLC",,Fire Road ,Onshore,Proposed,-74.55626382,39.39393523,4360587.3854395,538209.99600734,18N,-8299565.49209511,4778258.68767909
15,20,OCS-A 0499,Project 1,,"Atlantic Shores Offshore Wind, LLC",,English Creek Ave,Onshore,Proposed,-74.60926835,39.42956937,4364520.94843315,533628.65353005,18N,-8305465.93161084,4783392.98527723
16,21,OCS-A 0498,Ocean Wind Offshore Wind Farm Project (OCW01),1,Ocean Wind LLC,,OSSZ02,Offshore,Proposed,-74.23330412,39.16468956,4335332.50844566,566235.76623624,18N,-8263613.77094449,4745290.6148339
17,22,OCS-A 0498,Ocean Wind Offshore Wind Farm Project (OCW01),1,Ocean Wind LLC,,OSSZ01,Offshore,Proposed,-74.19899425,39.18707931,4337842.86003698,569177.93081529,18N,-8259794.4119058,4748505.76346348
18,23,OCS-A 0498,Ocean Wind Offshore Wind Farm Project (OCW01),1,Ocean Wind LLC,,OSSZ11,Offshore,Proposed,-74.30108361,39.12038612,4330368.61195109,560418.01489659,18N,-8271158.95059336,4738931.69540297
19,34,OCS-A 0483,Coastal Virginia Offshore Wind Commercial Project,,Dominion Energy,,Fentress,Onshore,Proposed,-76.18922353,36.69162184,4061322.7083,393759.5885,18N,-8481345.77612985,4396210.60125075
20,35,OCS-A 0559,Kitty Hawk North,1 and 2,"Avangrid Renewables, LLC",,Corporate Landing,Onshore,Proposed,-76.01372469,36.77788241,4070710.92921634,409539.88517586,18N,-8461809.12612484,4408191.51601409
21,55,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",,AP06,Offshore,Installed,-71.16796548,41.07587016,4549444.0,317874.0,19N,-7922381.73580169,5023540.19349559
22,56,OCS-A 0487,Sunrise Wind,,Orsted,,4,Offshore,Proposed,-71.12122539,40.99334111,4540184.0,321578.0,19N,-7917178.59467448,5011359.5281113
23,59,OCS-A 0534,New England Wind,1,"Park City Wind, LLC",,Shootflying Hill (8),Onshore,Proposed,-70.33689446,41.6857579,4615749.63648849,388737.34486514,19N,-7829867.27560138,5114023.11442357
24,60,OCS-A 0521,SouthCoast Wind,,SouthCoast Wind Energy LLC,Falmouth ECC,Cape Cod Aggregates,Onshore,Proposed,-70.59025297,41.61279606,4608013.27,367498.11,19N,-7858071.0557751,5103154.76588411
25,61,OCS-A 0521,SouthCoast Wind,,SouthCoast Wind Energy LLC,Falmouth ECC,Lawrence Lynch Gifford Street,Onshore,Proposed,-70.61210203,41.56517199,4602749.68,365586.89,19N,-7860503.28323312,5096066.5085858
26,62,OCS-A 0521,SouthCoast Wind,,SouthCoast Wind Energy LLC,Brayton Point ECC,Brayton Point,Onshore,Proposed,-71.19125627,41.7176048,4620727.55,317723.14,19N,-7924751.5902811,5118792.35385158
27,68,OCS-A 0499,Project 1,,"Atlantic Shores Offshore Wind, LLC",,1,Offshore,Proposed,-74.15299601,39.28954201,4349250.07588901,573044.23414289,18N,-8254673.91047238,4763232.40451174
28,69,OCS-A 0499,Project 2,,"Atlantic Shores Offshore Wind, LLC",,3,Offshore,Proposed,-74.01175106,39.30773892,4351393.11603915,585203.12761037,18N,-8238950.58977452,4765850.04023651
29,70,OCS-A 0499,Project 1,,"Atlantic Shores Offshore Wind, LLC",,2,Offshore,Proposed,-74.15003087,39.23917407,4343662.71112692,573352.43227464,18N,-8254343.83226349,4755990.4911248
30,71,OCS-A 0499,Project 1,,"Atlantic Shores Offshore Wind, LLC",,Fire Road ,Onshore,Proposed,-74.55626382,39.39393523,4360587.3854395,538209.99600734,18N,-8299565.49209511,4778258.68767909
31,72,OCS-A 0499,Project 1,,"Atlantic Shores Offshore Wind, LLC",,English Creek Ave,Onshore,Proposed,-74.60926835,39.42956937,4364520.94843315,533628.65353005,18N,-8305465.93161084,4783392.98527723
