,objectid,globalid,Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Food Service Establishment Permit #,Sidewalk Dimensions (Length),Sidewalk Dimensions (Width),Sidewalk Dimensions (Area),Roadway Dimensions (Length),Roadway Dimensions (Width),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,SLA Serial Number,SLA License Type,Landmark District or Building,landmarkDistrict_terms,healthCompliance_terms,Time of Submission,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
0,13610,{FD87ABAA-860E-4762-845D-8F0403D0246B},roadway,MADAME BONTE,BEANHOUSE LLC,MADAME BONTE,,318 EAST   84 STREET,Manhattan,10028,"318 EAST   84 STREET, Manhattan, NY",50114174,,,,10.0,8.0,80.0,no,yes,yes,1346965,TW,no,,yes,06/09/2022 04:26:00 PM,40.776277,-73.952051,8.0,5.0,138.0,1049941.0,1015460043.0,Yorkville
1,5900,{3B07E4C0-07B7-4079-8333-64446CC3EE03},sidewalk,Seasoned Vegan,"Seasoned Vegan, LLC","Seasoned Vegan, LLC",55,St. Nicholas Avenue,Manhattan,10026,"55 St. Nicholas Avenue, Manhattan, NY",50003337,47.0,3.0,141.0,,,,yes,no,yes,1289526,RW,no,,yes,06/26/2020 08:38:00 PM,40.8005,-73.952507,10.0,9.0,216.0,1054995.0,1018220052.0,Central Harlem South
2,13018,{137C575D-DC14-4F9D-83D9-A3FFE513B3B8},sidewalk,AMERICAS CAFE &amp; GRILL,68TH GRILL INC,AMERICAS CAFE &amp; GRILL,,1159 3 AVENUE,Manhattan,10065,"1159 3 AVENUE, Manhattan, NY",40797684,8.0,8.0,64.0,,,,yes,no,no,,,no,,yes,10/22/2021 11:01:00 AM,40.766845,-73.962708,8.0,4.0,118.0,1043896.0,1014220048.0,Lenox Hill-Roosevelt Island
3,11630,{15270732-2A78-4C24-89DD-BE8DD916F115},roadway,SUSHI SEKI,SEKI INC,SUSHI SEKI,undefined,208 WEST   23 STREET,Manhattan,10011,"208 WEST   23 STREET, Manhattan, NY",50005983,,,,44.0,8.0,352.0,no,yes,yes,Aug-82,OP,no,,yes,12/14/2020 07:54:00 PM,40.744338,-73.99624,4.0,3.0,91.0,1014129.0,1007720056.0,Hudson Yards-Chelsea-Flatiron-Union Square
4,13137,{EF9C8173-91D1-496E-8BD4-B02BEADC2A21},roadway,Sami &amp; Susu,AMIR NATHAN,Sami & Susu,,190 ORCHARD STREET,Manhattan,10002,"190 ORCHARD STREET, Manhattan, NY",50112624,,,,22.0,8.0,176.0,no,yes,yes,Jul-61,TW,no,,yes,12/22/2021 12:46:00 PM,40.722124,-73.98816,3.0,1.0,3001.0,1005393.0,1004120010.0,Chinatown
5,7753,{AE2F76BE-D0EC-4D10-890F-B7AFBDB87188},both,Lucky Seven Restaurant & Bar LLC,Lucky Seven Restaurant & Bar LLC,Lucky Seven Tapas Bar,1455,St Nicholas Avenue,Manhattan,10033,"1455  St Nicholas Avenue, Manhattan, NY",41603214,115.0,12.0,1380.0,115.0,8.0,920.0,yes,yes,yes,Apr-17,OP,no,,yes,07/08/2020 03:58:00 PM,40.850323,-73.933011,12.0,10.0,271.0,1063948.0,1021650038.0,Washington Heights North
6,1426,48f151e9-5e17-41c7-8197-ebb4a5fc5b23,sidewalk,LA VERITE BAR RESTAURANT & LOUNGE,SAME,SAME,187-04,187-04 HILLSIDE AVE,Queens,11432,"187-04 187-04 HILLSIDE AVE, Queens, NY",636471,240.0,48.0,11520.0,,,,yes,no,yes,1126077,OP,no,,yes,06/19/2020 04:20:00 PM,,,,,,,,
7,5010,{07AE4461-6BB3-499D-8332-4F2966E0514F},sidewalk,El Nuevo Carribeno,El Nuevo Carribeno Inc.,El Nuevo Carribeno Inc.,1675,Lexington Avenue,Manhattan,10029,"1675 Lexington Avenue , Manhattan, NY",50073215,36.0,11.0,396.0,,,,yes,no,yes,1308794,OP,yes,yes,yes,06/24/2020 04:02:00 PM,40.79167,-73.946688,11.0,8.0,172.0,1051992.0,1016330019.0,East Harlem South
8,10859,{1E0BA213-F8D5-43C5-8666-ABE1B2C6B8B8},roadway,LA BRUSCHETTA RESTAURANT,LA BRUSCHETTA RESTAURANT OF NY INC,LA BRUSCHETTA RESTAURANT,undefined,256 7 AVENUE,Brooklyn,11215,"256 7 AVENUE, Brooklyn, NY",40601006,,,,19.0,7.0,133.0,no,yes,no,,,no,,yes,09/04/2020 06:47:00 PM,40.669179,-73.979687,6.0,39.0,153.0,3021506.0,3009890042.0,Park Slope-Gowanus
9,9068,{415BD287-CF8E-4A68-8D00-C707F3B2FE62},both,La Catrina Restaurant Deli,LA CATRINA RESTAURANT MEXICAN DELI CORP,LA CATRINA RESTAURANT MEXICAN DELI CORP,2083,Amsterdam w 163 street,Manhattan,10032,"2083 Amsterdam w 163 street , Manhattan, NY",50093284,10.0,11.0,110.0,10.0,8.0,80.0,yes,yes,no,,,no,,yes,07/21/2020 03:25:00 PM,,,,,,,,
10,9003,{F3816B9A-B215-49AE-88CC-CA5241815D36},roadway,Shabu Garden,20 west 33rd street corp.,Shabu Garden,24 w,33rd street,Manhattan,10001,"24 w 33rd street, Manhattan, NY",50092090,,,,22.0,8.0,176.0,no,yes,yes,Mar-35,OP,no,,yes,07/20/2020 06:12:00 PM,40.748213,-73.98612,5.0,4.0,76.0,1083633.0,1008347501.0,Midtown-Midtown South
11,8903,{1FFC0F07-9A96-46BB-8002-37CA32E76790},sidewalk,Spoons,Spoons of 13th Avenue inc,Spoons of 13th Avenue inc,5001,13,Brooklyn,11219,"5001  13, Brooklyn, NY",50071004,26.0,10.0,260.0,,,,yes,no,no,,,no,,yes,07/19/2020 02:45:00 PM,,,,,,,,
12,11728,{3F492ECB-4A1C-4E15-814F-D1E8B541E6FC},roadway,QUALITY BISTRO,"FRENCH ONION SOUP, LLC",QUALITY BISTRO,undefined,1345 AVENUE OF THE AMERICAS,Manhattan,10105,"1345 AVENUE OF THE AMERICAS, Manhattan, NY",50092790,,,,100.0,8.0,800.0,no,yes,yes,Oct-05,OP,no,,yes,01/12/2021 09:33:00 AM,40.762605,-73.97846,5.0,4.0,137.0,1083719.0,1010070029.0,Midtown-Midtown South
13,4123,{DD3A12D6-2AFF-412F-866F-4F43151D1ED3},sidewalk,Talia's Restaurant Group LLC,Talia's Restaurant Group LLC,Talia's Steakhouse & Bar,668,Amsterdam Avenue,Manhattan,10025,"668 Amsterdam Avenue, Manhattan, NY",40978252,42.0,9.0,378.0,,,,yes,no,yes,1130867,OP,no,,yes,06/23/2020 01:10:00 AM,40.79186,-73.971979,7.0,6.0,179.0,1033614.0,1012400036.0,Upper West Side
14,3943,{53adaf70-4774-4db1-8d28-ef5d8167afca},both,KARIZMA LOUNGE CORP,KARIZMA LOUNGE CORP,KARIZMA LOUNGE CORP,244,EAST 51 STREET,Manhattan,10002,"244 EAST 51 STREET, Manhattan, NY",41636886,9.0,8.0,72.0,15.0,8.0,120.0,yes,yes,yes,1262705,OP,no,,yes,06/22/2020 05:55:00 PM,40.756005,-73.969276,6.0,4.0,98.0,1038462.0,1013240131.0,Turtle Bay-East Midtown
15,2128,{16497661-d42d-47ab-8f53-142b42631344},sidewalk,hudson bagel,narae food inc,hudson bagel,691,9 ave,Manhattan,10036,"691 9 ave , Manhattan, NY",50086520,20.0,15.0,300.0,,,,yes,no,no,,,no,,yes,06/20/2020 10:45:00 AM,40.761926,-73.990098,4.0,3.0,127.0,1026570.0,1010570033.0,Clinton
16,11305,{F31BFE5F-1E18-4705-86AE-4BF12358E3CF},roadway,KANA TAPAS BAR &amp; RESTAURANT,RIOMAR CORP.,KANA TAPAS BAR &amp; RESTAURANT,undefined,324 SPRING STREET,Manhattan,10013,"324 SPRING STREET, Manhattan, NY",40608746,,,,15.0,8.0,120.0,no,yes,yes,May-07,OP,no,,yes,10/11/2020 06:02:00 PM,40.726,-74.009301,2.0,3.0,37.0,1010345.0,1005950072.0,SoHo-TriBeCa-Civic Center-Little Italy
17,2124,{ab4011a3-9af6-4eca-8e91-6c7eee414af4},both,Olympia Wine Bar,54 Jay Street Partners LLC,Olympia Wine Bar,54,Jay Street,Brooklyn,11201,"54 Jay Street, Brooklyn, NY",41711468,10.0,5.0,50.0,15.0,8.0,120.0,yes,yes,yes,1266296,OP,yes,yes,yes,06/20/2020 10:36:00 AM,40.703265,-73.986648,2.0,33.0,21.0,3000032.0,3000300019.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
18,3483,{deec7c02-3488-4cd8-8018-55bda75282f1},both,Taszo,Taszo Coffee LLC,Taszo,5,Edward M Morgan Place,Manhattan,10032,"5 Edward M Morgan Place, Manhattan, NY",50000150,26.0,15.0,390.0,26.0,12.0,312.0,yes,yes,yes,1317571,OP,no,,yes,06/22/2020 12:27:00 PM,40.834534,-73.9454,12.0,7.0,241.0,1076745.0,1021340180.0,Washington Heights South
19,364,81ebafa7-26aa-49a6-87ca-e7e4bf285f4c,roadway,W's Bar and Restaurant LLC,W's Bar and Reataurant LLC,W's Bar and Reataurant LLC,7001 C,Amboy Road,Staten Island,10307,"7001 C  Amboy Road, Staten Island, NY",50080247,,,,70.0,24.0,1680.0,no,yes,yes,1043168,OP,no,,yes,06/19/2020 12:10:00 PM,40.51585,-74.233504,3.0,51.0,248.0,5088658.0,5080080014.0,Charleston-Richmond Valley-Tottenville
20,11377,{1C90E24D-1240-44EA-879C-3D726FAF8594},both,TACO MIX,EAT REAL TACOS LLC,TACO MIX,undefined,234 EAST  116 STREET,Manhattan,10029,"234 EAST  116 STREET, Manhattan, NY",50078527,25.0,16.0,400.0,25.0,8.0,200.0,yes,yes,no,,,no,,yes,10/22/2020 10:41:00 AM,40.79757,-73.939146,11.0,8.0,188.0,1052541.0,1016650034.0,East Harlem North
21,662,accca88d-84bc-482a-82e5-ec958b7c84da,both,Olea,Gayseahourse Llc,Olea Mediterranean Taverna,171,Lafayette Avenue,Brooklyn,11238,"171  Lafayette Avenue, Brooklyn, NY",41489414,30.0,8.0,240.0,36.0,8.0,288.0,yes,yes,yes,1183339,OP,yes,yes,yes,06/19/2020 01:22:00 PM,40.687672,-73.970552,2.0,35.0,181.0,3335279.0,3021040065.0,Fort Greene
22,7581,{7578A431-108B-4116-8219-7B2F943348ED},openstreets,Don't Tell Mama,DTM PB CORP,Don't Tell Mama,343-345,West 46th Street,Manhattan,10036,"343-345 West 46th Street, Manhattan, NY",41632738,,,,,,,no,no,yes,Oct-50,OP,no,,yes,07/07/2020 03:12:00 PM,40.76034,-73.989196,4.0,3.0,127.0,1025083.0,1010370113.0,Clinton
