,ticket_number,issue_date,issue_time,meter_id,marked_time,rp_state_plate,plate_expiry_date,vin,make,body_style,color,location,route,agency,violation_code,violation_description,fine_amount,agency_desc,color_desc,body_style_desc,loc_lat,loc_long
0,1000448820,12/13/2022 12:00:00 AM,1620,,0,CA,202205,,JEEP,PA,WH,13922 OSBORNE ST,19SL0,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.2344923,-118.4360021
1,1000448831,12/13/2022 12:00:00 AM,1625,,0,CA,202210,,MAZD,PA,BK,13922 OSBORNE ST,19SL0,1,4000A1,,50,WESTERN,BLACK,PASSENGER CAR,34.2344923,-118.4360021
2,1000448842,12/16/2022 12:00:00 AM,1210,,0,CA,202205,,HOND,PA,BR,9540 VAN NUYS BLVD,19SL0,1,4000A1,,50,WESTERN,,PASSENGER CAR,34.24279,-118.450141
3,1000448853,12/19/2022 12:00:00 AM,845,,0,CA,202209,,LEXU,PA,BK,14650 NOVICE ST,19SL0,1,4000A1,,50,WESTERN,BLACK,PASSENGER CAR,34.243561,-118.450389
4,1000448864,12/19/2022 12:00:00 AM,855,,0,CA,202109,,TOYO,PA,GY,14650 NOVICE ST,19SL0,1,4000A1,,50,WESTERN,GREY,PASSENGER CAR,34.243561,-118.450389
5,1000448875,12/19/2022 12:00:00 AM,900,,0,CA,202209,,DODG,TR,GY,14662 NOVICE ST,19SL0,1,4000A1,,50,WESTERN,GREY,TRAILER,34.243561,-118.450389
6,1000448886,12/19/2022 12:00:00 AM,905,,0,CA,202203,,CHEV,SU,RE,9703 CEDROS AVE,19SL0,1,4000A1,,50,WESTERN,,,34.246246,-118.452149
7,1000448890,12/19/2022 12:00:00 AM,910,,0,CA,202105,,JEEP,SU,GY,VESPER/VAN NUYS BL,19SL0,1,4000A1,,50,WESTERN,GREY,,34.2450868,-118.4502511
8,1000448901,12/19/2022 12:00:00 AM,915,,0,CA,202211,,BMW,PA,BK,VAN NUYS/VESPER,19SL0,1,4000A1,,50,WESTERN,BLACK,PASSENGER CAR,34.1996715,-118.4487824
9,1000448912,12/19/2022 12:00:00 AM,920,,0,CA,202311,,VOLK,PA,GY,VAN NUYS BLVD/VESPER,19SL0,1,8056E4,,93,WESTERN,GREY,PASSENGER CAR,34.2450868,-118.4502511
10,1000448923,12/19/2022 12:00:00 AM,925,,0,CA,202301,,HOND,PA,RE,VAN NUYS/VESPER,19SL0,1,8056E4,,93,WESTERN,,PASSENGER CAR,34.1996715,-118.4487824
11,1000448934,12/19/2022 12:00:00 AM,930,,0,CA,202307,,FORD,SU,SI,VAN NUYS/VESPER,19SL0,1,8056E4,,93,WESTERN,,,34.1996715,-118.4487824
12,1000448945,12/19/2022 12:00:00 AM,930,,0,CA,202303,,NISS,PA,BK,VAN NUYS/VESPER,19SL0,1,8056E4,,93,WESTERN,BLACK,PASSENGER CAR,34.1996715,-118.4487824
13,1000448956,12/19/2022 12:00:00 AM,940,,0,CA,202112,,NISS,TR,WH,TUPPER/CEDROS,19SL0,1,4000A1,,50,WESTERN,,TRAILER,34.2390751,-118.453568
