,boro,order_no,main_st,from_st,to_st,sos
0,B,P-00097673,DECATUR AVENUE,EAST FORDHAM ROAD,EAST  193 STREET,W
1,B,P-00097679,EAST AVENUE,YANKEE MALL,PARKCHESTER ROAD*S RDWY,W
2,B,P-00097684,KATONAH AVENUE,EAST  236 STREET,EAST  235 STREET,W
3,B,P-00097688,KATONAH AVENUE,EAST  240 STREET,EAST  239 STREET,W
4,B,P-00097689,KATONAH AVENUE,EAST  238 STREET,EAST  237 STREET,W
5,B,P-00097691,KATONAH AVENUE,EAST  235 STREET,EAST  236 STREET,E
6,B,P-00097692,KATONAH AVENUE,EAST  238 STREET,EAST  239 STREET,E
7,B,P-00097703,KATONAH AVENUE,EAST  236 STREET,EAST  237 STREET,E
8,B,P-010938  ,WOOD AVENUE,METROPOLITAN AVENUE,WEST AVENUE,S
9,B,P-01249551,EAST  205 STREET,PERRY AVENUE,BAINBRIDGE AVENUE,N
10,B,P-01249901,EAST  205 STREET,PERRY AVENUE,EAST  204 STREET,S
11,B,P-01249905,EAST  206 STREET,BAINBRIDGE AVENUE,PERRY AVENUE,S
12,B,P-01249961,KOSSUTH AVENUE,EAST  210 STREET,DEKALB AVENUE,W
13,B,P-01250230,WESTCHESTER AVENUE,BUHRE AVENUE,PILGRIM AVENUE,N
14,B,P-01250308,FOREST AVENUE,EAST  160 STREET,EAST  158 STREET,E
15,B,P-01250350,WESTCHESTER AVENUE,ZEREGA AVENUE,PARKER STREET,N
16,B,P-01250378,WESTCHESTER AVENUE,COMMERCE AVENUE,FERRIS PLACE,S
17,B,P-01250684,OAK POINT AVENUE,LONGFELLOW AVENUE,HUNTS POINT AVENUE,S
18,B,P-01251242,WESTCHESTER AVENUE,GLOVER STREET,DORIS STREET,N
19,B,P-01251245,WESTCHESTER AVENUE,PARKER STREET,GLOVER STREET,N
20,B,P-01251253,WESTCHESTER AVENUE,TAYLOR AVENUE,BEACH AVENUE,N
21,B,P-01251712,THIRD AVENUE,EAST  146 STREET,EAST  147 STREET,E
22,B,P-01254461,WHITE PLAINS ROAD,EAST  223 STREET,EAST  224 STREET,E
23,B,P-01258538,BRONX RIV AVENUE,ROSEDALE AVENUE,EAST TREMONT AVENUE,N
24,B,P-01260196,WEST  233 STREET,BROADWAY,KINGSBRIDGE AVENUE,N
25,B,P-01263251,GRAND CONCOURSE*W S/R,EAST  183 STREET,EAST  182 STREET,W
26,B,P-01263255,GRAND CONCOURSE*W S/R,EAST  184 STREET,FIELD PLACE,W
27,B,P-01264014,GRAND CONCOURSE,EAST  188 STREET,EAST FORDHAM ROAD,E
28,B,P-01264365,GRAND CONCOURSE*E S/R,EAST  184 STREET,EAST  187 STREET,E
29,B,P-01266467,EAST GUN HILL ROAD,ADEE AVENUE,FENTON AVENUE,N
30,B,P-01266468,FENTON AVENUE,EAST GUNHILL ROAD,KNAPP STREET,E
31,B,P-01266478,EAST GUNHILL ROAD,SEXTON PLACE,DEWITT PLACE,S
32,B,P-01266481,EAST GUNHILL ROAD,KNAPP STREET,FENTON AVENUE,S
33,B,P-01266483,EAST GUN HILL ROAD,WHITE PLAINS ROAD,WILLET AVENUE,N
34,B,P-01266777,EINSTEIN LOOP EAST,EINSTEIN LOOP NORTH,EINSTEIN LOOP SOUTH,W
35,B,P-01266816,WILLIAMSBRIDGE ROAD,WARING AVENUE,MACE AVENUE,E
36,B,P-01266847,ASTOR AVENUE,HOLLAND AVENUE,WALLACE AVENUE,S
37,B,P-01266853,ASTOR AVENUE,HOLLAND AVENUE,CRUGER AVENUE,N
38,B,P-01266891,ASTOR AVENUE,CRUGER AVENUE,HOLLAND AVENUE,S
39,B,P-01268337,WHITE PLAINS ROAD,EAST  219 STREET,EAST  216 STREET,W
40,B,P-01268366,DREISER LOOP*E,CO-OP CITY BOULEVARD,DREISER LOOP SOUTH,W
41,B,P-01268397,EAST  233 STREET,BYRON AVENUE,WHITE PLAINS ROAD,N
42,B,P-01268553,DYRE AVENUE,EAST  233 STREET,DARK STREET,E
43,B,P-01268571,DYRE AVENUE,LUSTRE STREET,EAST  233 STREET,W
44,B,P-01268575,EAST  233 STREET,MERRITT AVENUE,DYRE AVENUE,N
45,B,P-01268977,EASTCHESTER ROAD,KNAPP STREET,ADEE AVENUE,W
46,B,P-01269025,PELHAM PARKWAY NORTH,CRUGER AVENUE,WHITE PLAINS ROAD,N
47,B,P-01269920,EAST  241 STREET,RICHARDSON AVENUE,WHITE PLAINS ROAD,S
48,B,P-01271123,EAST  234 STREET,CARPENTER AVENUE,BRONX BOULEVARD,S
49,B,P-01271501,EAST  233 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,S
