,ID,Source,Duration in Minutes,Start Time,End Time,Amount,Kiosk ID,App Zone ID,App Zone Group,Payment Method,Location Group,Last Updated
0,275761741,Passport - app,267.26666,02/27/2021 06:00:00 PM,02/27/2021 10:27:16 PM,5.25,,39003,MACC Lot,App - Wallet,MACC Lot,05/04/2023 09:03:17 PM
1,275761744,Passport - app,60.0,02/27/2021 06:00:00 PM,02/27/2021 07:00:00 PM,2.25,,39266,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
2,275761784,Passport - app,540.0,02/27/2021 06:00:00 PM,02/28/2021 03:00:00 AM,5.25,,39003,MACC Lot,App - Wallet,MACC Lot,05/04/2023 09:03:19 PM
3,275761823,Passport - app,539.0,02/27/2021 06:01:00 PM,02/28/2021 03:00:00 AM,5.25,,39003,MACC Lot,App - Wallet,MACC Lot,05/04/2023 09:03:19 PM
4,275761913,Passport - app,540.0,02/27/2021 06:00:00 PM,02/28/2021 03:00:00 AM,5.4,,39003,MACC Lot,App - Credit Card,MACC Lot,05/04/2023 09:03:19 PM
5,275761954,Passport - app,225.0,02/27/2021 06:01:00 PM,02/27/2021 09:46:00 PM,8.0,,39149,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
6,275761982,Passport - app,225.0,02/27/2021 06:01:00 PM,02/27/2021 09:46:00 PM,9.5,,39316,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
7,275761998,Passport - app,150.0,02/27/2021 06:01:00 PM,02/27/2021 08:31:00 PM,5.5,,39175,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
8,275762010,Passport - app,45.0,02/27/2021 06:01:00 PM,02/27/2021 06:46:00 PM,1.75,,39182,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
9,275762017,Passport - app,90.0,02/27/2021 06:01:00 PM,02/27/2021 07:31:00 PM,3.25,,39170,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
10,275762058,Passport - app,150.0,02/27/2021 06:02:00 PM,02/27/2021 08:32:00 PM,5.75,,39291,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
11,275762179,Passport - app,60.0,02/27/2021 06:02:00 PM,02/27/2021 07:02:00 PM,2.25,,39744,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
12,275762245,Passport - app,240.0,02/27/2021 06:01:00 PM,02/27/2021 10:01:00 PM,10.75,,39232,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
13,275762294,Passport - app,60.0,02/27/2021 06:03:00 PM,02/27/2021 07:03:00 PM,2.5,,39183,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
14,275762334,Passport - app,60.0,02/27/2021 05:59:00 PM,02/27/2021 06:59:00 PM,2.25,,39255,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
15,275762344,Passport - app,135.0,02/27/2021 06:03:00 PM,02/27/2021 08:18:00 PM,4.75,,39235,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
16,275762414,Passport - app,536.0,02/27/2021 06:04:00 PM,02/28/2021 03:00:00 AM,5.25,,39003,MACC Lot,App - Wallet,MACC Lot,05/04/2023 09:03:19 PM
17,275762419,Passport - app,120.0,02/27/2021 06:03:00 PM,02/27/2021 08:03:00 PM,4.25,,39735,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
18,275762446,Passport - app,135.0,02/27/2021 06:04:00 PM,02/27/2021 08:19:00 PM,4.75,,39223,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
19,275762468,Passport - app,60.0,02/27/2021 06:03:00 PM,02/27/2021 07:03:00 PM,2.25,,39263,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
20,275762532,Passport - app,90.9,02/27/2021 06:04:00 PM,02/27/2021 07:34:54 PM,3.75,,39756,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
21,275762538,Passport - app,60.0,02/27/2021 06:04:00 PM,02/27/2021 07:04:00 PM,2.25,,39255,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
22,275762547,Passport - app,90.0,02/27/2021 06:04:00 PM,02/27/2021 07:34:00 PM,3.25,,39739,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
23,275762569,Passport - app,90.0,02/27/2021 06:04:00 PM,02/27/2021 07:34:00 PM,3.25,,39128,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
24,275762592,Passport - app,356.0,02/27/2021 06:04:00 PM,02/28/2021 12:00:00 AM,12.5,,39107,CORE,App - Wallet,Core,05/04/2023 09:03:19 PM
25,275762617,Passport - app,180.0,02/27/2021 06:04:00 PM,02/27/2021 09:04:00 PM,7.25,,39184,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
26,275762629,Passport - app,180.0,02/27/2021 06:05:00 PM,02/27/2021 09:05:00 PM,7.5,,39285,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
27,275762703,Passport - app,75.0,02/27/2021 06:05:00 PM,02/27/2021 07:20:00 PM,3.0,,39578,Non-Core (Rainey),App - Wallet,Rainey,05/04/2023 09:03:17 PM
28,275762728,Passport - app,15.0,02/27/2021 06:05:00 PM,02/27/2021 06:20:00 PM,0.75,,39720,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
29,275762757,Passport - app,330.0,02/27/2021 06:05:00 PM,02/27/2021 11:35:00 PM,16.75,,39176,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
30,275762783,Passport - app,30.0,02/27/2021 06:06:00 PM,02/27/2021 06:36:00 PM,1.5,,39705,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
31,275762795,Passport - app,120.0,02/27/2021 06:05:00 PM,02/27/2021 08:05:00 PM,4.25,,39587,Non-Core (Rainey),App - Wallet,Rainey,05/04/2023 09:03:17 PM
32,275762832,Passport - app,165.0,02/27/2021 06:06:00 PM,02/27/2021 08:51:00 PM,6.75,,39725,East Austin PTMD,App - Wallet,East Austin,05/04/2023 09:03:17 PM
33,275762840,Passport - app,165.0,02/27/2021 06:05:00 PM,02/27/2021 08:50:00 PM,6.5,,39237,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
34,275762869,Passport - app,135.0,02/27/2021 06:06:00 PM,02/27/2021 08:21:00 PM,4.75,,39582,Non-Core (Rainey),App - Wallet,Rainey,05/04/2023 09:03:17 PM
35,275762905,Passport - app,354.0,02/27/2021 06:06:00 PM,02/28/2021 12:00:00 AM,19.5,,39155,CORE,App - Wallet,Core,05/04/2023 09:03:19 PM
36,275763092,Passport - app,120.0,02/27/2021 06:06:00 PM,02/27/2021 08:06:00 PM,4.25,,39191,CORE,App - Wallet,Core,05/04/2023 09:03:17 PM
