,Practice Type,Percent SVI Priority Zip Code,Date Updated
0,Cumulative Hospital,25.89,09/15/2021
1,Weekly Hospital,51.75,09/15/2021
2,Cumulative Public Health Dept,20.89,09/15/2021
3,Weekly Public Health Dept,48.59,09/15/2021
4,Cumulative FQHC,32.97,09/15/2021
5,Weekly FQHC,69.3,09/15/2021
6,Cumulative Pharmacy,26.15,09/15/2021
7,Weekly Pharmacy,35.81,09/15/2021
8,Cumulative Total,26.96,09/15/2021
9,Weekly Total,39.66,09/15/2021
10,Cumulative Hospital,22.58,05/04/2021
11,Weekly Hospital,29.57,05/04/2021
12,Cumulative Public Health Dept,19.5,05/04/2021
13,Weekly Public Health Dept,24.04,05/04/2021
14,Cumulative FQHC,27.75,05/04/2021
15,Weekly FQHC,32.26,05/04/2021
16,Cumulative Pharmacy,20.16,05/04/2021
17,Weekly Pharmacy,23.52,05/04/2021
18,Cumulative Total,23.4,05/04/2021
19,Weekly Total,29.52,05/04/2021
20,Cumulative Hospital,22.9,05/12/2021
21,Weekly Hospital,30.62,05/12/2021
22,Cumulative Public Health Dept,19.66,05/12/2021
23,Weekly Public Health Dept,24.21,05/12/2021
24,Cumulative FQHC,28.21,05/12/2021
25,Weekly FQHC,32.49,05/12/2021
26,Cumulative Pharmacy,20.49,05/12/2021
27,Weekly Pharmacy,23.55,05/12/2021
28,Cumulative Total,23.8,05/12/2021
29,Weekly Total,29.81,05/12/2021
30,Cumulative Hospital,23.23,05/19/2021
31,Weekly Hospital,32.57,05/19/2021
32,Cumulative Public Health Dept,19.77,05/19/2021
33,Weekly Public Health Dept,23.54,05/19/2021
34,Cumulative FQHC,28.68,05/19/2021
35,Weekly FQHC,33.03,05/19/2021
36,Cumulative Pharmacy,20.85,05/19/2021
37,Weekly Pharmacy,26.88,05/19/2021
38,Cumulative Total,24.16,05/19/2021
39,Weekly Total,30.83,05/19/2021
40,Cumulative Hospital,23.99,05/26/2021
41,Weekly Hospital,38.3,05/26/2021
42,Cumulative Public Health Dept,20.22,05/26/2021
43,Weekly Public Health Dept,23.6,05/26/2021
44,Cumulative FQHC,29.33,05/26/2021
45,Weekly FQHC,35.97,05/26/2021
46,Cumulative Pharmacy,21.47,05/26/2021
47,Weekly Pharmacy,28.9,05/26/2021
48,Cumulative Total,24.56,05/26/2021
49,Weekly Total,32.6,05/26/2021
50,Cumulative Hospital,24.13,06/02/2021
51,Weekly Hospital,42.68,06/02/2021
52,Cumulative Public Health Dept,20.36,06/02/2021
53,Weekly Public Health Dept,26.78,06/02/2021
54,Cumulative FQHC,29.72,06/02/2021
55,Weekly FQHC,42.91,06/02/2021
56,Cumulative Pharmacy,21.97,06/02/2021
57,Weekly Pharmacy,32.54,06/02/2021
58,Cumulative Total,24.83,06/02/2021
59,Weekly Total,37.39,06/02/2021
60,Cumulative Hospital,24.27,06/09/2021
61,Weekly Hospital,40.2,06/09/2021
62,Cumulative Public Health Dept,20.26,06/09/2021
63,Weekly Public Health Dept,22.89,06/09/2021
64,Cumulative FQHC,30.13,06/09/2021
65,Weekly FQHC,44.93,06/09/2021
66,Cumulative Pharmacy,22.32,06/09/2021
67,Weekly Pharmacy,32.01,06/09/2021
68,Cumulative Total,25.0,06/09/2021
69,Weekly Total,34.96,06/09/2021
70,Cumulative Hospital,24.47,06/16/2021
71,Weekly Hospital,39.38,06/16/2021
72,Cumulative Public Health Dept,20.26,06/16/2021
73,Weekly Public Health Dept,12.45,06/16/2021
74,Cumulative FQHC,30.42,06/16/2021
75,Weekly FQHC,43.49,06/16/2021
76,Cumulative Pharmacy,22.76,06/16/2021
77,Weekly Pharmacy,30.94,06/16/2021
78,Cumulative Total,25.21,06/16/2021
79,Weekly Total,32.64,06/16/2021
80,Cumulative Hospital,24.59,06/23/2021
81,Weekly Hospital,44.01,06/23/2021
82,Cumulative Public Health Dept,20.33,06/23/2021
83,Weekly Public Health Dept,21.15,06/23/2021
84,Cumulative FQHC,30.69,06/23/2021
85,Weekly FQHC,49.06,06/23/2021
86,Cumulative Pharmacy,23.18,06/23/2021
87,Weekly Pharmacy,33.95,06/23/2021
88,Cumulative Total,25.4,06/23/2021
89,Weekly Total,37.66,06/23/2021
90,Cumulative Hospital,24.7,06/30/2021
91,Weekly Hospital,51.09,06/30/2021
92,Cumulative Public Health Dept,20.39,06/30/2021
93,Weekly Public Health Dept,44.6,06/30/2021
94,Cumulative FQHC,30.96,06/30/2021
95,Weekly FQHC,55.44,06/30/2021
96,Cumulative Pharmacy,23.47,06/30/2021
97,Weekly Pharmacy,36.24,06/30/2021
98,Cumulative Total,25.54,06/30/2021
99,Weekly Total,41.07,06/30/2021
