,Pole Attachment ID,Signal Name,Location Latitude,Location Longitude,Pole Attachment Description,Pole Attachment Provider,Created Date,Modified Date,Intersection Quadrant,Install Date,Status,Signal,ATD Location ID,Infrastructure Owner,Infrastructure Type,Provider ID,Location
0,71,,,,,,09/20/2017,02/04/2021,SE,,WITHDRAWN,183.0,LOC16-000905,,,,POINT (-97.741074 30.262396)
1,137,,,,,,06/06/2018,01/16/2019,,,WITHDRAWN,,,,,,
2,226,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
3,194,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
4,228,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
5,50,86:  7TH ST / NECHES ST,,,,,09/20/2017,02/04/2021,SW,,WITHDRAWN,86.0,LOC16-000425,,,,POINT (-97.737915 30.2677)
6,80,,,,has CCTV,,10/13/2017,01/16/2019,SW,,UNAVAILABLE,110.0,LOC16-000545,ATD,Signal Pole,,POINT (-97.752075 30.283602)
7,105,,,,1883 Pleasant Valley Rd W,AT&T,06/06/2018,01/16/2019,,,UNAVAILABLE,,,,,CRAN_RSTX_AustC_014,
8,169,,,,2211 1/2 E MLK Jr Blvd,SPRINT_SPECTRUM,06/06/2018,07/08/2021,SE,,OCCUPIED,,,Foreign,Foreign Pole,AU90XSD37A,
9,195,,,,,,06/06/2018,06/29/2020,,,WITHDRAWN,,,,Steel Utility Pole,,
10,229,,,,,,06/06/2018,02/02/2021,,,WITHDRAWN,,,,,,
11,231,,,,E,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
12,51,1010:  BRAZOS ST / 4TH ST,,,0,,09/20/2017,02/04/2021,NE,,WITHDRAWN,1010.0,LOC16-004940,,,0,POINT (-97.742149 30.265835)
13,70,,,,106 1/2 W 3rd St,SPRINT_SPECTRUM,09/20/2017,02/04/2021,SW,,OCCUPIED,328.0,LOC16-001605,ATD,Signal Pole,AU90XS911A,POINT (-97.743866 30.26524)
14,136,,,,W 34th St and Guadalupe NE,AT&T,06/06/2018,01/16/2019,,,UNAVAILABLE,,,,,CRAN_RSTX_AustC_032,
15,157,,,,,,06/06/2018,01/16/2019,,,WITHDRAWN,,,,,,
16,233,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
17,26,155:  CONGRESS AVE / 2ND ST,,,205 1/2 Congress Ave #C,T-MOBILE,09/20/2017,02/11/2021,SW,,OCCUPIED,155.0,LOC16-000770,ATD,Signal Pole,AU1041BA_91LAB,POINT (-97.744194 30.26432)
18,41,291:  7TH ST / LAVACA ST,,,614 1/2 Lavaca St #B,T-MOBILE,09/20/2017,01/16/2019,SE,,WITHDRAWN,291.0,LOC16-001420,ATD,Signal Pole,,POINT (-97.744843 30.269655)
19,138,,,,,,06/06/2018,01/16/2019,,,WITHDRAWN,,,,,,
20,140,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
21,196,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
22,236,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
23,106,,,,"2010-1/2 E Oltorf St, Unit B",AT&T,06/06/2018,01/27/2021,NE,,OCCUPIED,,,Foreign,Wood Utility Pole,CRAN_RSTX_AUSTC_005A,
24,141,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
25,170,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
26,197,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
27,42,312:  5TH ST / LAVACA ST,,,300 1/2 W 5th St #B,T-MOBILE,09/20/2017,07/15/2019,SE,,OCCUPIED,312.0,LOC16-001525,ATD,Signal Pole,AU1042BA_51LAB,POINT (-97.745544 30.267796)
28,124,,,,400 1/2 E 7th St,AT&T,06/06/2018,01/27/2021,NE,,OCCUPIED,,,ATD,Signal Pole,CRAN_RSTX_0010_41,
29,158,,,,,,06/06/2018,01/16/2019,,,WITHDRAWN,,,,,,
30,171,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
31,199,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
32,63,959:  COLORADO ST / 4TH ST,,,,,09/20/2017,02/04/2021,,,WITHDRAWN,959.0,LOC16-004685,,,,POINT (-97.744812 30.266569)
33,159,,,,,,06/06/2018,01/16/2019,,,UNAVAILABLE,,,,,,
34,172,,,,,,06/06/2018,07/06/2021,SE,,WITHDRAWN,,,,,,
35,27,284:  8TH ST / CONGRESS AVE,,,,,09/20/2017,01/25/2021,,,WITHDRAWN,284.0,LOC16-001385,,,,POINT (-97.742111 30.269905)
36,31,302:  6TH ST / COLORADO ST,,,510 1/2 Colorado St #C,T-MOBILE,09/20/2017,01/16/2019,NW,,OCCUPIED,302.0,LOC16-001475,ATD,Signal Pole,AU1042BA_41LAB,POINT (-97.744125 30.268417)
37,201,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
38,203,,,,,,06/06/2018,02/04/2021,SE,,WITHDRAWN,,,,,,
39,64,149:  CESAR CHAVEZ ST / CONGRESS AVE,,,,,09/20/2017,02/04/2021,,,WITHDRAWN,149.0,LOC16-000740,,,,POINT (-97.744568 30.263382)
40,78,,,,401 1/2 W 3rd St,AT&T,09/27/2017,01/16/2019,SW,,OCCUPIED,731.0,LOC16-003605,ATD,Signal Pole,CRAN_RSTX_0010_17,POINT (-97.747307 30.266226)
41,107,,,,"2300 1/2 Parker Ln, Unit B",AT&T,06/06/2018,01/16/2019,,,UNAVAILABLE,,,,,CRAN_RSTX_AUSTC_047A,
42,142,,,,,,06/06/2018,07/08/2021,,,WITHDRAWN,,,,,,
43,204,,,,,,06/06/2018,01/16/2019,NW,,WITHDRAWN,,,,,0,
44,32,288:  LAVACA ST / 4TH ST,,,317 1/2 Lavaca St #C,T-MOBILE,09/20/2017,01/16/2019,SW,,OCCUPIED,288.0,LOC16-001405,ATD,Signal Pole,AU1021GA_81LAB,POINT (-97.745873 30.266876)
45,95,,,,817 1/2 Lavaca St,AT&T,05/24/2018,05/07/2020,SE,,OCCUPIED,273.0,LOC16-001330,ATD,Signal Pole,CRAN_RSTX_0010_4,POINT (-97.744148 30.271542)
46,43,325:  GUADALUPE ST / 4TH ST,,,402 1/2 W 4th St #B,T-MOBILE,09/20/2017,02/05/2019,SE,,OCCUPIED,325.0,LOC16-001590,ATD,Signal Pole,AU1042BA_31LAB,POINT (-97.746964 30.267183)
47,79,,,,500 1/2 W 3rd St,AT&T,10/04/2017,05/07/2020,NW,,OCCUPIED,,LOC17-011315,ATD,Signal Pole,CRAN_RSTX_00101_15,POINT (-97.748442 30.266541)
48,108,,,,"2610 1/2 Salado St, Unit B",AT&T,06/06/2018,01/27/2021,NW,,OCCUPIED,,,Foreign,Wood Utility Pole,AustC_035A,
49,143,,,,,,06/06/2018,06/29/2020,,,WITHDRAWN,,,AE,Signal Pole,,
