,Reporting Railroad Code,Reporting Railroad Name,Year,Accident Number,PDF Link,Accident Year,Accident Month,Other Railroad Code,Other Railroad Name,Other Accident Number,Other Accident Year,Other Accident Month,Maintenance Railroad Code,Maintenance Railroad Name,Maintenance Accident Number,Maintenance Accident Year,Maintenance Accident Month,Grade Crossing ID,Day,Date,Time,Accident Type Code,Accident Type,Hazmat Cars,Hazmat Cars Damaged,Hazmat Released Cars,Persons Evacuated,Subdivision,Division Code,Division,Station,Milepost,State Code,State Abbreviation,State Name,County Code,County Name,District,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Track Name,Track Class,Track Density,Train Direction Code,Train Direction,Equipment Type Code,Equipment Type,Equipment Attended,Train Number,Train Speed,Recorded Estimated Speed,Maximum Speed,Gross Tonnage,Signalization Code,Signalization,Method of Operation Code,Method of Operation,Adjunct Code 1,Adjunct Name 1,Adjunct Code 2,Adjunct Name 2,Adjunct Code 3,Adjunct Name 3,Remote Control Locomotive Code,Remote Control Locomotive,First Car Initials,First Car Number,First Car Position,First Car Loaded,Causing Car Initials,Causing Car Number,Causing Car Position,Causing Car Loaded,Positive Alcohol Tests,Positive Drug Tests,Passengers Transported,Head End Locomotives,Mid Train Manual Locomotives,Mid Train Remote Locomotives,Rear End Manual Locomotives,Rear End Remote Locomotives,Derailed Head End Locomotives,Derailed Mid Train Manual Locomotives,Derailed Mid Train Remote Locomotives,Derailed Rear End Manual Locomotives,Derailed Rear End Remote Locomotives,Loaded Freight Cars,Loaded Passenger Cars,Empty Freight Cars,Empty Passenger Cars,Cabooses,Derailed Loaded Freight Cars,Derailed Loaded Passenger Cars,Derailed Empty Freight Cars,Derailed Empty Passenger Cars,Derailed Cabooses,Equipment Damage Cost,Track Damage Cost,Total Damage Cost,Primary Accident Cause Code,Primary Accident Cause,Contributing Accident Cause Code,Contributing Accident Cause,Accident Cause Code,Accident Cause,Engineers On Duty,Firemen On Duty,Conductors On Duty,Brakemen On Duty,Hours Engineers On Duty,Minutes Engineers On Duty,Hours Conductors On Duty,Minutes Conductors On Duty,Railroad Employees Killed,Railroad Employees Injured,Passengers Killed,Passengers Injured,Others Killed,Others Injured,Reporting Railroad Fatalities for 55a,Reporting Railroad Injuries for 55a,Total Persons Killed,Total Persons Injured,Total Killed Form 54,Total Injured Form 54,Special Study 1,Special Study 2,Latitude,Longitude,Narrative,Joint Track Type,Joint Track Class,Class Code,Class,Joint CD,Incident Key,Report Key,Reporting Railroad Company Grouping,Reporting Railroad Class,Reporting Railroad SMT Grouping,Reporting Parent Railroad Code,Reporting Parent Railroad Name,Reporting Railroad Holding Company,Other Railroad Company Grouping,Other Railroad Class,Other Railroad SMT Grouping,Other Parent Railroad Code,Other Parent Railroad Name,Other Railroad Holding Company,Maintenance Railroad Company Grouping,Maintenance Railroad Class,Maintenance Railroad SMT Grouping,Maintenance Parent Railroad Code,Maintenance Parent Railroad Name,Maintenance Railroad Holding Company,Location
0,CO,COLORADO,1977,AWV972,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=COAWV97219771119,77,11,,,,,,CO,COLORADO,AWV972,77,11,,19,11/19/1977,6:30 PM,1,Derailment,0,0,0,0,,WVIRGI,WEST VIRGINIA,TERRY JUNCTION,W1.0,54,WV,WEST VIRGINIA,81.0,RALEIGH,2,45,4,Dark,2,Cloudy,1.0,Main,SINGLE MAIN TRACK,2,0.9,3.0,East,1.0,Freight Train,Yes,5842,10,Recorded,10,8440,,,IM,,,,,,,,,,CO,48504.0,61.0,Yes,CO,48504.0,61.0,Yes,,,No,4,0,0,0,0,0,0,0,0,0,82,0,8,0,1,1,0,0,0,0,900,4000,4900,E07C,Rigging down or dragging,,,E07C,Rigging down or dragging,1.0,0.0,1.0,2.0,3.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Main,2,1L,1L,1,COAWV972197711,COAWV972197711,,,,CO,COLORADO,Not Assigned,,,,,,,,,,CO,COLORADO,Not Assigned,
1,CO,COLORADO,1979,AOH2708,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=COAOH270819791212,79,12,,,,,,CO,COLORADO,AOH2708,79,12,,12,12/12/1979,2:10 PM,3,Rear end collision,0,0,0,0,,OHIO,OHIO,WALBRIDGE,118.0,39,OH,OHIO,173.0,WOOD,2,35,2,Day,2,Cloudy,2.0,Yard,YARD,2,,4.0,West,6.0,Cut of cars,,CUT,10,Estimated,15,0,,,N,,,,,,,,,,ACFX,61834.0,1.0,Yes,,,,,0.0,0.0,No,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,3000,0,28650,H601,Coupling speed excessive,,,H601,Coupling speed excessive,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Yard,2,1L,1L,3,COAOH2708197912,COAOH2708197912,,,,CO,COLORADO,Not Assigned,,,,,,,,,,CO,COLORADO,Not Assigned,
2,CO,COLORADO,1977,AWV1019,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=COAWV101919771130,77,11,,,,,,CO,COLORADO,AWV1019,77,11,,30,11/30/1977,7:30 PM,4,Side collision,0,0,0,0,,WVIRGI,WEST VIRGINIA,RUSSELL,524,21,KY,KENTUCKY,89.0,GREENUP,3,50,4,Dark,3,Rain,2.0,Yard,NO 2 YARD TRACK,,,4.0,West,7.0,Yard/switching,Yes,7306,3,Recorded,3,8100,,,N,,,,,,,,,,CO,462066.0,,Yes,,,,,,,No,2,0,0,0,0,0,0,0,0,0,35,0,62,0,0,1,0,0,0,0,1000,500,4000,H301,Car(s) shoved out and left out of clear,,,H301,Car(s) shoved out and left out of clear,1.0,0.0,1.0,2.0,4.0,30.0,4.0,30.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,NoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNoneNone,Yard,0,1L,1L,3,COAWV1019197711,COAWV1019197711,,,,CO,COLORADO,Not Assigned,,,,,,,,,,CO,COLORADO,Not Assigned,
3,CSX,CSX Transportation,2006,000019869,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00001986920060117,6,1,,,,,,CSX,CSX Transportation,000019869,6,1,,17,01/17/2006,2:00 PM,1,Derailment,0,0,0,0,,NASHVI,NASHVILLE,NASHVILLE,0190.0,47,TN,TENNESSEE,37.0,DAVIDSON,3,42,2,Day,3,Rain,2.0,Yard,BOWL TRACK 23,1,000000,1.0,North,5.0,Single Car,No,,5,Estimated,5,0,,,N,,,,,,,,0.0,Not a remotely controlled operation,JBRX,211.0,1.0,Yes,,,0.0,,,,No,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3432,2000,9983,M411,Passed couplers (automated classification yard),,,M411,Passed couplers (automated classification yard),0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,"DURING HUMPING OPERATIONS, CAR HUMPED TO TRACK 23 STRUCK 2 OTHER RAILCARS CAUSING ALL TO DERAIL..",Yard,1,1L,1L,3,CSX000019869200601,CSX000019869200601,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
4,CSX,CSX Transportation,2008,000049456,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00004945620080720,8,7,,,,,,CSX,CSX Transportation,000049456,8,7,,20,07/20/2008,7:15 AM,4,Side collision,22,0,0,0,,GREAT,GREAT LAKE,AVON,0016.2,18,IN,INDIANA,63.0,HENDRICKS,4,72,1,Dawn,1,Clear,2.0,Yard,SANKEE INBOUND,1,000000,4.0,West,1.0,Freight Train,Yes,Q263,4,Estimated,4,4340,,,N,,,,,,,,0.0,Not a remotely controlled operation,HOKX,132913.0,16.0,Yes,,,0.0,,0.0,0.0,No,3,0,0,0,0,0,0,0,0,0,29,0,48,0,0,0,0,0,0,0,27862,0,52362,H702,Switch improperly lined,,,H702,Switch improperly lined,1.0,0.0,1.0,0.0,10.0,45.0,10.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,Y19620 SHOVED INTO THE SIDE OF Q26319 DUE TO IMPROPERLY LINED SWITCH .~,Yard,1,1L,1L,1,CSX000049456200807,CSX000049456200807,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
5,CSX,CSX Transportation,2005,000009716,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00000971620050119,5,1,,,,,,CSX,CSX Transportation,000009716,5,1,344933E,19,01/19/2005,10:30 AM,7,Hwy-rail crossing,0,0,0,0,,APPALA,APPALACHIAN,PINEVILLE,0215.0,21,KY,KENTUCKY,13.0,BELL,3,31,2,Day,2,Cloudy,1.0,Main,MAINLINE,2,000004,1.0,North,1.0,Freight Train,Yes,C601,22,Estimated,22,9400,,,E,,,,,,,,0.0,Not a remotely controlled operation,CSXT,134.0,1.0,Yes,,,0.0,,,,No,1,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,13698,0,13698,M302,Highway user inattentiveness,,,M302,Highway user inattentiveness,1.0,0.0,1.0,1.0,4.0,30.0,4.0,30.0,0,0,0,0,0,1,0,1,0,1,0,1,,,0.0,0.0,C60118 STRUCK TRACTOR-TRAILER AT CROSSING.^,Main,2,1L,1L,1,CSX000009716200501,CSX000009716200501,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
6,CSX,CSX Transportation,2005,000012147,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00001214720050502,5,5,,,,,,CSX,CSX Transportation,000012147,5,5,,2,05/02/2005,10:00 PM,1,Derailment,0,0,0,0,,CHICAG,CHICAGO,RIVERDALE,0012.5,17,IL,ILLINOIS,31.0,COOK,4,50,4,Dark,1,Clear,2.0,Yard,TRACK 10,1,000000,4.0,West,7.0,Yard/switching,Yes,Y294,4,Recorded,4,0,,,N,,,,,,,,2.0,Remote control tower operation,NYC,216638.0,1.0,No,,,0.0,,,,No,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,7462,200,7662,H601,Coupling speed excessive,,,H601,Coupling speed excessive,1.0,0.0,1.0,0.0,6.0,1.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,Y29402 DERAILED DUE TO COUPLING SPEED BEING EXCESSIVE.,Yard,1,1L,1L,1,CSX000012147200505,CSX000012147200505,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
7,CSX,CSX Transportation,2005,000012456,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00001245620050518,5,5,,,,,,CSX,CSX Transportation,000012456,5,5,,18,05/18/2005,12:30 AM,1,Derailment,0,0,0,0,,ALBANY,ALBANY,SELKIRK,0015.0,36,NY,NEW YORK,1.0,ALBANY,1,50,4,Dark,1,Clear,2.0,Yard,CLASS 52,1,000000,3.0,East,7.0,Yard/switching,Yes,Y221,2,Estimated,2,0,,,N,,,,,,,,0.0,Not a remotely controlled operation,AOK,27636.0,1.0,No,,,0.0,,,,No,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19478,0,19478,M411,Passed couplers (automated classification yard),,,M411,Passed couplers (automated classification yard),1.0,0.0,1.0,0.0,9.0,31.0,9.0,31.0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,"TRACK 52 BYPASSED DURING HUMP OPERATION.  WHILE CREW WAS PULLING APART, CAR DERAILED.**",Yard,1,1L,1L,1,CSX000012456200505,CSX000012456200505,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
8,BNSF,BNSF Railway Company,2008,PR1108102,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=BNSFPR110810220081106,8,11,,,,,,BNSF,BNSF Railway Company,PR1108102,8,11,,6,11/06/2008,5:15 AM,13,Other (describe in narrative),0,0,0,0,,POWDER,POWDER RIVER,BONA,128..4,56,WY,WYOMING,31.0,PLATTE,6,28,4,Dark,6,Snow,1.0,Main,EAST BONA MAIN TRK,4,160.97,3.0,East,5.0,Single Car,No,,2,Estimated,2,0,,,E,,,,,,,,0.0,Not a remotely controlled operation,UNKN,999999.0,1.0,No,,,0.0,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46000,46000,H704,Switch previously run through,,,H704,Switch previously run through,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,J-UNKNCREW-06 MOVEABLE POINT FROG WAS PREVIOUSLY RAN THROUGH.  TRAIN ID OR CREW UNAVAILABLE.,Main,4,1L,1L,1,BNSFPR1108102200811,BNSFPR1108102200811,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,,,,,,,,Class 1,SMT-5 - BNSF,BNSF,BNSF Railway Company,BNSF Railway Company,POINT (0 0)
9,CSX,CSX Transportation,2005,000014349,https://safetydata.fra.dot.gov/Officeofsafety/Publicsite/FORM54/F54Report.aspx?RepType=SQL&txtf54key=CSX00001434920050811,5,8,,,,,,CSX,CSX Transportation,000014349,5,8,,11,08/11/2005,3:30 AM,1,Derailment,3,2,0,0,,BALTIM,BALTIMORE,CUMBERLAND,0178.1,24,MD,MARYLAND,1.0,ALLEGANY,2,85,4,Dark,1,Clear,2.0,Yard,MASTER RETARDER,1,000000,4.0,West,6.0,Cut of cars,No,,10,Estimated,10,0,,,N,,,,,,,,0.0,Not a remotely controlled operation,SHPX,205581.0,37.0,Yes,SHPX,205581.0,37.0,Yes,,,No,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,2,0,0,0,0,13634,3500,17134,E07C,Rigging down or dragging,,,E07C,Rigging down or dragging,0.0,0.0,0.0,0.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,Y39310 DERAILED AT MASTER RETARDER DUE TO RIGGING DOWN OR DRAGGING.,Yard,1,1L,1L,1,CSX000014349200508,CSX000014349200508,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,,,,,,,,Class 1,SMT-9 - CSX,CSX,CSX Transportation,CSX Transportation,POINT (0 0)
