,Traffic Report ID,Published Date,Issue Reported,Location,Latitude,Longitude,Address,Status,Status Date,Agency
0,CB852047223EB4C0EC2C483D9268EFB97861128A_1706305117,01/26/2024 09:38:37 PM +0000,Traffic Hazard,POINT (-97.721241 30.333999),30.333999,-97.721241,N Lamar Blvd / Brentwood St,ARCHIVED,01/26/2024 09:55:10 PM +0000,AUSTIN PD           
1,F267B8E5A7E8B7E956D2278FCC345757478B3703_1709213202,02/29/2024 01:26:42 PM +0000,Crash Urgent,POINT (-97.68397 30.429827),30.429827,-97.68397,1901-2009 W Howard Ln,ARCHIVED,02/29/2024 02:25:15 PM +0000,AUSTIN PD           
2,04085CEF4A2F22B0D7DE2D6919476571400985C3_1709212753,02/29/2024 01:19:13 PM +0000,Crash Urgent,POINT (-97.772334 30.187276),30.187276,-97.772334,6600-6817 S Ih 35 Svrd Nb,ARCHIVED,02/29/2024 02:30:15 PM +0000,AUSTIN PD           
3,DF65AEB06DD5131DC5DCCD7618F500956BC9E5AD_1709213711,02/29/2024 01:35:11 PM +0000,Crash Urgent,POINT (-97.753373 30.216249),30.216249,-97.753373,0 E Ben White Eb To S 35 Sb Ramp,ARCHIVED,02/29/2024 02:30:15 PM +0000,AUSTIN PD           
4,84080E163F546F114E0D57174A944192E1E7C7A1_1709214078,02/29/2024 01:41:18 PM +0000,Crash Urgent,POINT (-97.668664 30.4338),30.4338,-97.668664,14301 N Ih 35 Svrd Nb,ARCHIVED,02/29/2024 02:30:15 PM +0000,AUSTIN PD           
5,4349011A36CEF1949436334730AD35FA3205D573_1714748219,05/03/2024 02:56:59 PM +0000,TRFC HAZD/ DEBRIS,POINT (-97.808784 30.281607),30.281607,-97.808784,3901-4019 BEE CAVE RD,ARCHIVED,05/03/2024 03:05:15 PM +0000,TRAVIS COUNTY SHERIF
6,0E51425BC6723D418B7C9E1894575DB504FFBAD8_1709217308,02/29/2024 02:35:08 PM +0000,Traffic Hazard,POINT (-97.678645 30.254434),30.254434,-97.678645,1400-1432 183 Toll Sb,ARCHIVED,02/29/2024 04:00:17 PM +0000,AUSTIN PD           
7,18DD8025688A8458D55DABF67D5CE9D57E155B82_1709219059,02/29/2024 03:04:19 PM +0000,Traffic Hazard,POINT (-97.743171 30.267119),30.267119,-97.743171,W 5TH ST / CONGRESS AVE,ARCHIVED,02/29/2024 04:45:16 PM +0000,AUSTIN PD           
8,7325A66A3FEB89A57828CEB42849FAF68EFC77CB_1709218166,02/29/2024 02:49:26 PM +0000,TRFC HAZD/ DEBRIS,POINT (-97.5847 30.32934),30.32934,-97.5847,N Sh 130 Nb / Blue Bluff To N Sh 130 Nb Ramp,ARCHIVED,02/29/2024 04:55:10 PM +0000,TRAVIS COUNTY SHERIF
9,A6FB51F36210FA55A23ACA9E4C8C3F346506A42A_1714746962,05/03/2024 02:36:02 PM +0000,Traffic Hazard,POINT (-97.744516 30.361298),30.361298,-97.744516,3400-3428 W Anderson Ln,ARCHIVED,05/03/2024 03:15:13 PM +0000,AUSTIN PD           
10,1AD6ED936CCF88EEDCFFBB7AC382AA5A4FE342AE_1714747979,05/03/2024 02:52:59 PM +0000,COLLISION,POINT (-97.630298 30.421487),30.421487,-97.630298,Sweet Leaf Ln / Golden Sunrise Ln,ARCHIVED,05/03/2024 03:15:13 PM +0000,TRAVIS COUNTY SHERIF
11,F594216AB73D45120DC603E926DA86C1AE918428_1714753929,05/03/2024 04:32:09 PM +0000,Traffic Hazard,POINT (-97.818189 30.461862),30.461862,-97.818189,12128 N Fm 620 Rd,ARCHIVED,05/03/2024 04:40:15 PM +0000,AUSTIN PD           
12,6B50CE41B5C59434A9AC16FC818EA5507009C7E5_1714747447,05/03/2024 02:44:07 PM +0000,Crash Urgent,POINT (-97.736757 30.333382),30.333382,-97.736757,W Koenig Ln / Camino Real,ARCHIVED,05/03/2024 04:55:13 PM +0000,AUSTIN PD           
13,C84C7C86AC0619B3CD69A0F9D185EB5D6030D751_1714753708,05/03/2024 04:28:28 PM +0000,COLLISION,POINT (-97.500098 30.28073),30.28073,-97.500098,ED ACKLIN RD / LOCKWOOD SPRINGS RD,ARCHIVED,05/03/2024 05:20:13 PM +0000,TRAVIS COUNTY SHERIF
14,8C61A4A74B6AD2B681911AC61AA3DE09EC0C7A93_1714756187,05/03/2024 05:09:47 PM +0000,AUTO/ PED,POINT (-97.671003 30.439562),30.439562,-97.671003,1637 W WELLS BRANCH PKWY,ARCHIVED,05/03/2024 05:35:11 PM +0000,TRAVIS COUNTY SHERIF
15,2ACF710CD7116949468BE24A27696D4DF1852B17_1714755349,05/03/2024 04:55:49 PM +0000,Crash Service,POINT (-97.700369 30.298698),30.298698,-97.700369,4600-4644 Berkman Dr,ARCHIVED,05/03/2024 05:55:11 PM +0000,AUSTIN PD           
16,3A282FB67EA34786A1B4E01588D82AA0AD67E47A_1714756162,05/03/2024 05:09:22 PM +0000,Crash Urgent,POINT (-97.63337 30.399085),30.399085,-97.63337,Immanuel Rd / E Howard Ln,ARCHIVED,05/03/2024 06:15:12 PM +0000,AUSTIN PD           
17,853CA591062E389DDA69B6AC891849AA312DAB40_1714755337,05/03/2024 04:55:37 PM +0000,Crash Urgent,POINT (-97.787111 30.210626),30.210626,-97.787111,Emerald Forest Dr / W Stassney Ln,ARCHIVED,05/03/2024 06:35:11 PM +0000,AUSTIN PD           
18,9CE742765903EA91161A91A068DD5133BEFB64FB_1714743383,05/03/2024 01:36:23 PM +0000,COLLISION,POINT (-97.667812 30.455958),30.455958,-97.667812,2000-2008 Grand Avenue Pkwy,ARCHIVED,05/03/2024 02:25:18 PM +0000,TRAVIS COUNTY SHERIF
