,Report Received Date,NHTSA ID,Recall Link,Manufacturer,Subject,Component,Mfr Campaign Number,Recall Type,Potentially Affected,Recall Description,Consequence Summary,Corrective Action,Park Outside Advisory ,Do Not Drive Advisory,Completion Rate % (Blank - Not Reported)
0,01/19/2024,24V031000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V031000),Ford Motor Company,Exterior A-Pillar Trim May Detach,STRUCTURE,24S02,Vehicle,1889110,"Ford Motor Company (Ford) is recalling certain 2011-2019 Explorer vehicles.  The A-pillar trim retention clips may not be properly engaged, allowing the trim to detach.","A detached trim piece can fall off the vehicle, becoming a road hazard and increasing the risk of a crash.","Dealers will inspect and replace the A-pillar trim as necessary, free of charge.  Interim letters notifying owners of the safety risk are expected to be mailed March 13, 2024.  Second letters will be mailed once the remedy is available.  Owners may contact Ford customer service at 1-866-436-7332.  Ford's number for this recall is 24S02.",No,No,
1,01/19/2024,24V028000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V028000),Marion Body Works Inc.,Overloaded Electrical System May Cause Fire,ELECTRICAL SYSTEM,23E-084,Vehicle,25,"Marion Body Works Inc. (Marion) is recalling certain 2020-2022 Pumper, Rescue, Aerial, and RPM vehicles equipped with Weldon 8X16 Input-Output nodes.  In the event of a short circuit or wiring failure, the firmware in the node may fail to shut off the output pin, resulting in overloaded electrical circuits.","Overloaded electrical circuits can overheat, increasing the risk of fire.","Maron will work with the equipment manufacturer Weldon to update the firmware, free of charge.  Owner notification letters are expected to be mailed January 26, 2024.  Owners may contact Marion Body Works customer service at 1-715-754-5261.",No,No,
2,01/19/2024,24V030000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V030000),"Forest River, Inc.",Side Marker Lights Not Reflective/FMVSS 108,EXTERIOR LIGHTING,53-1724,Vehicle,64,"Forest River, Inc. (Forest River) is recalling certain 2024 Shasta Oasis travel trailers.  The side marker lights may not reflect light as intended, which can make it difficult for other drivers to see the trailer.  As such, these trailers fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 108, ""Lamps, Reflective Devices, and Associated Equipment.""","Non-reflective side marker lights can reduce the trailer's visibility to other drivers, increasing the risk of a crash.","Dealers will replace the marker lights, free of charge.  Owner notification letters are expected to be mailed February 28, 2024.  Owners may contact Forest River Customer Service at 1-574-821-1311.  Forest River's number for this recall is 53-1724.",No,No,
3,01/18/2024,24V024000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V024000),"Winnebago Industries, Inc.",Blind Spot Monitoring System May Fail,LANE DEPARTURE,181,Vehicle,844,"Winnebago Industries, Inc. (Winnebago) is recalling certain 2021-2023 Ekko motorhomes.  The blind spot monitoring system may fail without warning to the driver.","Without a functioning blind spot monitoring system, the driver may be unaware of a vehicle in their blind spot, which can increase the risk of a crash.","Dealers will install a new blind spot monitoring system, free of charge.  Owner notification letters are expected to be mailed February 16, 2024.  Owners may contact Winnebago customer service at 1-641-585-6939 or 1-800-537-1885.",No,No,
4,01/18/2024,24V026000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V026000),"Navistar, Inc.",Driver's Seat Belt Bolt Not Properly Attached,SEAT BELTS,24501,Vehicle,297,"Navistar, Inc. (Navistar) is recalling certain 2024 International HV and International MV trucks.  The driver's seat belt tether bolt may not be properly seated in the anchor, causing a bind at the anchor point.","An improperly anchored seat belt tether may not restrain an occupant as intended, increasing their risk of injury during a crash.","Dealers will inspect and replace the seat belts as necessary, free of charge.  Owner notification letters are expected to be mailed March 18, 2024.  Owners may contact Navistar customer service at 1-800-448-7825.  Navistar's number for this recall is 24501.",No,No,
5,01/18/2024,24V027000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V027000),"Navistar, Inc.",High Voltage Cables Labeled Incorrectly,ELECTRICAL SYSTEM,24502,Vehicle,20,"Navistar, Inc. (Navistar) is recalling certain 2024 IC EV school buses.  The high voltage positive cables that connect the battery packs to the manual service disconnects (MSD) may have been mislabeled.","A mislabeled electrical cable may be mistaken for a de-energized cable by a technician or first responder, increasing the risk of electrical shock and injury.","Dealers will inspect the high voltage cables and add white high voltage tape as necessary, free of charge.  Owner notification letters are expected to be mailed March 18, 2024.  Owners may contact Navistar customer service at 1-800-448-7825.  Navistar's number for this recall is 24502.",No,No,
6,01/18/2024,24V023000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V023000),"Jaguar Land Rover North America, LLC",Rearview Camera Image May Not Display/FMVSS 111,BACK OVER PREVENTION,N778,Vehicle,58729,"Jaguar Land Rover North America, LLC (Land Rover) is recalling certain 2018-2022 Range Rover and Range Rover Sport vehicles equipped with a Surround Camera System.  Water may enter into the rearview camera, which can cause the rearview camera image not to appear on the display or display a distorted image.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""","A rearview camera image that does not display while in reverse decreases the driver's visibility, increasing the risk of injury or crash.","Dealers will inspect the rearview camera and add a new seal or replace the camera, free of charge.  Owner notification letters are expected to be mailed March 8, 2024.  Owners may contact Land Rover customer service at 1-800-637-6837.  Land Rover's number for this recall is N778.",No,No,
7,01/18/2024,24V021000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V021000),"Lode-King Industries, Ltd.",Reversed Connections in ABS Computer/FMVSS 121,"SERVICE BRAKES, AIR",NR (Not Reported),Vehicle,6,"Lode-King Industries, Ltd (Lode-King) is recalling certain 2019, 2021-2023 Lode King AHV45-3 and 2024 Prestige AHV50-3 trailers equipped with a 2S2M or 4S2M ABS system.  The anti-lock brake system (ABS) computer may have reversed sensor connections.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 121, ""Air Brake Systems.""","In the event of a wheel-lockup, the ABS computer may activate the air brakes on the opposite side of the trailer, reducing braking effectiveness and increasing the risk of a crash.","Dealers will correct the ABS computer connections, free of charge.  Owner notification letters are expected to be mailed January 22, 2024.  Owners may contact Lode-King customer service at 1-204-325-4345 or 1-866-797-0669 (toll free).",No,No,
8,01/18/2024,24V025000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V025000),"Kia America, Inc.",Roof Molding May Detach,STRUCTURE,SC292,Vehicle,101049,"Kia America, Inc. (Kia) is recalling certain 2023-2024 Sportage and 2022-2024 Carnival vehicles.  The roof molding may loosen and detach.","A detached roof molding can create a road hazard for other vehicles, increasing the risk of a crash.","Dealers will inspect the roof molding and replace or secure it as necessary, free of charge.  Owner notification letters are expected to be mailed March 15, 2024.  Owners may contact Kia customer service at 1-800-333-4542.  Kia's number for this recall is SC292.",No,No,
9,01/17/2024,24V020000,Go to Recall (https://www.nhtsa.gov/recalls?nhtsaId=24V020000),Morgan Motor Company Limited,Brake Pedal Box Housing Improperly Welded,"SERVICE BRAKES, HYDRAULIC",MMC2023-001,Vehicle,62,"Morgan Motor Company Limited (MMC) is recalling certain 2023 Super 3 motorcycles.  The pedal box housing may have been improperly welded, which can result in the hydraulic seal between the hose and master cylinder breaking, causing a loss of brake function.",Reduced braking performance or a total loss of braking ability can increase the risk of a crash.,"Dealers will replace the pedal box assembly, free of charge.  Owner notification letters are expected to be mailed January 22, 2024.  Owners may contact MMC customer service at 1-749-656-2632.  MMC's number for this recall is MMC2023-001",No,No,
