,Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant 1,Significant 2
0,1,Reduced access to hearing care,Total,Total,6676.0,Total,,,,,
1,1,Reduced access to hearing care,Total,Total,,For any reason,3.1,0.3,,,
2,1,Reduced access to hearing care,Total,Total,,Due to pandemic,2.1,0.3,,,
3,1,Reduced access to hearing care,Age group,18-44 years,2588.0,Total,,,,,
4,1,Reduced access to hearing care,Age group,18-44 years,,For any reason,2.4,0.4,,,
5,1,Reduced access to hearing care,Age group,18-44 years,,Due to pandemic,1.4,0.4,,,
6,1,Reduced access to hearing care,Age group,45-64 years,2323.0,Total,,,,,
7,1,Reduced access to hearing care,Age group,45-64 years,,For any reason,3.3,0.4,,,
8,1,Reduced access to hearing care,Age group,45-64 years,,Due to pandemic,2.1,0.4,,,
9,1,Reduced access to hearing care,Age group,65 years and over,1765.0,Total,,,,,
10,1,Reduced access to hearing care,Age group,65 years and over,,For any reason,4.3,0.7,,,
11,1,Reduced access to hearing care,Age group,65 years and over,,Due to pandemic,3.6,0.6,,,
12,1,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,4430.0,Total,,,,,
13,1,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,For any reason,3.0,0.3,,,
14,1,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,2.0,0.3,,,
15,1,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,799.0,Total,,,,,
16,1,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,For any reason,3.2,0.7,,,
17,1,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,2.2,0.7,,,
18,1,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,520.0,Total,,,,,
19,1,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,For any reason,3.0,1.0,,,
20,1,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,1.3,0.4,,,
21,1,Reduced access to hearing care,Race/Hispanic origin,Hispanic,927.0,Total,,,,,
22,1,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,For any reason,3.6,0.7,,,
23,1,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,Due to pandemic,2.7,0.7,,,
24,1,Reduced access to hearing care,Sex,Male,2926.0,Total,,,,,
25,1,Reduced access to hearing care,Sex,Male,,For any reason,3.0,0.4,,,
26,1,Reduced access to hearing care,Sex,Male,,Due to pandemic,2.0,0.3,,,
27,1,Reduced access to hearing care,Sex,Female,3750.0,Total,,,,,
28,1,Reduced access to hearing care,Sex,Female,,For any reason,3.3,0.4,,,
29,1,Reduced access to hearing care,Sex,Female,,Due to pandemic,2.2,0.3,,,
30,1,Reduced access to hearing care,Education,High school graduate or less,1271.0,Total,,,,,
31,1,Reduced access to hearing care,Education,High school graduate or less,,For any reason,3.4,0.6,,,
32,1,Reduced access to hearing care,Education,High school graduate or less,,Due to pandemic,2.2,0.5,,,
33,1,Reduced access to hearing care,Education,Some college,2511.0,Total,,,,,
34,1,Reduced access to hearing care,Education,Some college,,For any reason,3.2,0.4,,,
35,1,Reduced access to hearing care,Education,Some college,,Due to pandemic,2.0,0.2,,,
36,1,Reduced access to hearing care,Education,Bachelor's degree or above,2894.0,Total,,,,,
37,1,Reduced access to hearing care,Education,Bachelor's degree or above,,For any reason,2.8,0.4,,,
38,1,Reduced access to hearing care,Education,Bachelor's degree or above,,Due to pandemic,2.0,0.3,,,
39,1,Reduced access to hearing care,Urbanization,Metropolitan,5956.0,Total,,,,,
40,1,Reduced access to hearing care,Urbanization,Metropolitan,,For any reason,3.1,0.4,,,
41,1,Reduced access to hearing care,Urbanization,Metropolitan,,Due to pandemic,2.1,0.3,,,
42,1,Reduced access to hearing care,Urbanization,Non-Metropolitan,720.0,Total,,,,,
43,1,Reduced access to hearing care,Urbanization,Non-Metropolitan,,For any reason,3.2,0.5,,,
44,1,Reduced access to hearing care,Urbanization,Non-Metropolitan,,Due to pandemic,2.1,0.5,,,
45,1,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,3995.0,Total,,,,,
46,1,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,,For any reason,3.9,0.4,,,
47,1,Reduced access to hearing care,Chronic conditions,One or more chronic conditions,,Due to pandemic,2.9,0.3,,,
48,1,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,757.0,Total,,,,,
49,1,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,,For any reason,4.8,1.0,,,
50,1,Reduced access to hearing care,Chronic conditions,Diagnosed diabetes,,Due to pandemic,4.4,1.0,,,
51,1,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,2370.0,Total,,,,,
52,1,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,,For any reason,4.3,0.5,,,
53,1,Reduced access to hearing care,Chronic conditions,Diagnosed hypertension,,Due to pandemic,3.1,0.4,,,
54,1,Reduced access to hearing care,Chronic conditions,Current asthma,685.0,Total,,,,,
55,1,Reduced access to hearing care,Chronic conditions,Current asthma,,For any reason,2.6,0.6,,,
56,1,Reduced access to hearing care,Chronic conditions,Current asthma,,Due to pandemic,1.8,0.4,,,
57,2,Reduced access to hearing care,Total,Total,5900.0,Total,,,,,
58,2,Reduced access to hearing care,Total,Total,,For any reason,3.4,0.4,,0.0,
59,2,Reduced access to hearing care,Total,Total,,Due to pandemic,1.9,0.2,,0.0,
60,2,Reduced access to hearing care,Age group,18-44 years,2195.0,Total,,,,,
61,2,Reduced access to hearing care,Age group,18-44 years,,For any reason,3.2,0.5,,0.0,
62,2,Reduced access to hearing care,Age group,18-44 years,,Due to pandemic,1.6,0.3,,0.0,
63,2,Reduced access to hearing care,Age group,45-64 years,2054.0,Total,,,,,
64,2,Reduced access to hearing care,Age group,45-64 years,,For any reason,3.3,0.7,,0.0,
65,2,Reduced access to hearing care,Age group,45-64 years,,Due to pandemic,1.8,0.5,,0.0,
66,2,Reduced access to hearing care,Age group,65 years and over,1651.0,Total,,,,,
67,2,Reduced access to hearing care,Age group,65 years and over,,For any reason,3.7,0.6,,0.0,
68,2,Reduced access to hearing care,Age group,65 years and over,,Due to pandemic,2.8,0.5,,0.0,
69,2,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,4029.0,Total,,,,,
70,2,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,For any reason,2.9,0.4,,0.0,
71,2,Reduced access to hearing care,Race/Hispanic origin,White non-Hispanic,,Due to pandemic,1.8,0.3,,0.0,
72,2,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,675.0,Total,,,,,
73,2,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,For any reason,4.2,0.8,,0.0,
74,2,Reduced access to hearing care,Race/Hispanic origin,Black non-Hispanic,,Due to pandemic,1.7,0.4,,0.0,
75,2,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,456.0,Total,,,,,
76,2,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,For any reason,6.3,1.6,,0.0,
77,2,Reduced access to hearing care,Race/Hispanic origin,Other non-Hispanic,,Due to pandemic,4.2,1.1,,1.0,
78,2,Reduced access to hearing care,Race/Hispanic origin,Hispanic,740.0,Total,,,,,
79,2,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,For any reason,3.3,0.9,,0.0,
80,2,Reduced access to hearing care,Race/Hispanic origin,Hispanic,,Due to pandemic,1.6,0.8,,0.0,
81,2,Reduced access to hearing care,Sex,Male,2554.0,Total,,,,,
82,2,Reduced access to hearing care,Sex,Male,,For any reason,3.8,0.7,,0.0,
83,2,Reduced access to hearing care,Sex,Male,,Due to pandemic,2.6,0.5,,0.0,
84,2,Reduced access to hearing care,Sex,Female,3346.0,Total,,,,,
85,2,Reduced access to hearing care,Sex,Female,,For any reason,3.0,0.5,,0.0,
86,2,Reduced access to hearing care,Sex,Female,,Due to pandemic,1.3,0.2,,1.0,
87,2,Reduced access to hearing care,Education,High school graduate or less,1086.0,Total,,,,,
88,2,Reduced access to hearing care,Education,High school graduate or less,,For any reason,4.2,0.7,,0.0,
89,2,Reduced access to hearing care,Education,High school graduate or less,,Due to pandemic,2.0,0.5,,0.0,
90,2,Reduced access to hearing care,Education,Some college,2205.0,Total,,,,,
91,2,Reduced access to hearing care,Education,Some college,,For any reason,3.6,0.5,,0.0,
92,2,Reduced access to hearing care,Education,Some college,,Due to pandemic,2.2,0.4,,0.0,
93,2,Reduced access to hearing care,Education,Bachelor's degree or above,2609.0,Total,,,,,
94,2,Reduced access to hearing care,Education,Bachelor's degree or above,,For any reason,2.3,0.3,,0.0,
95,2,Reduced access to hearing care,Education,Bachelor's degree or above,,Due to pandemic,1.5,0.3,,0.0,
96,2,Reduced access to hearing care,Urbanization,Metropolitan,5248.0,Total,,,,,
97,2,Reduced access to hearing care,Urbanization,Metropolitan,,For any reason,3.3,0.4,,0.0,
98,2,Reduced access to hearing care,Urbanization,Metropolitan,,Due to pandemic,2.0,0.2,,0.0,
99,2,Reduced access to hearing care,Urbanization,Non-Metropolitan,652.0,Total,,,,,
