,state,month,year,tax type,value,fips state,numeric month,note,id
0,Delaware,July,2023,motor fuel,,10,7,,10_2023_7
1,Idaho,January,2021,motor fuel,22273106.0,16,1,,16_2021_1
2,Maine,February,2021,motor fuel,16310504.0,23,2,,23_2021_2
3,Montana,April,2019,motor fuel,,30,4,,30_2019_4
4,Nebraska,May,2021,motor fuel,35390658.0,31,5,,31_2021_5
5,West Virginia,December,2019,motor fuel,48341000.0,54,12,,54_2019_12
6,Wyoming,December,2019,motor fuel,,56,12,,56_2019_12
7,Wyoming,December,2020,motor fuel,,56,12,,56_2020_12
8,Wyoming,December,2021,motor fuel,,56,12,,56_2021_12
9,Wyoming,February,2020,motor fuel,,56,2,,56_2020_2
10,Wyoming,February,2021,motor fuel,,56,2,,56_2021_2
11,Wyoming,February,2022,motor fuel,,56,2,,56_2022_2
12,Wyoming,January,2020,motor fuel,,56,1,,56_2020_1
13,Wyoming,January,2021,motor fuel,,56,1,,56_2021_1
14,Wyoming,January,2022,motor fuel,,56,1,,56_2022_1
15,Wyoming,July,2019,motor fuel,,56,7,,56_2019_7
16,Wyoming,July,2020,motor fuel,,56,7,,56_2020_7
17,Wyoming,July,2021,motor fuel,,56,7,,56_2021_7
18,Wyoming,June,2019,motor fuel,,56,6,,56_2019_6
19,Wyoming,June,2020,motor fuel,,56,6,,56_2020_6
20,Wyoming,June,2021,motor fuel,,56,6,,56_2021_6
21,Wyoming,March,2020,motor fuel,,56,3,,56_2020_3
22,Wyoming,March,2021,motor fuel,,56,3,,56_2021_3
23,Wyoming,March,2022,motor fuel,,56,3,,56_2022_3
24,Wyoming,May,2019,motor fuel,,56,5,,56_2019_5
25,Wyoming,May,2020,motor fuel,,56,5,,56_2020_5
26,Wyoming,May,2021,motor fuel,,56,5,,56_2021_5
27,Wyoming,November,2019,motor fuel,,56,11,,56_2019_11
28,Wyoming,November,2020,motor fuel,,56,11,,56_2020_11
29,Nevada,June,2023,motor fuel,,32,6,,32_2023_6
30,Kansas,July,2019,motor fuel,,20,7,,20_2019_7
31,Nevada,January,2020,motor fuel,,32,1,,32_2020_1
32,Nevada,July,2020,motor fuel,,32,7,,32_2020_7
33,Wisconsin,July,2020,motor fuel,90910406.0,55,7,,55_2020_7
34,Wisconsin,July,2021,motor fuel,89499974.0,55,7,,55_2021_7
35,Wisconsin,June,2019,motor fuel,94373275.0,55,6,,55_2019_6
36,Wisconsin,June,2020,motor fuel,89369607.0,55,6,,55_2020_6
37,Wisconsin,June,2021,motor fuel,87169954.0,55,6,,55_2021_6
38,Wisconsin,March,2020,motor fuel,89810498.0,55,3,,55_2020_3
39,Wisconsin,March,2021,motor fuel,77228494.0,55,3,,55_2021_3
40,Wisconsin,March,2022,motor fuel,88956702.0,55,3,,55_2022_3
41,Wisconsin,May,2019,motor fuel,87941581.0,55,5,,55_2019_5
42,Wisconsin,May,2020,motor fuel,52307087.0,55,5,,55_2020_5
