,ID,OBS_DATE,ASM,ASM_D11,ASM_D,ASM_D_D11,ASM_I,ASM_I_D11,RPM,RPM_D11,RPM_D,RPM_D_D11,RPM_I,RPM_I_D11,LOAD_FACTOR,LOAD_FACTOR_D11,LOAD_FACTOR_D,LOAD_FACTOR_D_D11,LOAD_FACTOR_I,LOAD_FACTOR_I_D11,ENPLANE_I,ENPLANE_I_D11,ENPLANE_D,ENPLANE_D_D11,ENPLANE,ENPLANE_D11,AIR_RPM_TSI,AIR_RPM_TSI_D11,AIR_RTMFM,AIR_RTMFM_D11,RAIL_FRT_CARLOADS,RAIL_FRT_CARLOADS_D11,RAIL_FRT_INTERMODAL,RAIL_FRT_INTERMODAL_D11,RAIL_PM,RAIL_PM_D11,TRANSIT,TRANSIT_D11,PETROLEUM,PETROLEUM_D11,NATURAL_GAS,NATURAL_GAS_D11,WATERBORNE,WATERBORNE_D11,TRUCK_D11,VMT,VMT_D11,TSI_Freight,TSI_Freight_C,TSI_Passenger,TSI_Passenger_C,TSI_Total,TSI_Total_C,IND_PRO,MANUF,INV_TO_SALES,IDX_AIR_RPM,IDX_AIR_RTMFM,IDX_RAIL_FRT_CARLOADS,IDX_RAIL_FRT_INTERMODAL,IDX_RAIL_PM,IDX_TRANSIT_D11,IDX_PETROLEUM_D11,IDX_NATURAL_GAS_D11,IDX_WATERBORNE_D11,IDX_TRUCK_D11
0,SATD200001,01/01/2000,76146639,77796568,56288872,57434213,19857767,20362355,48263245,53722163,34913749,39541176,13349496,14180987,63.4,69.1,62.0,68.8,67.2,69.6,4952,5180,41540,47858,46492,53038,49843099,55714010,2182683,2473354,1402926,1422046,723747,767022,366607410,446058223,724934,768462,215985,212760,2510.5,1809.2,48.4,55.4,80.0,203442,227235,105.1,,95.3,,101.8,,98.84320868,100.690177,1.58,0.9446,0.9634,1.0164,1.0047,0.957,0.9759,0.951,0.9659,1.1204,1.068
1,SATD200002,02/01/2000,73011377,78557347,54329819,57821827,18681558,20735520,48580127,55662051,36005847,40670055,12574280,14991996,66.5,70.9,66.3,70.3,67.3,72.3,4812,5446,43714,48566,48526,54012,49931931,57600946,2341123,2528646,1341942,1420638,710611,766358,366139276,444472084,756536,767733,210132,226501,2330.7,1827.7,42.0,48.6,78.5,199261,228727,103.3,-1.7,97.6,2.4,101.4,-0.4,99.17901034,97.08480868,1.56,0.9766,0.9849,1.0153,1.0038,0.9536,0.975,1.0124,0.9758,0.9844,1.0486
2,SATD200003,03/01/2000,80308529,79428777,59913798,58509033,20394731,20919744,59632014,56807092,43901516,41239164,15730498,15567928,74.3,71.5,73.3,70.5,77.1,74.4,5787,5550,52977,48806,58764,54357,61478163,58579268,2699633,2491931,1452147,1410068,771025,765090,453096388,454804934,843730,789244,216833,219952,2050.6,1723.8,52.5,52.5,74.7,232490,230237,99.7,-3.5,99.5,1.9,99.7,-1.7,99.56562552,99.76756139,1.55,0.9931,0.9706,1.0078,1.0021,0.9758,1.0023,0.9832,0.9203,1.0619,0.9968
3,SATD200004,04/01/2000,78139993,79448144,57402637,58486301,20737356,20961843,57636732,57832228,41954244,41782791,15682488,16049436,73.8,72.8,73.1,71.4,75.6,76.6,5688,5702,50344,49810,56032,55512,58981617,59166724,2528558,2554326,1386030,1400399,747905,764017,473751011,466707879,757458,774017,219340,222364,1783.3,1840.2,52.2,50.8,72.6,227698,229068,97.9,-1.8,99.8,0.3,98.5,-1.2,100.2040379,101.4962878,1.58,1.0031,0.9949,1.0009,1.0007,1.0013,0.9829,0.994,0.9825,1.0289,0.969
4,SATD200005,05/01/2000,80515093,79113066,58896522,58204226,21618571,20908840,59749900,58986780,43168824,42658023,16581076,16328757,74.2,74.6,73.3,73.3,76.7,78.1,5892,5832,52309,50294,58201,56126,61223861,61041939,2528225,2521642,1440661,1405377,772852,761777,481725263,474052690,818246,781817,225649,218952,1632.9,1970.4,53.5,52.5,73.2,242501,229651,98.8,0.9,102.3,2.5,100.0,1.5,100.4784309,99.71473444,1.59,1.0349,0.9822,1.0044,0.9978,1.0171,0.9929,0.9787,1.0519,1.063,0.9766
5,SATD200006,06/01/2000,80393854,78822918,58286914,57527316,22106940,21295602,64046964,58260022,45856363,41932901,18190601,16327121,79.7,73.9,78.7,72.9,82.3,76.7,6400,5735,54673,49308,61073,55043,65601574,59454627,2537148,2512811,1390222,1394698,763056,754371,517102460,458613065,793911,787347,225621,220772,1513.1,1880.5,50.4,48.5,75.0,242963,230024,99.7,0.9,100.5,-1.8,100.0,0.0,100.5541106,101.3066819,1.6,1.008,0.9788,0.9968,0.9881,0.9839,0.9999,0.9868,1.004,0.9822,1.0015
6,SATD200007,07/01/2000,83853711,78985917,60607052,57678166,23246659,21307751,66435577,58227818,47303803,41762578,19131774,16465239,79.2,73.7,78.0,72.4,82.3,77.3,7014,5820,55568,50275,62582,56095,67898320,58771195,2461623,2478279,1377790,1400422,760109,757541,564747276,471965440,743746,790104,228889,222436,1525.6,1737.4,53.3,49.6,72.9,245140,228840,97.7,-2.0,99.9,-0.6,98.4,-1.6,100.3791824,100.3260994,1.6,0.9964,0.9653,1.0009,0.9922,1.0126,1.0034,0.9943,0.9276,1.0038,0.9733
7,SATD200008,08/01/2000,84702734,79314192,61479288,57927203,23223446,21386989,65252958,57195223,46457758,40827373,18795200,16367850,77.0,72.1,75.6,70.5,80.9,76.5,6881,5914,54474,50289,61355,56203,67028338,58662457,2623412,2566521,1473014,1401845,814860,756984,558060051,476284251,787064,789467,231542,225259,1653.1,1850.6,50.9,48.3,74.7,247832,229339,99.6,1.9,99.7,-0.2,99.7,1.3,100.1104113,98.93774986,1.62,0.9946,0.9997,1.0019,0.9915,1.0218,1.0026,1.0069,0.988,0.9779,0.9973
8,SATD200009,09/01/2000,79912506,81562750,57899315,59975971,22013191,21586780,55470176,60206537,38372644,43092685,17097532,17113852,69.4,73.8,66.3,71.8,77.7,79.3,5859,6429,46363,52304,52222,58733,56441629,61611205,2711279,2764142,1427099,1417699,789037,766915,446489429,481316172,802516,792339,222945,225379,1475.0,1858.3,47.3,48.5,74.0,227899,231166,99.7,0.1,103.4,3.7,100.9,1.2,100.5083784,101.6850371,1.59,1.0445,1.0767,1.0132,1.0045,1.0326,1.0062,1.0074,0.9921,0.9816,0.9885
9,SATD200010,10/01/2000,82627553,81217538,60761374,59486884,21866179,21730654,57979416,59486398,41820446,42674474,16158970,16811924,70.2,73.2,68.8,71.7,73.9,77.4,5635,6210,50920,51701,56555,57911,58834210,60035614,2839068,2643126,1489125,1395439,859903,782684,462329685,486735039,851255,796739,234903,234197,1567.9,1872.3,50.8,47.8,74.2,236491,230372,99.5,-0.2,101.7,-1.6,100.2,-0.7,100.1586301,99.58423758,1.6,1.0178,1.0295,0.9973,1.0252,1.0443,1.0118,1.0468,0.9996,0.968,0.9905
10,SATD200011,11/01/2000,78368993,81383731,57757912,59461522,20611081,21922209,55302968,59026151,40712967,42508916,14590001,16517235,70.6,72.5,70.5,71.5,70.8,75.3,5327,6167,49632,51579,54959,57746,56283261,59820042,2702423,2638291,1346909,1364759,755194,762999,442268378,474907916,816120,806950,226901,228399,1908.5,1967.7,50.0,48.4,74.8,222819,229865,99.9,0.4,101.7,0.0,100.5,0.3,100.1802528,99.04083381,1.62,1.0142,1.0276,0.9754,0.9994,1.0189,1.0248,1.0209,1.0505,0.9796,0.9987
11,SATD200012,12/01/2000,79075993,79680170,57886109,57860410,21189884,21819760,54460418,55762434,39656140,40572584,14804278,15189849,68.9,70.0,68.5,70.1,69.9,69.6,5470,5656,47051,48172,52521,53827,55380280,57346810,2707863,2635017,1298609,1356633,710715,755851,461651082,457313932,755040,805101,233175,227629,2587.5,2138.8,41.3,41.9,74.3,218390,224132,99.1,-0.8,98.6,-3.0,99.0,-1.5,99.83872114,100.365791,1.62,0.9722,1.0264,0.9696,0.99,0.9811,1.0224,1.0175,1.1418,0.848,0.9913
12,SATD200101,01/01/2001,81196157,82741359,59766686,60703211,21429471,22038148,52049391,57838211,37179562,41941138,14869829,15897073,64.1,69.9,62.2,69.1,69.4,72.1,5543,5849,44074,50038,49617,55887,53129922,59143914,2290401,2559361,1378715,1398068,718208,760921,379458113,454118069,800293,810692,228953,225682,2677.0,1925.1,39.3,46.0,74.6,209685,231442,99.4,0.3,101.0,2.4,99.9,0.9,99.34615438,97.78869218,1.61,1.0027,0.9969,0.9992,0.9967,0.9743,1.0295,1.0088,1.0277,0.9318,0.9961
13,SATD200102,02/01/2001,73704583,82294305,54313589,60011360,19390994,22282945,48845243,58017918,35784235,41904069,13061008,16113849,66.3,70.5,65.9,69.8,67.4,72.3,4980,5797,43149,49698,48129,55495,49992995,59061911,2276553,2554022,1272599,1401126,666813,746511,366288212,451655078,761213,811918,199107,225498,2309.5,1881.0,40.9,47.6,74.6,200876,230672,99.3,-0.1,100.9,-0.1,99.9,0.0,98.69876856,98.8977727,1.6,1.0013,0.9948,1.0014,0.9778,0.969,1.0311,1.008,1.0042,0.963,0.9953
14,SATD200103,03/01/2001,82211844,81500213,60467225,59212676,21744619,22287538,60769073,58069154,44208143,41733883,16560930,16335271,73.9,71.3,73.1,70.5,76.2,73.3,6101,5832,53020,49469,59121,55301,62323049,59611246,2671787,2481820,1457199,1415484,761942,751491,448912584,453976750,846702,806819,225282,228030,2246.6,1894.8,47.1,47.0,74.8,232587,231165,99.6,0.3,101.4,0.5,100.1,0.2,98.44048453,97.04454597,1.61,1.0106,0.9667,1.0117,0.9843,0.974,1.0246,1.0193,1.0116,0.952,0.9985
15,SATD200104,04/01/2001,80938470,82181695,58851713,59760429,22086757,22421266,58479185,58688899,42363481,42063457,16115704,16625443,72.3,71.4,72.0,70.4,73.0,74.2,5900,5906,50702,49627,56602,55533,59801567,59892634,2399580,2407508,1390615,1403262,717396,733134,455496342,445546053,803744,803956,225210,228274,1807.2,1871.8,49.4,47.9,73.3,232513,232994,98.0,-1.6,101.5,0.1,99.1,-1.0,98.09095241,94.44888635,1.58,1.0154,0.9377,1.0029,0.9603,0.9559,1.021,1.0204,0.9993,0.97,0.979
16,SATD200105,05/01/2001,83754265,82246177,60862387,60115389,22891878,22130788,59190930,58179200,42517548,41811908,16673382,16367292,70.7,70.7,69.9,69.6,72.8,74.0,5911,5853,51052,49128,56963,54980,60246478,59778842,2415262,2410747,1436953,1400353,734970,726167,462376555,453548701,850680,814720,233859,226840,1522.4,1833.7,47.7,46.6,75.4,245357,232201,99.4,1.4,101.8,0.3,100.2,1.1,97.58108743,96.47858367,1.59,1.0135,0.939,1.0008,0.9511,0.9731,1.0346,1.014,0.979,0.9439,1.0072
17,SATD200106,06/01/2001,82865877,81439437,60231368,59662365,22634509,21777072,63729974,58160280,45304289,41680105,18425685,16480175,76.9,71.4,75.2,69.9,81.4,75.7,6503,5868,53384,48808,59887,54676,64987598,59394098,2475195,2470992,1382844,1387442,743527,732156,528690495,474061211,807301,817817,218802,214055,1444.4,1794.0,50.9,49.0,74.5,243498,231645,98.6,-0.8,101.6,-0.2,99.5,-0.7,97.05132949,94.59251856,1.59,1.007,0.9625,0.9916,0.959,1.0171,1.0386,0.9568,0.9577,0.9925,0.9947
18,SATD200107,07/01/2001,87079555,81660226,63439069,59981066,23640486,21679160,67144380,58595570,48067498,42140101,19076882,16455469,77.1,71.8,75.8,70.3,80.7,75.9,6959,5805,55696,49666,62655,55470,68573410,59244142,2226571,2226901,1331669,1353579,733967,731713,564037290,468025196,785014,814019,231408,225478,1598.1,1821.4,51.2,47.6,74.4,250363,232941,97.8,-0.8,101.3,-0.3,98.9,-0.6,96.46567669,93.56739006,1.6,1.0044,0.8674,0.9674,0.9584,1.0041,1.0337,1.0079,0.9724,0.9626,0.9927
19,SATD200108,08/01/2001,87717155,82076188,64098172,60368997,23618983,21707191,67664023,59054935,48579798,42518234,19084225,16536701,77.1,72.0,75.8,70.4,80.8,76.2,6946,5907,56292,51212,63238,57119,69003617,60124279,2356106,2306951,1444314,1374071,802542,747647,562266005,477999564,809941,810927,230280,223955,1669.2,1869.0,51.8,49.3,75.2,253274,233413,99.2,1.4,102.2,0.9,100.2,1.3,96.36469834,94.39948601,1.6,1.0193,0.8986,0.9821,0.9793,1.0255,1.0298,1.0011,0.9978,0.9978,1.0033
20,SATD200109,09/01/2001,65361009,66736054,47039597,48796908,18321412,17939145,38207236,41632477,26230752,29615555,11976484,12016922,58.5,62.4,55.8,60.7,65.4,67.0,4109,4516,30499,34900,34608,39416,39106905,44505650,1998724,2050559,1387189,1377770,775082,759896,446266947,486796016,768513,776871,221754,224413,1494.1,1882.2,47.5,49.0,74.4,226312,232276,98.1,-1.1,82.9,-18.9,93.8,-6.4,95.86229321,91.93917761,1.63,0.7545,0.7987,0.9847,0.9953,1.0444,0.9866,1.0031,1.0049,0.9923,0.9933
21,SATD200110,10/01/2001,69552136,68577831,51592799,50662645,17959337,17915186,43609263,44793576,33428069,34165933,10181194,10627644,62.7,65.3,64.8,67.4,56.7,59.3,3789,4199,40242,40755,44031,44954,44271037,45917666,2417439,2234041,1489178,1395918,827614,751850,452095177,475967491,871470,799562,224931,224175,1649.1,1968.0,49.9,46.9,74.6,241050,233772,98.8,0.7,85.3,2.9,95.0,1.3,95.56465574,91.39206168,1.48,0.7785,0.8702,0.9977,0.9848,1.0212,1.0154,1.002,1.0506,0.9496,0.9953
22,SATD200111,11/01/2001,66632329,69140983,49928543,51358986,16703786,17781997,44598156,47236377,34035501,35340052,10562655,11896324,66.9,68.3,68.2,68.8,63.2,66.9,4031,4615,40647,41559,44678,46174,45245063,48245567,2261922,2202672,1376611,1394758,743670,747634,446094295,473305611,820117,809000,220487,222110,1701.0,1757.2,48.5,47.0,74.6,230511,236644,98.1,-0.7,88.4,3.6,95.3,0.3,95.00765311,91.38206739,1.51,0.8179,0.858,0.9968,0.9793,1.0155,1.0274,0.9928,0.9381,0.951,0.9957
23,SATD200112,12/01/2001,69510768,70017278,52105691,52132992,17405077,17884286,47422033,48991327,34900093,36048613,12521940,12942714,68.2,70.0,67.0,69.1,71.9,72.4,4676,4848,40860,42524,45536,47372,48167518,50482531,2332011,2266896,1323085,1381502,688215,728935,479188686,477650688,756221,809490,225164,219382,2120.2,1748.6,46.1,46.7,74.4,229584,236694,97.7,-0.4,91.0,2.9,95.9,0.6,94.96116415,92.0519703,1.53,0.8559,0.883,0.9874,0.9548,1.0248,1.028,0.9806,0.9335,0.946,0.9928
24,SATD200201,01/01/2002,70105149,71266532,52524740,53230086,17580409,18036446,45699949,50515028,32996179,36988566,12703770,13526462,65.2,70.9,62.8,69.5,72.3,75.0,4786,5018,38499,43593,43285,48611,46587854,52252616,2049355,2282304,1362045,1382985,701350,743802,398443099,471099065,794010,804807,223335,220311,2487.6,1785.8,41.3,47.6,75.2,215215,236712,98.8,1.1,92.9,2.1,97.2,1.4,95.64455189,91.44117647,1.54,0.8859,0.889,0.9884,0.9742,1.0107,1.0221,0.9848,0.9534,0.9644,1.004
25,SATD200202,02/01/2002,64517654,72094289,48746054,53969351,15771600,18124938,43964813,52209068,32587181,38175586,11377632,14033482,68.1,72.4,66.9,70.7,72.1,77.4,4441,5170,38561,44475,43002,49645,45157584,54121395,2024465,2281070,1252632,1383442,688595,770509,397948979,483664065,756102,806407,192964,219039,2242.4,1821.9,40.5,47.2,76.3,208237,238125,99.9,1.1,95.2,2.5,98.7,1.5,95.64411943,91.39006282,1.54,0.9176,0.8885,0.9888,1.0092,1.0377,1.0241,0.9791,0.9727,0.9563,1.0188
26,SATD200203,03/01/2002,73503746,72755277,55533933,54350856,17969813,18404421,56037382,52981795,41424662,38812638,14612720,14169157,76.2,72.8,74.6,71.4,81.3,77.0,5602,5278,48397,44938,53999,50216,57423396,54041984,2483076,2363479,1373143,1330655,758158,760397,459147305,441288921,820151,796638,214550,216492,2258.4,1910.9,45.9,45.7,75.7,236070,235504,99.1,-0.8,94.6,-0.6,98.0,-0.7,96.35410318,91.84837236,1.54,0.9162,0.9206,0.951,0.996,0.9468,1.0117,0.9677,1.0202,0.9253,1.0105
27,SATD200204,04/01/2002,72803818,73930505,54440293,55181068,18363525,18749437,51993221,52830010,38475773,38586946,13517448,14243064,71.4,71.5,70.7,69.9,73.6,76.0,5100,5244,45358,44837,50458,50081,53013179,54264421,2426477,2379371,1359576,1368015,774537,775963,453149024,468541608,824757,805063,210758,214140,1881.0,1961.5,47.2,45.5,75.9,237226,236391,99.8,0.7,95.2,0.6,98.6,0.6,96.81942525,93.36407767,1.52,0.92,0.9268,0.9777,1.0164,1.0052,1.0224,0.9572,1.0472,0.9211,1.0131
28,SATD200205,05/01/2002,75809674,74568357,56184515,55576525,19625159,18991832,54695480,53481408,39908390,39027627,14787090,14453781,72.1,71.7,71.0,70.2,75.3,76.1,5351,5272,47050,44747,52401,50020,55663570,54762504,2408401,2409302,1408401,1370331,800215,790056,461622928,448463214,838274,802857,220991,213474,1611.5,1940.3,47.4,46.2,77.2,251746,237506,101.1,1.3,95.7,0.5,99.7,1.1,97.23112285,93.98172473,1.56,0.9284,0.9384,0.9794,1.0348,0.9622,1.0196,0.9542,1.0359,0.9348,1.0304
29,SATD200206,06/01/2002,76879798,75443979,57080224,56443876,19799574,19000104,59031826,53998293,42899467,39563361,16132359,14434932,76.8,71.6,75.2,70.1,81.5,76.0,5848,5298,49095,45614,54943,50911,60224150,54769460,2477418,2490379,1392903,1397593,805089,799180,499734575,448623217,772040,803428,219492,215281,1591.4,1973.7,48.8,46.9,77.0,247868,238073,101.5,0.4,95.7,0.0,100.0,0.3,98.03430075,93.88692176,1.55,0.9286,0.97,0.9989,1.0468,0.9625,1.0203,0.9623,1.0537,0.9486,1.0275
30,SATD200207,07/01/2002,80595218,75541786,59807169,56511484,20788049,19030302,61965515,54072410,45270461,39656260,16695054,14416150,76.9,71.6,75.7,70.2,80.3,75.8,6321,5304,51065,45399,57386,50703,63828500,54585129,2521489,2504787,1363443,1384312,800913,795506,564023742,467691342,782849,796103,223444,218107,1748.4,1988.0,50.9,47.3,78.3,256392,237780,102.8,1.3,95.3,-0.4,100.7,0.7,98.00035299,92.84294689,1.54,0.9254,0.9756,0.9894,1.042,1.0034,1.011,0.9749,1.0614,0.9583,1.0459
