,Agency,NTD ID,Reporter Type,Organization Type,City,State,Agency VOMS,Mode,Type Of Service,Mode VOMS,Mode VOMS Questionable,UACE Code,UZA Name,Primary UZA Area Sq Miles,Primary  UZA Population,Service Area Sq Miles,Service Area Population,Time Period,Time Service Begins,Time Service Ends,Actual Vehicle/Passenger Car Miles,Vehicle Miles Questionable,Actual Vehicle/Passenger Car Revenue Miles,Vehicle Revenue Miles Questionable,Actual Vehicle/ Passenger Deadhead Miles,Deadhead Miles Questionable,Scheduled Vehicle/Passenger Car Revenue Miles,Scheduled Revenue Miles Questionable,Actual Vehicles/ Passenger Car Hours,Vehicle Hours Questionable,Actual Vehicle/Passenger Car Revenue Hours,Vehicle Revenue Hours Questionable,Actual Vehicle/Passenger Car Deadhead Hours,Deadhead Hours Questionable,Charter Service Hours,School Bus Hours,Trains In Operation,Trains in Operation Questionable,Train Miles,Train Miles Questionable,Train Revenue Miles,Train Revenue Miles Questionable,Train Deadhead Miles,Train Hours,Train Hours Questionable,Train Revenue Hours,Train Revenue Hours Questionable,Train Deadhead Hours,Unlinked Passenger Trips (UPT),Unlinked Passenger Trips Questionable,ADA UPT,Sponsored Service UPT,Passenger Miles Traveled,Passenger Miles Questionable,Directional Route Miles,Directional Route Miles Questionable,BRT Non-Statutory Mixed Traffic,Mixed Traffic Right-of-Way,Days Of Service Operated,Days Not Operated - Strikes,Days Not Operated - Emergencies,Average Revenue Speed,Average Revenue Speed Questionable,Average Passenger Trip Length (APTL),APTL Questionable,Passengers per Vehicle Revenue Hour,Passengers per Hour Questionable
0,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,CB,DO,,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Average Weekday - AM Peak,07:00:00.000,09:00:00.000,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,,0,,0,,,0,,,,0,,128.1,,,,,,,,,,,0,
1,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,CB,DO,,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Average Weekday - Midday,09:00:00.000,16:00:00.000,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,,0,,0,,,0,,,,0,,128.1,,,,,,,,,,,0,
2,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,CB,DO,,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Average Weekday - PM Peak,16:00:00.000,19:00:00.000,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,,0,,0,,,0,,,,0,,128.1,,,,,,,,,,,0,
3,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,CB,DO,,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Average Weekday - Other,,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,,0,,0,,,0,,,,0,,128.1,,,,,,,,,,,0,
4,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,CB,DO,,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Average Typical Weekday,00:00:00.000,23:59:00.000,57781,,32452,,25329,,34476,,3545,,1991,,1554,,,,0,,0,,0,,,0,,0,,,28922,,,,433809,,128.1,,,,,,,16.3,,15.0,,15,
5,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,CB,DO,,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Average Typical Saturday,00:00:00.000,23:59:00.000,15250,,13617,,1633,,10246,,1048,,936,,112,,,,0,,0,,0,,,0,,0,,,7652,,,,107664,,128.1,,,,,,,14.55,,14.07,,8,
6,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,CB,DO,,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Average Typical Sunday,00:00:00.000,23:59:00.000,9764,,8807,,957,,7115,,668,,603,,65,,,,0,,0,,0,,,0,,0,,,4973,,,,71815,,128.1,,,,,,,14.61,,14.44,,8,
7,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,CB,DO,443.0,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Annual Total,,,16061803,,9484995,,6576808,,9718938,,995442,,590916,,404526,,,,0,,0,,0,,,0,,0,,,8045660,,,,120130708,,128.1,,,296.4,,,,16.05,,14.93,,14,
8,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,DR,PT,,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Average Weekday - AM Peak,,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,,0,,0,,,0,,,,0,,0.0,,,,,,,,,,,0,
9,MTA New York City Transit,20008,Full Reporter,"Subsidiary Unit of a Transit Agency, Reporting Separately",Brooklyn,NY,10019,DR,PT,,,63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,321,8804190,Average Weekday - Midday,,,0,,0,,0,,0,,0,,0,,0,,,,0,,0,,0,,,0,,0,,,0,,,,0,,0.0,,,,,,,,,,,0,
