,X,Y,OBJECTID,Route,RteSuffix,RouteS,PMRouteID,County,District,PMPrefix,PM,PMSuffix,PMc,Odometer,PMInterval,HwySegment,AlignCode,RouteType,Direction,PMoffset
0,-13719302.8976,4652529.7017,1,1,,1,SON001.T.L,SON,4,T,32.64799881,,T32.648,512.0369873,0.001,Begin Segment,Left,State,SB,32.649
1,-13719190.5572,4652779.2186,2,1,,1,SON001...L,SON,4,,32.5,,32.5,511.88900757,0.1,Mid Segment,Left,State,SB,32.5
2,-13719113.1137,4652640.4952,3,1,,1,SON001...L,SON,4,,32.40000153,,32.4,511.78900146,0.1,Mid Segment,Left,State,SB,32.4
3,-13719081.0676,4652456.7027,4,1,,1,SON001...L,SON,4,,32.29999924,,32.3,511.68899536,0.1,Mid Segment,Left,State,SB,32.3
4,-13718711.4855,4652366.7977,5,1,,1,SON001...L,SON,4,,32.09999847,,32.1,511.48901367,0.1,Mid Segment,Left,State,SB,32.1
5,-13718372.2627,4652168.5882,6,1,,1,SON001...L,SON,4,,31.89999962,,31.9,511.28900146,0.1,Mid Segment,Left,State,SB,31.9
6,-13718051.0315,4652013.5467,7,1,,1,SON001...L,SON,4,,31.70000076,,31.7,511.08898926,0.1,Mid Segment,Left,State,SB,31.7
7,-13717946.973,4651848.8959,8,1,,1,SON001...L,SON,4,,31.60000038,,31.6,510.98901367,0.1,Mid Segment,Left,State,SB,31.6
8,-13717701.5898,4651545.5387,9,1,,1,SON001...L,SON,4,,31.39999962,,31.4,510.78900146,0.1,Mid Segment,Left,State,SB,31.4
9,-13717408.7376,4651282.8904,10,1,,1,SON001...L,SON,4,,31.20000076,,31.2,510.58898926,0.1,Mid Segment,Left,State,SB,31.2
10,-13717232.1208,4651196.4506,11,1,,1,SON001...L,SON,4,,31.10000038,,31.1,510.48901367,0.1,Mid Segment,Left,State,SB,31.1
11,-13717066.1195,4651088.3971,12,1,,1,SON001...L,SON,4,,31.0,,31.0,510.38900757,1.0,Mid Segment,Left,State,SB,31.0
12,-13716578.4465,4650482.086,13,1,,1,SON001...L,SON,4,,30.60000038,,30.6,509.98901367,0.1,Mid Segment,Left,State,SB,30.6
13,-13716392.5854,4650431.646,14,1,,1,SON001...L,SON,4,,30.5,,30.5,509.88900757,0.1,Mid Segment,Left,State,SB,30.5
14,-13716200.2145,4650453.2505,15,1,,1,SON001...L,SON,4,,30.39999962,,30.4,509.78900146,0.1,Mid Segment,Left,State,SB,30.4
15,-13715530.0912,4650439.2239,16,1,,1,SON001...L,SON,4,,30.0,,30.0,509.38900757,10.0,Mid Segment,Left,State,SB,30.0
16,-13715386.9221,4650462.1144,17,1,,1,SON001...L,SON,4,,29.89999962,,29.9,509.28900146,0.1,Mid Segment,Left,State,SB,29.9
17,-13715540.5839,4650105.9761,18,1,,1,SON001...L,SON,4,,29.70000076,,29.7,509.08898926,0.1,Mid Segment,Left,State,SB,29.7
18,-13715368.3896,4650055.4466,19,1,,1,SON001...L,SON,4,,29.60000038,,29.6,508.98901367,0.1,Mid Segment,Left,State,SB,29.6
19,-13715188.6189,4649979.5414,20,1,,1,SON001...L,SON,4,,29.5,,29.5,508.88900757,0.1,Mid Segment,Left,State,SB,29.5
20,-13714999.9805,4649950.5473,21,1,,1,SON001...L,SON,4,,29.39999962,,29.4,508.78900146,0.1,Mid Segment,Left,State,SB,29.4
