,ID,LOCATION ID,ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,LATITUDE,LONGITUDE,LOCATION
0,195,CHI015,3450 W 71st St,WB,EB,09/06/2013,41.7644,-87.7097,"(41.7644, -87.7097)"
1,232,CHI039,6247 W Fullerton Ave,EB,,12/21/2013,41.9236,-87.7825,"(41.9236, -87.7825)"
2,233,CHI040,6250 W Fullerton Ave,WB,,12/21/2013,41.9238,-87.7826,"(41.9238, -87.7826)"
3,227,CHI041,5509 W Fullerton Ave,EB,,12/12/2013,41.9239,-87.7639,"(41.9239, -87.7639)"
4,226,CHI042,5446 W Fullerton Ave,WB,,12/12/2013,41.9241,-87.763,"(41.9241, -87.763)"
5,243,CHI044,4843 W Fullerton Ave,EB,WB,01/13/2014,41.9241,-87.748,"(41.9241, -87.748)"
6,213,CHI051,6523 N Western Ave,NB,SB,11/10/2013,42.0003,-87.6898,"(42.0003, -87.6898)"
7,239,CHI055,4433 N Western Ave,NB,,01/04/2014,41.9623,-87.6886,"(41.9623, -87.6886)"
8,228,CHI064,7739 S Western Ave,NB,,12/18/2013,41.7526,-87.6828,"(41.7526, -87.6828)"
9,229,CHI065,7738 S Western Ave,SB,,12/18/2013,41.75269,-87.6831,"(41.75269, -87.6831)"
10,231,CHI067,2550 W 79th St,WB,,12/18/2013,41.7502,-87.6874,"(41.7502, -87.6874)"
11,217,CHI068,5529 S Western Ave,SB,,11/23/2013,41.79249,-87.6839,"(41.79249, -87.6839)"
12,303,CHI071,7833 S Pulaski Rd,NB,,02/14/2014,41.7504,-87.7218,"(41.7504, -87.7218)"
13,304,CHI072,7826 S Pulaski Rd,SB,,02/14/2014,41.7505,-87.7221,"(41.7505, -87.7221)"
14,263,CHI074,3832 W 79th St,WB,,02/10/2014,41.74969,-87.7196,"(41.74969, -87.7196)"
15,246,CHI077,115 N Ogden Ave,NB,SB,01/25/2014,41.8832,-87.6641,"(41.8832, -87.6641)"
16,214,CHI078,2721 W Montrose Ave,EB,WB,11/15/2013,41.9611,-87.697,"(41.9611, -87.697)"
17,215,CHI079,2705 W Irving Park Ave,EB,,11/15/2013,41.9539,-87.6962,"(41.9539, -87.6962)"
18,216,CHI080,2712 W Irving Park Ave,WB,,11/15/2013,41.9541,-87.6966,"(41.9541, -87.6966)"
19,218,CHI069,5520 S Western Ave,NB,,11/23/2013,41.7928,-87.6842,"(41.7928, -87.6842)"
20,307,CHI135,2108 S Western Ave,SB,,04/25/2014,41.8536,-87.6858,"(41.8536, -87.6858)"
21,310,CHI136,346 W 76th St,WB,,04/30/2014,41.7564,-87.6338,"(41.7564, -87.6338)"
22,311,CHI137,341 W 76th St,EB,,04/30/2014,41.7561,-87.6336,"(41.7561, -87.6336)"
23,316,CHI140,3535 E 95th St,EB,,06/30/2014,41.7228,-87.5376,"(41.7228, -87.5376)"
24,317,CHI141,3542 E 95th St,WB,,06/30/2014,41.723,-87.537,"(41.723, -87.537)"
25,330,CHI146,215 E 63rd St,EB,WB,09/24/2014,41.78,-87.6198,"(41.78, -87.6198)"
26,341,CHI159,4053 W North Ave,EB,,11/09/2015,41.9097,-87.7286,"(41.9097, -87.7286)"
27,342,CHI161,4042 W North Ave,WB,,11/09/2015,41.90999,-87.7281,"(41.90999, -87.7281)"
28,321,CHI163,1110 S Pulaski Rd,SB,,09/05/2014,41.8676,-87.7254,"(41.8676, -87.7254)"
29,336,CHI167,3212 W 55th St,WB,,01/07/2015,41.7936,-87.7042,"(41.7936, -87.7042)"
30,329,CHI168,8345 S Ashland Ave,NB,,10/11/2014,41.7417,-87.6631,"(41.7417, -87.6631)"
31,343,CHI173,5006 S Western Blvd,SB,NB,01/08/2018,41.8028,-87.6837,"(41.8028, -87.6837)"
32,7,CHI180,7157 S South Chicago Ave,NWB,,08/20/2018,41.7647,-87.6037,"(41.7647, -87.6037)"
33,4,CHI175,8043 W Addison St,EB,,07/16/2018,41.945,-87.8282,"(41.945, -87.8282)"
34,46,CHI093,5885 N Ridge Ave,SB,NB,03/18/2014,41.98891,-87.66856,"(41.98891, -87.66856)"
35,45,CHI091,2443 N Ashland,NB,,01/25/2014,41.92642,-87.66806,"(41.92642, -87.66806)"
36,47,CHI206,1732 W 99th St,EB,WB,07/15/2024,41.71398,-87.66672,"(41.71398, -87.66672)"
37,48,CHI207,2700 W 103rd St,EB,WB,05/20/2024,41.7065,-87.6892,"(41.7065, -87.6892)"
38,49,CHI205,10540 S Western Ave,NB,SB,05/28/2024,41.70148,-87.68162,"(41.70148, -87.68162)"
39,300,CHI057,515 S Central Ave,NB,,04/14/2014,41.8733,-87.7645,"(41.8733, -87.7645)"
40,289,CHI107,4041 W Chicago Ave,EB,,03/24/2014,41.8952,-87.7277,"(41.8952, -87.7277)"
41,312,CHI138,1901 E 75th St,EB,WB,04/30/2014,41.75869,-87.5785,"(41.75869, -87.5785)"
42,320,CHI162,1117 S Pulaski Rd,NB,,09/05/2014,41.8674,-87.7251,"(41.8674, -87.7251)"
43,328,CHI169,8318 S Ashland Ave,SB,,10/11/2014,41.7425,-87.6634,"(41.7425, -87.6634)"
44,22,CHI192,6020 W Foster Ave,NB,SB,03/10/2023,41.9758,-87.7786,"(41.9758, -87.7786)"
45,5,CHI176,8006 W Addison St,WB,,07/16/2018,41.945,-87.8271,"(41.945, -87.8271)"
46,206,CHI021,2900 W Ogden  Ave,WB,EB,10/17/2013,41.8604,-87.6987,"(41.8604, -87.6987)"
47,251,CHI027,3534 N Western Ave,SB,,01/31/2014,41.946,-87.6884,"(41.946, -87.6884)"
48,219,CHI096,4429 N Broadway Ave,NB,,11/23/2013,41.9626,-87.6555,"(41.9626, -87.6555)"
49,236,CHI024,3137 W Peterson Ave,EB,WB,01/03/2014,41.9903,-87.7095,"(41.9903, -87.7095)"
