,ProjectCode,GroupOwner,LocationDescription,Borough,ProjectStatus,NextStep,DateAdded,BCTSNum,CCUNum,RequestorLetterReplyDate,CBLetterRequestDate,CBLetterRecievedDate,OldSign,NewSign,MarkingsDate,InstallationDate,SecondStudyCode,ClosedDate,speedCushion,RequestDate,RequestorType,SegmentID,OnStreet,FromStreet,ToStreet,GeoBoroughName,LIONKey,FromLatitude,FromLongitude,ToLatitude,ToLongitude,OFT,CB,SegmentStatus,SegmentStatusDescription,DenialReason,NumSRProposed,TrafficDirection,TrafficDirectionDesc,OldSign1,NewSign1,OldSign2,NewSign2
0,SR-20210513-25738,Queens BC,93 STREET from ATLANTIC AVENUE to LIBERTY AVENUE,Queens,"BC accept planning proposal of Not Feasible, requestor reply sent - closed",,05/13/2021 11:11:25 AM,DOT-489818-T8Q6,,01/09/2024 12:00:00 AM,,,,,,,,01/09/2024 12:36:00 PM,No,01/28/2021 12:00:00 AM,Citizen,51647,93 STREET,101 AVENUE,103 AVENUE,Queens,4606604040,40.683795,-73.847661,40.681859,-73.846713,418590419340419590,409,No,Not Feasible,Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,A,One-way,,,,
1,SR-20200303-18399,Brooklyn BC,EAST   95 STREET from RUTLAND ROAD to EAST NEW YORK AVENUE,Brooklyn,"BC accept planning proposal of Not Feasible, requestor reply sent - closed",,03/03/2020 03:35:19 PM,DOT-421308-K2M3,,01/18/2023 12:00:00 AM,,,,,,,,01/18/2023 11:36:00 AM,No,06/25/2019 12:00:00 AM,Police Department,43353,EAST   95 STREET,EAST NEW YORK AVENUE,RUTLAND ROAD,Brooklyn,3323600010,40.665074,-73.927393,40.663294,-73.925424,338030338330374230,317,No,Not Feasible,Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,A,One-way,,,,
2,SR-20200807-18743,SI BC,ROBIN ROAD from JACKSON AVENUE to WINDOM AVENUE,Staten Island,"BC accept planning proposal of Not Feasible, requestor reply sent - closed",,08/07/2020 02:33:15 PM,DOT-433751-R7G4,,03/21/2023 12:00:00 AM,,,,,,,,03/21/2023 11:08:00 AM,No,09/26/2019 12:00:00 AM,Citizen,105630,ROBIN ROAD,WINDOM AVENUE,SEASIDE LANE,Staten Island,5594400025,40.595263,-74.063889,40.595183,-74.064062,545200555700546900,502,No,Not Feasible,Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,W,One-way,,,,
3,SR-20210609-25828,SI BC,LAFAYETTE AVENUE from ARNOLD STREET to BRIGHTON AVENUE,Staten Island,"BC accept planning proposal of Not Feasible, requestor reply sent - closed",,06/09/2021 02:58:46 PM,DOT-496813-Z8M3,,07/21/2023 12:00:00 AM,,,,,,,,07/21/2023 02:37:00 PM,Yes,03/30/2021 12:00:00 AM,Citizen,13903,LAFAYETTE AVENUE,ALDEN PLACE,CHESTNUT PLACE,Staten Island,5399200095,40.637284,-74.093626,40.636601,-74.09339,535450515230522725,501,No,Not Feasible,Speed Cushion Denied Due To Failure By KSI.,,T,Two-way,,,,
4,SR-20220819-27636,Queens BC,103 AVENUE from  102 STREET to  126 STREET,Queens,"BC accept planning proposal of Not Feasible, requestor reply sent - closed",,08/19/2022 10:21:09 AM,DOT-561575-N5D3,,09/11/2023 12:00:00 AM,,,,,,,,09/11/2023 12:30:00 PM,No,08/18/2022 12:00:00 AM,,54673,103 AVENUE,109 STREET,110 STREET,Queens,4614400260,40.685568,-73.833421,40.685808,-73.832577,419590420340420390,409,No,Not Feasible,Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,T,Two-way,,,,
5,SR-20170315-12719,Queens BC,74 STREET from GRAND AVENUE to 57 AVENUE,Queens,MOSAICS Entry - actual - closed,,03/15/2017 11:31:57 AM,DOT-327546-H7Z3,,,09/20/2019 12:00:00 AM,09/20/2019 12:00:00 AM,,,07/12/2023 12:00:00 AM,07/07/2023 12:00:00 AM,,07/21/2023 10:36:00 AM,No,03/15/2017 12:00:00 AM,,74557,74 STREET,GRAND AVENUE,57 AVENUE,Queens,4586206010,40.7301969282631,-73.8875611761351,40.7286128491747,-73.8871994405781,415640447290411840,405,Yes,Feasible,,1.0,T,Two-way,,B-01652812,,
6,SR-20200303-18398,Queens BC,SAUNDERS STREET from ELIOT AVENUE to   65 ROAD,Queens,BC reject planning proposal of Not Feasible - 2nd inspection requested,Awaiting CB letter,03/03/2020 03:24:01 PM,DOT-421115-X9H5,,,,,,,,,SR-20230118-29163,01/18/2023 11:11:00 AM,No,06/24/2019 12:00:00 AM,Anonymous,81563,SAUNDERS STREET,ELIOT AVENUE,62 AVENUE,Queens,4412600010,40.731819,-73.868901,40.730985,-73.867214,461490443490412790,406,No,Not Feasible,Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,A,One-way,,,,
7,SR-20230510-29623,Brooklyn BC,KINGS HIGHWAY from AVENUE K to EAST   45 STREET,Brooklyn,"BC accept planning proposal of Not Feasible, requestor reply sent - closed",,05/10/2023 12:29:30 PM,DOT-595230-K8K2,,12/21/2023 12:00:00 AM,,,,,,,,12/21/2023 04:23:00 PM,Yes,05/10/2023 12:00:00 AM,,40918,KINGS HIGHWAY,AVENUE K,EAST   45 STREET,Brooklyn,3474802010,40.625684,-73.933431,40.626551,-73.932634,354050314130336830,318,No,Not Feasible,multi-lane roadway,,T,Two-way,,,,
8,SR-20171103-13390,Queens BC,223 STREET from HEMPSTEAD AVENUE to 115 AVENUE,Queens,MOSAICS Entry - actual - closed,,11/03/2017 05:36:53 PM,,DOT-356488-F3V0,,01/28/2022 12:00:00 AM,01/28/2022 12:00:00 AM,,,04/26/2023 12:00:00 AM,04/20/2023 12:00:00 AM,,05/23/2023 11:45:00 AM,No,11/03/2017 12:00:00 AM,Council Member,172059,223 STREET,MURDOCK AVENUE,113 DRIVE,Queens,4698807160,40.70322,-73.734263,40.702479,-73.734302,426990456350420633,413,No,Not Feasible,stop controls at end of roadway,,T,Two-way,,,,
9,SR-20230807-30302,SI BC,JEWETT AVENUE from POST AVENUE to HURST STREET,Staten Island,"BC accept planning proposal of Not Feasible, requestor reply sent - closed",,08/07/2023 01:45:33 PM,DOT-609559-K8S9,,12/21/2023 12:00:00 AM,,,,,,,,12/21/2023 04:13:00 PM,Yes,08/04/2023 12:00:00 AM,,9536,JEWETT AVENUE,CATHERINE COURT,POST AVENUE,Staten Island,5376400100,40.631676,-74.13047,40.630886,-74.130476,534850522040543700,501,No,Not Feasible,Does not qualify; Radar speeds BELOW criteria of 30.0 mph at 85%,,T,Two-way,,,,
