,ID,HIGHWAY ID,DISTRICT,PARISH,ROUTE,LRS ID,DIRECTION,MILE POINT,POLE TYPE,CONDITION,LIGHT PRESENT,SIDE OF ROAD,ELEVATION (FT),IMAGE,FILE NAME,COMMENTS,DATE CAPTURED,GEOMETRY,LATITUDE,LONGITUDE
0,13998,5491-21646,61,17,Santa Maria Pkwy,033904000802591010,6,0.493,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,29.635,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13AK0YTF300/000000000164/000000464015.jpg,3AK0YTF3,,20131020,POINT (-91.008480913038 30.342629437066),30.34262397,-91.00847503
1,18687,5491-1978,61,17,Blueberry St,033900591003691010,5,0.098,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,61.587,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13CH10T0G00/000000000011/000000152186.jpg,3CH10T0G,,20131217,POINT (-91.127655240611 30.466822269251),30.46681678,-91.12764932
2,8656,5491-1869,61,17,Buttercup Dr,033900762601591010,6,0.22,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,21.912,https://s3.amazonaws.com/5491la13-locals/12a/1734/ROW/137T0UEIO00/000000000103/000000224109.jpg,37T0UEIO,,20130729,POINT (-91.072269841585 30.381319072781),30.3813136,-91.07226394
3,35509,85006-20714,61,17,Mills Ave,033902839800491010,6,0.024,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,70.396,https://ivision.fugro.com/LouisianaLocals13_Video/1730/ROW/143J0UAI100/000000000030/000000924030.jpg,43J0UAI1,,20140319,POINT (-91.201071663335 30.53257233119),30.53256683,-91.20106572
4,17046,5491-15971,61,17,Marlbrook Dr,033902707101591020,5,0.099,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,51.745,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13BS0TT0700/000000000011/000000144095.jpg,3BS0TT07,,20131128,POINT (-91.062495732578 30.446451507528),30.44644602,-91.06248983
5,36895,85006-21757,61,17,Joseph St,033902275503691010,5,0.125,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,55.15,https://ivision.fugro.com/LouisianaLocals13_Video/1766/ROW/143J1DGVJ00/000000000028/000000172050.jpg,43J1DGVJ,,20140319,POINT (-91.141973645494 30.489376153747),30.48937066,-91.14196772
6,27918,85006-10286,61,17,Kleinert Ave,033902353400491010,5,0.302,Wood,PASS - No visible issue with Utility Pole.,Yes,Median,58.818,https://ivision.fugro.com/LouisianaLocals13_Video/1735/ROW/143C14FZ000/000000000125/000000348023.jpg,43C14FZ0,,20140312,POINT (-91.162872928644 30.437772191785),30.43776671,-91.16286699999996
7,21066,5491-21506,61,17,Stan Ave,033904206700491010,6,0.122,Metal,PASS - No visible issue with Utility Pole.,Yes,Right,53.589,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/141C16TUA00/000000000028/000000380137.jpg,41C16TUA,,20140112,POINT (-91.056070791056 30.4699602427),30.46995475,-91.05606489
8,12594,5491-371,61,17,Avondale Dr,033900383501591010,5,0.102,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,57.693,https://s3.amazonaws.com/5491la13-locals/12a/1749/ROW/13CD0XTKY00/000000000068/000000152100.jpg,3CD0XTKY,,20131213,POINT (-91.139521822869 30.434511182024),30.4345057,-91.1395159
9,25663,85006-10474,61,17,Belmont Ave,033900502000491010,5,0.324,Wood,PASS - No visible issue with Utility Pole.,Yes,Right,60.308,https://ivision.fugro.com/LouisianaLocals13_Video/1735/ROW/143C0UFYW00/000000000052/000000372102.jpg,43C0UFYW,,20140312,POINT (-91.161164228465 30.433626870734),30.43362139,-91.1611583
