,STREET NAME ID,STREET PREFIX DIRECTION,STREET PREFIX TYPE,STREET NAME,STREET SUFFIX TYPE,STREET SUFFIX DIRECTION,STREET EXTENSION,POSTAL COMMUNITY,MUNICIPAL COMMUNITY,NOTATION,PRIVATE STREET,FRONTAGE ROAD
0,1400350,,,PRIVATE STREET,,,,BATON ROUGE,BATON ROUGE,,YES,
1,17246,,,CROFTON,BLVD,,,BATON ROUGE,PARISH,,NO,
2,17247,,,DRAGO,DR,,,BATON ROUGE,PARISH,,NO,
3,17248,,,DERICK,AVE,,,BATON ROUGE,PARISH,,NO,
4,16904,,,TECHNOLOGY,CIR,,,BATON ROUGE,PARISH,,NO,
5,1200768,,,PRIVATE DRIVEWAY,,,,PRIDE,PARISH,,YES,
6,17249,,,MORRIS JACKSON JR.,ST,,,BATON ROUGE,BATON ROUGE,SEE STREET NAME CHANGE LIST,NO,
7,1200769,,,PRIVATE DRIVEWAY,,,,BATON ROUGE,BATON ROUGE,,YES,
8,1600209,,,PUBLIC DRIVE,,,,BATON ROUGE,BATON ROUGE,,NO,
9,17250,,,ASOKA,AVE,,,BATON ROUGE,BATON ROUGE,,NO,
10,17251,,,RED STICK VILLAS,DR,,,BATON ROUGE,BATON ROUGE,,YES,
11,17252,,,RIVER HILLS,BLVD,,,BATON ROUGE,PARISH,,NO,
12,17253,,,ROLLING FORK,RD,,,BATON ROUGE,PARISH,,YES,
13,17254,,,TRADEWATER,DR,,,BATON ROUGE,PARISH,,YES,
14,17255,,,BOWSTRING,DR,,,BATON ROUGE,PARISH,,YES,
15,17256,,,ROCKFISH,RD,,,BATON ROUGE,PARISH,,YES,
16,17257,,,ALUM CREEK,DR,,,BATON ROUGE,PARISH,,YES,
17,17258,,,SATINWOOD GROVE,DR,,,BATON ROUGE,PARISH,,YES,
18,17259,,,LORRI BURGESS,AVE,,,BATON ROUGE,BATON ROUGE,SEE STREET NAME CHANGE LIST,NO,
19,17260,,,PARK BLUFF,DR,,,BATON ROUGE,PARISH,,NO,
20,17348,,,LOWERY,LN,,,PRIDE,PARISH,,YES,
21,17261,,,STONEY,LN,,,BATON ROUGE,PARISH,,YES,
22,17262,,,KNOLL CREEK,AVE,,,BATON ROUGE,PARISH,,NO,
23,17263,,,SHALLOW CREEK,DR,,,BATON ROUGE,PARISH,,NO,
24,17264,,,DEEP CREEK,DR,,,BATON ROUGE,PARISH,,NO,
25,17291,,,GARCIA VILLA,,,,BAKER,CENTRAL,,YES,
26,17266,,,IRON LEE,LN,,,GREENWELL SPRINGS,CENTRAL,,YES,
27,17265,,RUE,LAVANDE,,,,ZACHARY,ZACHARY,,YES,
28,6178,,,PELICAN LAKES,PKWY,,,BATON ROUGE,"BATON ROUGE,PARISH",,NO,
29,17267,,,FLANER,LN,,,BATON ROUGE,BATON ROUGE,,NO,
30,17268,,,BAGATELLE PARK,CT,,,BATON ROUGE,BATON ROUGE,,NO,
31,17269,,,ARGENT,CT,,,BATON ROUGE,BATON ROUGE,,NO,
32,17270,,RUE,DES JARDINS,,,,BATON ROUGE,BATON ROUGE,,NO,
33,17271,,RUE,DE RIVOLI,,,,BATON ROUGE,BATON ROUGE,,NO,
34,17272,,RUE,DU MOULIN,,,,BATON ROUGE,BATON ROUGE,,NO,
35,17273,,,BONNE-NOUVELLE,CT,,,BATON ROUGE,BATON ROUGE,,NO,
36,17274,,,PARC MONCEAU,CT,,,BATON ROUGE,BATON ROUGE,,NO,
37,17275,,,PARC DE BELLEVILLE,CT,,,BATON ROUGE,BATON ROUGE,,NO,
38,17276,,,CHEVAL TRAILS,BLVD,,,ZACHARY,PARISH,,NO,
39,17277,,,PHARLAP,WAY,,,ZACHARY,PARISH,,NO,
40,17278,,,FRANKEL,AVE,,,ZACHARY,PARISH,,NO,
41,5731,,,MILLS,RD,,,ZACHARY,PARISH,,NO,
42,17279,,,RIVANNA,LN,,,BATON ROUGE,PARISH,,YES,
43,17280,,,STEVENSON,DR,,,BATON ROUGE,PARISH,,NO,
44,17281,,,POE,AVE,,,BATON ROUGE,PARISH,,NO,
45,17282,,,SIMPSON BAYOU,DR,,,BATON ROUGE,PARISH,,NO,
46,17283,,,HURSTON,AVE,,,BATON ROUGE,PARISH,,NO,
47,17284,,,MAXWELL,DR,,,BATON ROUGE,PARISH,,NO,
48,17285,,,GREENBRIER COVE,RD,,,BATON ROUGE,PARISH,,NO,
49,17286,,,JACK,ST,,,BATON ROUGE,PARISH,,NO,
