,Work Schedule Project Location ID,Borough Name,Day,Date,On Street Name,From Street Name,To Street Name,Community Board,Area,Work Type,Crew Type,Shift Type,OFTCode
0,193346,MANHATTAN,Wednesday,08/02/2023,3 AVENUE,EAST 97 STREET,,111.0,,CONTRACT WORK,MILLING,NIGHT SHIFT,110210118910000000
1,115200,MANHATTAN,Monday,11/15/2021,GRAND STREET,SUFFOLK STREET,,103.0,,IN-HOUSE CREW,PAVING,NIGHT SHIFT,121690131890000000
2,41131,BRONX,Thursday,09/03/2020,BEND,EAST 208 STREET,,207.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,212550227870000000
3,5689,BRONX,Monday,05/11/2020,EAST 222 STREET,PAULDING AVENUE,,212.0,,CONTRACT WORK,MILLING,DAY SHIFT,228290257320000000
4,191379,BRONX,Tuesday,07/18/2023,FAILE STREET,VIELE AVENUE,,202.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,231820271750000000
5,22981,BRONX,Thursday,06/25/2020,PINCHOT PLACE,SEMINOLE AVENUE,,211.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,258540263940000000
6,191373,BRONX,Monday,07/17/2023,VIELE AVENUE,WHITTIER STREET,,202.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,271750277350000000
7,105167,BROOKLYN,Tuesday,09/28/2021,4 AVENUE,UNION STREET,,306.0,,IN-HOUSE CREW,MILLING,NIGHT SHIFT,305430386530000000
8,136003,BROOKLYN,Tuesday,06/07/2022,4 STREET,PROSPECT PARK WEST,,306.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,305530372630000000
9,98576,BROOKLYN,Wednesday,09/08/2021,4 AVENUE,12 STREET,,306.0,,IN-HOUSE CREW,MILLING,NIGHT SHIFT,305430306330000000
10,210331,BROOKLYN,Wednesday,11/01/2023,3 STREET,8 AVENUE,,306.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,305380305880000000
11,100443,BROOKLYN,Friday,09/17/2021,4 AVENUE,13 STREET,,306.0,,IN-HOUSE CREW,PAVING,NIGHT SHIFT,305430306430000000
12,91409,BROOKLYN,Monday,08/16/2021,4 AVENUE,29 STREET,,307.0,,IN-HOUSE CREW,MILLING,NIGHT SHIFT,305430308030000000
13,80381,BROOKLYN,Tuesday,07/13/2021,4 AVENUE,53 STREET,,307.0,,IN-HOUSE CREW,MILLING,NIGHT SHIFT,305430309230000000
14,102428,BROOKLYN,Tuesday,09/21/2021,3 STREET,4 AVENUE,,306.0,,IN-HOUSE CREW,MILLING,NIGHT SHIFT,305380305430000000
15,178716,BROOKLYN,Monday,05/01/2023,5 AVENUE,29 STREET,,307.0,,IN-HOUSE CREW,MILLING,NIGHT SHIFT,305580308030000000
16,89197,BROOKLYN,Friday,08/13/2021,4 AVENUE,39 STREET,,307.0,,IN-HOUSE CREW,PAVING,NIGHT SHIFT,305430308530000000
17,186802,BROOKLYN,Thursday,06/22/2023,71 STREET,SHORE ROAD,,310.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,310080377130000000
18,80371,BROOKLYN,Tuesday,07/13/2021,4 AVENUE,48 STREET,,307.0,,IN-HOUSE CREW,MILLING,NIGHT SHIFT,305430308980000000
19,86147,BROOKLYN,Thursday,07/29/2021,11 AVENUE,47 STREET,,312.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,306180308930000000
20,39978,BROOKLYN,Tuesday,09/01/2020,86 STREET,AVENUE V,,313.0,,IN-HOUSE CREW,PAVING,NIGHT SHIFT,310880314680000000
21,109645,BROOKLYN,Thursday,10/21/2021,CLARENDON ROAD,TROY AVENUE,,317.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,326430386030000000
22,194482,BROOKLYN,Tuesday,08/08/2023,82 STREET,RIDGE BOULEVARD,,310.0,,CONTRACT WORK,MILLING,DAY SHIFT,310680373330000000
23,162028,BROOKLYN,Wednesday,10/26/2022,77 STREET,6 AVENUE,7 AVENUE,310.0,Bay Ridge,IN-HOUSE CREW,PAVING,DAY SHIFT,310430305680305780
24,199935,BROOKLYN,Wednesday,09/06/2023,86 STREET,SHORE ROAD,,310.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,310880377130000000
25,221149,BROOKLYN,Monday,04/15/2024,GLENMORE AVENUE,LOGAN STREET,,305.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,344330356930000000
26,152236,BROOKLYN,Wednesday,08/31/2022,DWIGHT STREET,VERONA STREET,,306.0,,CONTRACT WORK,MILLING,DAY SHIFT,334630388330000000
27,215814,BROOKLYN,Monday,03/18/2024,HEMLOCK STREET,PITKIN AVENUE,,305.0,,CONTRACT WORK,MILLING,DAY SHIFT,348430370930000000
28,189425,BROOKLYN,Friday,07/14/2023,HOOPER STREET,KENT AVENUE,,302.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,350530354000000000
29,123674,BROOKLYN,Monday,03/28/2022,SACKMAN STREET,SUTTER AVENUE,,316.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,374730383730000000
30,47033,BROOKLYN,Tuesday,09/29/2020,KIMBALL STREET,LOTTS LANE,,,,IN-HOUSE CREW,MILLING,DAY SHIFT,354035357270000000
31,67183,BROOKLYN,Friday,04/30/2021,LEWIS AVENUE,PUTNAM AVENUE,,303.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,355530372930000000
32,191566,BROOKLYN,Friday,07/21/2023,MASPETH AVENUE,OLIVE STREET,,301.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,359130368130000000
33,74004,BROOKLYN,Friday,06/04/2021,MIDWOOD STREET,PALM COURT,,309.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,360830369020000000
34,181511,BROOKLYN,Thursday,05/18/2023,MONTAUK AVENUE,WORTMAN AVENUE,,305.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,362030394630000000
35,46217,QUEENS,Friday,10/02/2020,9 AVENUE,151 PLACE,,407.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,405490423350000000
36,111781,QUEENS,Thursday,10/28/2021,25 AVENUE,163 STREET,,407.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,407240424190000000
37,209503,QUEENS,Wednesday,10/25/2023,29 AVENUE,170 STREET,,407.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,407690424590000000
38,163982,QUEENS,Tuesday,11/01/2022,32 AVENUE,146 STREET,,407.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,408190423040000000
39,39728,QUEENS,Tuesday,09/01/2020,69 DRIVE,79 STREET,,405.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,414500416490000000
40,36293,QUEENS,Tuesday,08/18/2020,68 STREET,37 AVENUE,37 ROAD,402.0,Woodside,IN-HOUSE CREW,PAVING,DAY SHIFT,414440408790408890
41,203111,BROOKLYN,Monday,09/18/2023,BATH AVENUE,BAY 34 STREET,,311.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,315780316880000000
42,162922,QUEENS,Thursday,11/03/2022,45 AVENUE,167 STREET,,407.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,410140424390000000
43,119221,QUEENS,Thursday,03/17/2022,47 AVENUE,206 STREET,,411.0,,CONTRACT WORK,MILLING,DAY SHIFT,410440426140000000
44,39850,QUEENS,Thursday,09/03/2020,73 PLACE,COOK AVENUE,,405.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,415440439675000000
45,194146,QUEENS,Friday,08/04/2023,48 AVENUE,60 STREET,,402.0,,IN-HOUSE CREW,MILLING,DAY SHIFT,410590412690000000
46,86786,QUEENS,Wednesday,07/28/2021,79 AVENUE,164 STREET,,,,IN-HOUSE CREW,PAVING,DAY SHIFT,416340424240000000
47,207928,BROOKLYN,Wednesday,10/18/2023,BEDFORD AVENUE,PROSPECT PLACE,,308.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,318630372730000000
48,20784,QUEENS,Monday,06/15/2020,51 AVENUE,CORONA AVENUE,,404.0,,IN-HOUSE CREW,PAVING,NIGHT SHIFT,410890440090000000
49,191236,QUEENS,Wednesday,07/19/2023,76 AVENUE,167 STREET,,408.0,,IN-HOUSE CREW,PAVING,DAY SHIFT,415840424390000000
