,the_geom,OBJECTID,ID,RT_SYMBOL,NAME,URL,SHAPE_LEN
0,"LINESTRING (-73.99487524803018 40.6802035460625, -73.99427469414127 40.68081016270495, -73.9942168049715 40.68088280879707, -73.9941660725898 40.68094977567929, -73.99411471677327 40.681016234616614, -73.9940635700395 40.68108477012707, -73.99401368539809 40.6811526149855, -73.99396235156854 40.68122105948818, -73.99391126703496 40.681291555351955, -73.99386095364044 40.68136199360065, -73.99381034674546 40.6814328424454, -73.99375975375001 40.68150569581264, -73.99370975453519 40.681577696402535, -73.99365946654771 40.68165011029012, -73.99360890506807 40.68172392984253, -73.99355835994191 40.68179873453544, -73.99350838602531 40.681873696827665, -73.99066967148987 40.68606925530288)",753,2000393,G,G,http://web.mta.info/nyct/service/,2438.20024902
1,"LINESTRING (-73.97957543205142 40.65993069553076, -73.97965516869557 40.65981741117469, -73.98019277510113 40.65886613985546, -73.98024660003978 40.658549026771446, -73.98021982320536 40.65825235955759, -73.98009901040854 40.657976135835966, -73.97977670558397 40.65771010569873, -73.97717129293514 40.65618538710448, -73.976781852058 40.65590910620024, -73.97651334328621 40.655520321024085, -73.97633885050956 40.65516224510277, -73.97573559925392 40.65187837176674, -73.97566871827712 40.65112135659427, -73.9756594994904 40.65072922971845)",754,2000394,G,G,http://web.mta.info/nyct/service/,3872.83441063
2,"LINESTRING (-73.97585637503069 40.5759745053941, -73.97654226924728 40.57575795972222, -73.97664866766722 40.5757289430899, -73.97675256363787 40.57570270577129, -73.97685888125447 40.575678006942184, -73.9769646517183 40.57565749984579, -73.97706901464228 40.57563957777658, -73.97717360833487 40.57562356927263, -73.97727995358512 40.57561054715872, -73.97738501034732 40.575600898957525, -73.97749008997707 40.57559339391277, -73.97759424731635 40.575589098961395, -73.97769852557036 40.57558694898813, -73.97780382196 40.57558802389471, -73.97790820471798 40.57559125168284, -73.9780128757433 40.575597793360984, -73.97811970575823 40.575607705117186, -73.9801349610173 40.57587694172355, -73.9801725781858 40.575882998845096, -73.98021920944858 40.5758991406778, -73.98026506561798 40.575916526883084, -73.98031008647031 40.575935135838854, -73.98035422123048 40.57595494412388, -73.98039740967518 40.57597592741468, -73.98043960221084 40.57599805868819, -73.98048074451938 40.57602131182103, -73.98052078346414 40.576045657988516, -73.9805596718146 40.576071064764946, -73.98059736115766 40.57609750332652, -73.98063380308224 40.576124937645325, -73.98066895271862 40.576153336196576, -73.9807027663793 40.576182662953144, -73.98073520273894 40.576212880087304, -73.98076621929052 40.576243951572096, -73.98079578061328 40.576275839580674, -73.98082384656384 40.57630850088237, -73.98085038526382 40.576341898551405, -73.9808753612939 40.576375987556716, -73.98089874395717 40.57641072827122, -73.98092050610087 40.57644607566506, -73.98094061820926 40.57648198831021, -73.9809590566737 40.57651841667474, -73.98097579788283 40.57655532023196, -73.98099081940816 40.57659265125111, -73.98101563967421 40.576668409258794, -73.9811502261517 40.57728494923349)",755,2000469,N,Q,http://web.mta.info/nyct/service/,1843.36633108
3,"LINESTRING (-73.92414355434533 40.752290926571746, -73.9240493608916 40.75235476981202, -73.9239685852581 40.75244418539623, -73.92391135424123 40.752520834695865, -73.92386611143704 40.75258609148489, -73.92379689355062 40.75267157847301, -73.9237378735467 40.75274868305721, -73.92366617911016 40.75282809801474, -73.9236006857971 40.752909696264325, -73.92354092662931 40.752988699422, -73.92137832135633 40.75577018287048, -73.92136746445769 40.755784295387485, -73.92135896267031 40.75579563145152, -73.9213485722065 40.75580885548611, -73.92133633119674 40.755824768966725, -73.92132680981037 40.75583809715095, -73.92130925830907 40.7558604366114, -73.9212954906575 40.755876499429135, -73.92128285016192 40.75589373817518, -73.9212613676393 40.75592059007678, -73.92124676164921 40.75593856588983, -73.92123475969744 40.75595456777234, -73.92122376012833 40.7559681056554, -73.92121070176553 40.755984177952826, -73.92055564103553 40.75679224872182)",756,2000294,B,M,http://web.mta.info/nyct/service/,1919.5592029
4,"LINESTRING (-73.91344685471373 40.75617157636837, -73.90904942550716 40.75410484686675, -73.90689691772995 40.75307917534675, -73.90611273844773 40.75274137406311)",757,2000296,B,M,http://web.mta.info/nyct/service/,2385.69853589
5,"LINESTRING (-73.92055586637017 40.756791970621016, -73.91967173062106 40.75787776501643, -73.91955133905881 40.757996400022364, -73.91942578661394 40.75808818362627, -73.91929176071744 40.7581680663819, -73.91915648841375 40.75823352111117, -73.91901789171129 40.75828431131742, -73.91887638677619 40.758322045584315, -73.91873077164827 40.75834674106358, -73.91858180268387 40.75835780754279, -73.91842515038284 40.75835521042547, -73.91826182455694 40.7583393196039, -73.91809110448119 40.758309823862774, -73.91791410161247 40.758265345287306, -73.91772938152099 40.75820623492131, -73.9175362791609 40.75813124505139, -73.91733523060068 40.758041250338145, -73.91495175934024 40.756884450541634, -73.91491698656708 40.75686706401855, -73.91488098655331 40.756849063333874, -73.91484616411067 40.75683165243894, -73.91481116243837 40.75681365156979, -73.91477398611347 40.756795062852035, -73.91473564054105 40.75677589062964, -73.91469963934439 40.75675889034872, -73.91466364063089 40.756740890497255, -73.91462525351666 40.756722764594585, -73.91458925356103 40.75670576427993, -73.91455442292941 40.75668931593064, -73.91451942249529 40.75667231543494, -73.91447978922845 40.756653600528736, -73.91444264712437 40.75663709189666, -73.91440773906398 40.75662105317536, -73.91344647362847 40.75617139778195)",758,2000295,B,M,http://web.mta.info/nyct/service/,2470.8185824
6,"LINESTRING (-73.9850998845245 40.68833718861588, -73.98414759690938 40.68796468645509, -73.98407178390057 40.687935999134915, -73.98399539242847 40.687907480080256, -73.98392000514582 40.68787997419278, -73.98384500582762 40.68785297259781, -73.98377100502215 40.68782597379622, -73.98369408480103 40.68779828293897, -73.9836181686737 40.687771963655166, -73.9835441678033 40.68774596427738, -73.98346722858795 40.68771929264674, -73.98339078244817 40.68769381061405, -73.98331627395595 40.68766897447967, -73.98324080982268 40.68764347988236, -73.98316384075656 40.68761884950825, -73.98308884127684 40.687594849731546, -73.98301427834113 40.6875709895499, -73.9829457932631 40.68754880427541, -73.9828757932797 40.6875248032994, -73.98280479227469 40.68750180350216, -73.98273837536351 40.68747903307925, -73.98266837578782 40.68745403240687, -73.98259837600354 40.68743003216235, -73.98252837534834 40.68740503320552, -73.9824604445342 40.68738174099467, -73.98239294612522 40.68735630738858, -73.98232143745264 40.68733076866724, -73.9822544853776 40.68730651023393, -73.98218697766009 40.68728107380379, -73.98211945106894 40.68725562742542, -73.98204990209197 40.68722841298372, -73.98197637480304 40.68720110332297, -73.98139974603757 40.68699523520703, -73.98136258879084 40.68698130185197, -73.98132193867961 40.686965667748304, -73.9812802769445 40.68695071245293, -73.981238546622 40.68693573191691, -73.98119773510916 40.68692212840116, -73.98115780968384 40.686908470084624, -73.98111689982261 40.686895550914336, -73.98107591663864 40.68688260920462, -73.98103580140264 40.68687099678137, -73.98099656396988 40.68685933045827, -73.98095313644345 40.686847594088746, -73.98091285156441 40.68683779432842, -73.98087667845908 40.686828996608455, -73.98083808285892 40.686819347488395, -73.98080735447664 40.68681251827535, -73.98041226754869 40.686696547495835, -73.98030413667088 40.68666627088095, -73.98019246963382 40.68664109136334, -73.98008006849199 40.68661839522679, -73.97996572366604 40.68660005622744, -73.97985077368338 40.68658409166296, -73.9797327104018 40.686571211595, -73.97961282320377 40.68656157743448, -73.97948989481303 40.68655510791242, -73.9793654284138 40.686552980260046, -73.97924147832158 40.68655298047994, -73.9791146632546 40.68655612373948, -73.97898599259402 40.68656139803616, -73.97885338005614 40.686570947103505, -73.97872135445564 40.68658352005125, -73.97858841465737 40.68659885905538, -73.97679525563343 40.68680787815202)",759,2000239,G,G,http://web.mta.info/nyct/service/,2448.06920027
7,"LINESTRING (-73.98509968743714 40.68834564981452, -73.98731519816799 40.689208224449125)",760,2000238,G,G,http://web.mta.info/nyct/service/,690.126468476
8,"LINESTRING (-73.82761616469517 40.58332613477742, -73.82284313698543 40.58465770090677, -73.82273249192208 40.58469048498071, -73.82262661261724 40.584722447822095, -73.82252061214234 40.584753743089436, -73.82241517228012 40.58478650157884, -73.82231348163045 40.58481872005133, -73.8222125380177 40.584850701851046, -73.8221130887116 40.58488216086934, -73.82201536057306 40.58491440052184, -73.82191820752537 40.58494577287606, -73.82182307149762 40.584978160466655, -73.82172886287384 40.585009562441634, -73.82163625628169 40.58504212760363, -73.82154598898228 40.58507356886652, -73.82145757179389 40.58510572074647, -73.8213679181643 40.585137302404554, -73.8205931064363 40.58543137117277)",761,2000277,L,S,http://web.mta.info/nyct/service/,2097.71796243
9,"LINESTRING (-73.80921562485284 40.5931777709573, -73.81544647710383 40.607725197788184, -73.81545448097779 40.60774620634696, -73.81546347977908 40.60776720479568, -73.81547192356737 40.60778936763014, -73.81548208422915 40.607811949262064, -73.81548992782406 40.60783024968646, -73.81549792860379 40.60785024965059, -73.81550692742772 40.607871249896725, -73.8155153893838 40.60789240687204, -73.81552392122228 40.607911366681385, -73.81553088345463 40.60792963867243, -73.81554776280798 40.60797184178268, -73.81555576402285 40.60799084126145, -73.81557096534232 40.60802884253384, -73.81560043170515 40.60810545682647, -73.81562996781585 40.6081842225735, -73.81565871321827 40.60826352195495, -73.81568753374883 40.608343024967326, -73.81571635710567 40.60842452533737)",762,2000265,A,A,http://web.mta.info/nyct/service/,5840.91203808
