,Year,Age Group,Category,Type,Mean Servings/Times Sugar-Sweetened Beverages Consumed Daily
0,2012,Adolescent (12-17),All ,Total,0.7
1,2012,Adolescent (12-17),Gender,Male,0.7
2,2012,Adolescent (12-17),Gender,Female,0.6
3,2012,Adolescent (12-17),Gender by Age- Male,12-13,0.7
4,2012,Adolescent (12-17),Gender by Age- Male,14-15,0.8
5,2012,Adolescent (12-17),Gender by Age- Male,16-17,0.8
6,2012,Adolescent (12-17),Gender by Age- Female,12-13,0.7
7,2012,Adolescent (12-17),Gender by Age- Female,14-15,0.6
8,2012,Adolescent (12-17),Gender by Age- Female,16-17,0.6
9,2012,Adolescent (12-17),Race/Ethnicity,White,0.6
10,2012,Adolescent (12-17),Race/Ethnicity,African American,0.8
11,2012,Adolescent (12-17),Race/Ethnicity,Latino,0.8
12,2012,Adolescent (12-17),Race/Ethnicity,Asian/Other,0.4
13,2012,Adolescent (12-17),Income,"Less than $15,000",0.9
14,2012,Adolescent (12-17),Income,"$15,000 - 24,999",0.8
15,2012,Adolescent (12-17),Income,"$25,000 - 34,999",0.9
16,2012,Adolescent (12-17),Income,"$35,000 - 49,999",0.9
17,2012,Adolescent (12-17),Income,"$50,000 - 74,999",0.7
18,2012,Adolescent (12-17),Income,"$75,000 or greater",0.5
19,2012,Adolescent (12-17),Physical Activity,Regular,0.6
20,2012,Adolescent (12-17),Physical Activity,Irregular,0.8
21,2012,Adolescent (12-17),Overweight Status,Not Overweight,0.6
22,2012,Adolescent (12-17),Overweight Status,Overweight/Obese,0.8
23,2012,Adolescent (12-17),"CalFresh Status, % FPL",Participant,0.9
24,2012,Adolescent (12-17),"CalFresh Status, % FPL","Likely Eligible, ≤ 130%",0.8
25,2012,Adolescent (12-17),"CalFresh Status, % FPL","Not Eligible, > 185% ",0.5
26,2013,Adult (18+),All ,Total,2.2
27,2013,Adult (18+),Gender,Male,2.7
28,2013,Adult (18+),Gender,Female,1.8
29,2013,Adult (18+),Age,18 - 24,2.9
30,2013,Adult (18+),Age,25 - 34,2.9
31,2013,Adult (18+),Age,35 - 50,2.1
32,2013,Adult (18+),Age,51 - 64,2.1
33,2013,Adult (18+),Age,65+,1.1
34,2013,Adult (18+),Race/Ethnicity,White,2.0
35,2013,Adult (18+),Race/Ethnicity,African American,2.4
36,2013,Adult (18+),Race/Ethnicity,Latino,2.4
37,2013,Adult (18+),Race/Ethnicity,Asian/Other,2.7
38,2013,Adult (18+),Education,Less than High School,3.1
39,2013,Adult (18+),Education,High School Graduate,2.5
40,2013,Adult (18+),Education,Some College,2.4
41,2013,Adult (18+),Education,College Graduate,1.2
42,2013,Adult (18+),Income,"Less than $15,000",2.6
43,2013,Adult (18+),Income,"$15,000 - 24,999",2.5
44,2013,Adult (18+),Income,"$25,000 - 34,999",2.1
45,2013,Adult (18+),Income,"$35,000 - 49,999",2.2
46,2013,Adult (18+),Income,"$50,000+",1.0
47,2013,Adult (18+),Physical Activity,Met Aerobic Recommendation,2.2
48,2013,Adult (18+),Physical Activity,Did Not Meet Aerobic Recommendation,2.4
49,2013,Adult (18+),Overweight Status,Not Overweight,2.2
