,id,state,rate,fuel_type,fuel_type_code,fips,abbrev,note,MMFR_year,effective_date,annual
0,1_1a_2013_1995_10,Alabama,18,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2013,10/02/1995 12:00:00 AM,1
1,1_1a_2014_1995_10,Alabama,18,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2014,10/02/1995 12:00:00 AM,1
2,1_1a_2015_1995_10,Alabama,18,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2015,10/02/1995 12:00:00 AM,1
3,1_1a_2016_1995_10,Alabama,18,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2016,10/03/1995 12:00:00 AM,1
4,1_1a_2017_1995_10,Alabama,18,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2017,10/03/1995 12:00:00 AM,1
5,1_1a_2018_1995_10,Alabama,18,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2018,10/03/1995 12:00:00 AM,1
6,1_1a_2019_2019_9,Alabama,26,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2019,09/01/2019 12:00:00 AM,1
7,1_1a_2020_2019_9,Alabama,26,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2020,09/01/2019 12:00:00 AM,1
8,1_1a_2021_2019_9,Alabama,26,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2021,09/01/2019 12:00:00 AM,1
9,1_1a_2022_2021_10,Alabama,30,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2022,10/01/2021 12:00:00 AM,1
10,1_1a_2023_2021_10,Alabama,30,Gasoline,1a,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2023,10/01/2021 12:00:00 AM,1
11,1_1b_2013_1995_10,Alabama,18,Gasohol,1b,1,AL,"The gasoline, gasohol, and diesel rates include a 2 cents per gallon inspection fee.  Alabama-registered LPG vehicles pay an annual fee based on vehicle type in lieu of the volume tax.",2013,10/02/1995 12:00:00 AM,1
